run_number,total_run_time,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive
1,300.0,BehaviorType.ATTACK,469216.3142301949,170953.50565706953,1,BehaviorType.EVASION,475922.7589431849,159142.81286606548,1
2,300.0,BehaviorType.ATTACK,533665.4066755162,107909.74058506226,1,BehaviorType.EVASION,508317.21427170106,77574.15101646719,1
3,300.0,BehaviorType.ATTACK,596333.9769374845,85885.39850908834,1,BehaviorType.EVASION,457604.4287950949,149437.96945607458,1
4,300.0,BehaviorType.ATTACK,458597.42151955934,130523.29113642851,1,BehaviorType.EVASION,545675.8333377428,15426.979201746937,0
5,300.0,BehaviorType.ATTACK,490978.1980859823,86848.64813740876,1,BehaviorType.EVASION,542452.2840374848,100620.21952484945,1
6,300.0,BehaviorType.ATTACK,569862.7694420984,78810.35543097074,1,BehaviorType.EVASION,523922.4056755743,27963.55239426007,0
7,300.0,BehaviorType.ATTACK,474470.0495172771,83757.63631082431,1,BehaviorType.EVASION,532536.0240209976,5999.600014410556,0
8,300.0,BehaviorType.ATTACK,481603.1197612746,31893.139535761762,1,BehaviorType.EVASION,586861.883196174,182231.93587121126,1
9,300.0,BehaviorType.ATTACK,464095.55801030854,158645.04623241536,1,BehaviorType.EVASION,425722.15444928466,81429.63021144278,1
10,300.0,BehaviorType.ATTACK,483893.76654113666,82669.14349955159,1,BehaviorType.EVASION,425893.1537931511,13723.234682098306,0
11,300.0,BehaviorType.ATTACK,438313.77440959733,41481.85931993749,1,BehaviorType.EVASION,442198.2409259926,167454.44073638134,1
12,300.0,BehaviorType.ATTACK,491693.8458881797,167077.82317116178,1,BehaviorType.EVASION,485683.72767355863,73841.72271266609,1
13,300.0,BehaviorType.ATTACK,496333.9206081601,73210.74662395421,1,BehaviorType.EVASION,401533.491488105,20123.41976629761,0
14,300.0,BehaviorType.ATTACK,401048.26122355595,152401.35164167586,1,BehaviorType.EVASION,569755.9575358555,110568.65512706646,1
15,300.0,BehaviorType.ATTACK,401250.22185563046,147348.8639373197,1,BehaviorType.EVASION,449991.53083641495,184061.58699608227,1
16,300.0,BehaviorType.ATTACK,483277.2332055317,82747.79803826094,1,BehaviorType.EVASION,496324.08707468124,187159.66027919657,1
17,300.0,BehaviorType.ATTACK,570058.4813112172,40786.20816723404,1,BehaviorType.EVASION,586963.1719180284,124468.2804276886,1
18,300.0,BehaviorType.ATTACK,534759.6003987303,121693.5837924684,1,BehaviorType.EVASION,540759.6531023683,163522.28679493963,1
19,300.0,BehaviorType.ATTACK,504181.5064521327,198660.8809588205,1,BehaviorType.EVASION,581928.62698557,152991.5145409775,1
20,300.0,BehaviorType.ATTACK,493410.4590767604,95921.98931530362,1,BehaviorType.EVASION,422893.6460137222,55884.206194061204,1
21,300.0,BehaviorType.ATTACK,464844.5527891697,47289.90773864177,1,BehaviorType.EVASION,587705.0339400616,192395.84833164347,1
22,300.0,BehaviorType.ATTACK,590967.7557793091,50662.16107641952,1,BehaviorType.EVASION,592385.4656085488,178843.06301572427,1
23,300.0,BehaviorType.ATTACK,411097.3082760688,167492.037838685,1,BehaviorType.EVASION,447838.46608453756,143137.03350462558,1
24,300.0,BehaviorType.ATTACK,410367.15046807186,162270.393857904,1,BehaviorType.EVASION,589914.0499768731,45734.5934479463,0
25,300.0,BehaviorType.ATTACK,576571.1561324231,135214.98984881054,1,BehaviorType.EVASION,456236.53119280963,7607.099244936655,0
26,300.0,BehaviorType.ATTACK,440754.51870917116,37497.74896700715,1,BehaviorType.EVASION,436698.82284978335,191979.6704226555,1
27,300.0,BehaviorType.ATTACK,449197.9549108986,175391.80061476983,1,BehaviorType.EVASION,575325.1750187408,6311.726521028471,0
28,300.0,BehaviorType.ATTACK,440710.61187806627,180605.4796286626,1,BehaviorType.EVASION,559188.5544926513,99863.17527190811,1
29,300.0,BehaviorType.ATTACK,499524.29657320277,12908.896664159442,1,BehaviorType.EVASION,568132.4871427525,183491.49654728253,1
30,300.0,BehaviorType.ATTACK,552058.3417706478,155759.70123024468,1,BehaviorType.EVASION,463741.50864413317,152275.38907658294,1
31,300.0,BehaviorType.ATTACK,423560.3191944601,85079.30904435791,1,BehaviorType.EVASION,471190.2704914506,71499.70853640464,1
32,300.0,BehaviorType.ATTACK,423207.8959761403,154843.86217665437,1,BehaviorType.EVASION,471962.5322895482,159063.0684914359,1
33,300.0,BehaviorType.ATTACK,408026.3061290274,39852.1616812814,1,BehaviorType.EVASION,412357.0835578185,67135.06031893805,1
34,300.0,BehaviorType.ATTACK,558950.7844144356,132287.67061032302,1,BehaviorType.EVASION,415885.9841210681,107470.31153242527,1
35,300.0,BehaviorType.ATTACK,490214.53672888526,82170.38135684123,1,BehaviorType.EVASION,468016.8924852896,138384.5322537993,1
36,300.0,BehaviorType.ATTACK,475995.36079891573,93644.31660797246,1,BehaviorType.EVASION,596670.3114613672,38693.450319929965,0
37,300.0,BehaviorType.ATTACK,509327.0710525133,156435.35273628138,1,BehaviorType.EVASION,572513.3293845935,53634.950553971226,1
38,300.0,BehaviorType.ATTACK,401583.24509246135,140811.47658995225,1,BehaviorType.EVASION,599952.7561386653,180180.2391105649,1
39,300.0,BehaviorType.ATTACK,460846.54522681923,59668.0062147122,1,BehaviorType.EVASION,490146.08064263046,55789.399197257604,1
40,300.0,BehaviorType.ATTACK,521424.65434565744,68758.55976445426,1,BehaviorType.EVASION,520810.74590193137,194291.4901681753,1
41,300.0,BehaviorType.ATTACK,462310.2027461637,67989.93123990954,1,BehaviorType.EVASION,458106.746020547,94517.11047867686,1
