run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch
1,300.0,50000.0,0.005,179.995,BehaviorType.ATTACK,49844.89115749094,74.89629922511898,1,50000.0,0.005,179.995,BehaviorType.ATTACK,49275.901758408945,43943.78339215541,1,BOTH_SURVIVED,True,49730.0,0.5,True,49190.0,1.4
2,300.0,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49267.04573501509,32590.791036492894,0,50000.0,-0.006999999999999999,-179.993,BehaviorType.ATTACK,49179.006288550605,16672.410615077304,1,COBRA_WIN,True,49190.0,1.4,True,49070.0,1.6
3,300.0,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49426.96465106325,21898.328290955433,1,50000.0,-0.002,-179.998,BehaviorType.ATTACK,49218.99830499461,19036.968091718558,0,VIPER_WIN,True,49310.0,1.2,True,49130.0,1.5
4,300.0,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49069.98620160723,25853.77957061652,1,50000.0,-0.001,-179.99900000000002,BehaviorType.ATTACK,49576.774034210444,29116.30548798053,0,VIPER_WIN,True,48950.0,1.8,True,49490.0,0.9
5,300.0,50000.0,0.003,179.997,BehaviorType.ATTACK,49958.985080509105,12398.300197294582,1,50000.0,0.003,179.997,BehaviorType.ATTACK,49500.60589473079,31504.941096654416,0,VIPER_WIN,True,49790.0,0.4,True,49430.0,1.0
6,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49105.387854068744,49788.848669092455,1,50000.0,0.002,179.998,BehaviorType.ATTACK,49849.811496528775,21882.9433094913,1,BOTH_SURVIVED,True,49010.0,1.7,True,49730.0,0.5
7,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49825.38424862739,47337.9686951037,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49318.681720848304,29065.030236373834,1,BOTH_SURVIVED,True,49730.0,0.5,True,49250.0,1.3
8,300.0,50000.0,0.002,179.998,BehaviorType.ATTACK,49005.952560407975,21266.916820745184,0,50000.0,0.002,179.998,BehaviorType.ATTACK,49853.5191310002,1876.6258448729477,1,COBRA_WIN,True,48890.001,1.9,True,49790.0,0.4
9,300.0,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49268.60480399589,24309.067682076573,1,50000.0,0.001,179.99900000000002,BehaviorType.ATTACK,49776.75453485935,40538.38087757923,1,BOTH_SURVIVED,True,49190.0,1.4,True,49670.0,0.6
10,300.0,50000.0,0.0,180.0,BehaviorType.ATTACK,49723.8607715667,21411.506412118735,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49546.64592850494,28837.24547805901,0,VIPER_WIN,True,49610.0,0.7,True,49430.0,1.0
11,300.0,50000.0,0.003,179.997,BehaviorType.ATTACK,49096.108521059854,49144.08367873067,1,50000.0,0.003,179.997,BehaviorType.ATTACK,49071.026184088696,4338.373079195207,1,BOTH_SURVIVED,True,49010.0,1.7,True,49010.0,1.7
12,300.0,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49145.27547844778,5357.291531460467,1,50000.0,-0.004,-179.99599999999998,BehaviorType.ATTACK,49304.28245261851,34527.88324665056,0,VIPER_WIN,True,49070.0,1.6,True,49190.0,1.4
13,300.0,50000.0,0.003,179.997,BehaviorType.ATTACK,49970.89059708861,2646.3015383278776,1,50000.0,0.003,179.997,BehaviorType.ATTACK,49618.32727149835,5642.292684087696,0,VIPER_WIN,True,49790.0,0.4,True,49550.0,0.8
14,300.0,50000.0,0.003,179.997,BehaviorType.ATTACK,49252.24964503257,35222.420860408434,1,50000.0,0.003,179.997,BehaviorType.ATTACK,49198.45999142629,43262.21864317893,1,BOTH_SURVIVED,True,49190.0,1.4,True,49130.0,1.5
15,300.0,50000.001,0.009000000000000001,179.99099999999999,BehaviorType.ATTACK,49100.94290964275,34222.51732126464,0,50000.001,0.009000000000000001,179.99099999999999,BehaviorType.ATTACK,49210.25563948651,4878.617577440997,1,COBRA_WIN,True,49010.001,1.7,True,49130.001,1.5
