run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
1,58.0,50000.0,0.001,179.999,BehaviorType.ATTACK,49722.59158998997,19348.38106819679,1,50000.0,0.001,179.999,BehaviorType.ATTACK,49638.63442781908,9588.482404780512,0,VIPER_WIN,True,49610.0,0.7,True,49550.0,0.8,0.2,0.2,0.0,0.0,0.0,0.0,57.90000000000055,57.80000000000055,0.0,0.0
2,120.7,50000.0,0.0,180.0,BehaviorType.ATTACK,49799.981986169245,29676.651785253503,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49394.558294374,38229.40611293117,1,BOTH_SURVIVED,True,49730.0,0.5,True,49310.0,1.2,0.2,0.2,0.0,0.0,0.0,93.19999999999898,27.40000000000012,27.40000000000012,93.19999999999898,0.0
3,59.8,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49127.54378102218,6778.72198244443,1,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49674.94237729814,31288.865457150994,0,VIPER_WIN,True,49010.0,1.7,True,49610.0,0.7,0.2,0.2,0.0,0.0,0.0,4.5,55.10000000000051,55.10000000000051,4.6,0.0
4,57.7,50000.0,0.001,179.999,BehaviorType.ATTACK,49031.42820917967,24996.442932208945,0,50000.0,0.001,179.999,BehaviorType.ATTACK,49835.273501836564,15708.57662262638,1,COBRA_WIN,True,48950.0,1.8,True,49730.0,0.5,0.2,0.2,0.0,0.0,0.0,0.0,57.50000000000055,57.60000000000055,0.0,0.0
5,57.9,50000.0,0.0,180.0,BehaviorType.ATTACK,49681.21326905803,5988.939926138526,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49441.405747511126,13027.903047060307,0,VIPER_WIN,True,49610.0,0.7,True,49370.0,1.1,0.2,0.2,0.0,0.0,0.0,0.0,57.80000000000055,57.70000000000055,0.0,0.0
6,57.9,50000.0,0.001,179.999,BehaviorType.ATTACK,49741.76680300452,6102.016306557251,1,50000.0,0.001,179.999,BehaviorType.ATTACK,49633.333332884926,17519.15875708643,0,VIPER_WIN,True,49670.0,0.6,True,49550.0,0.8,0.2,0.2,0.0,0.0,0.0,0.0,57.80000000000055,57.70000000000055,0.0,0.0
7,57.9,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49645.712659372846,12044.733593003742,0,50000.0,-0.0,-180.0,BehaviorType.ATTACK,49769.880604272206,14682.294790978734,1,COBRA_WIN,True,49550.0,0.8,True,49670.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,57.70000000000055,57.80000000000055,0.0,0.0
8,57.7,50000.0,-0.001,-179.999,BehaviorType.ATTACK,49117.98994235726,26301.05157957511,0,50000.0,-0.001,-179.999,BehaviorType.ATTACK,49935.091797874935,13064.283881409234,1,COBRA_WIN,True,49010.0,1.7,True,49790.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,57.50000000000055,57.60000000000055,0.0,0.0
9,121.0,50000.0,-0.001,-179.999,BehaviorType.ATTACK,49643.890966914536,34370.69652692508,1,50000.0,-0.001,-179.999,BehaviorType.ATTACK,49309.771065892965,35206.752492628424,1,BOTH_SURVIVED,True,49550.0,0.8,True,49190.0,1.4,0.2,0.2,76.8999999999999,76.8999999999999,0.0,2.9000000000000012,41.100000000000314,41.100000000000314,2.9000000000000012,0.0
10,61.5,50000.0,0.0,180.0,BehaviorType.ATTACK,49973.62526519428,11481.409612878602,1,50000.0,0.0,180.0,BehaviorType.ATTACK,49159.02824389709,32820.546473278046,0,VIPER_WIN,True,49790.0,0.4,True,49070.0,1.6,0.2,0.2,0.0,0.0,0.0,12.199999999999973,49.10000000000043,49.10000000000043,12.299999999999972,0.0
