run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_UNKNOWN,cobra_time_in_UNKNOWN,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE
1,66.5,60000.0,0.0,180.0,BehaviorType.ATTACK,39610.12148985076,30236.49070763669,0,60000.0,0.0,180.0,BehaviorType.ATTACK,56918.425395145656,572.5821007682607,1,COBRA_WIN,True,39528.92,37.3,True,56850.0,5.3,0.2,0.2,0.0,0.0,0.0,0.0,66.30000000000051,66.4000000000005,0.0,0.0
2,72.9,60000.0,0.0,180.0,BehaviorType.ATTACK,51061.78735194412,37767.94774071995,0,60000.0,0.0,180.0,BehaviorType.ATTACK,61322.676010170064,11808.83412527232,1,COBRA_WIN,True,50988.99,15.2,True,59790.0,0.4,0.2,0.2,0.0,0.0,13.899999999999967,0.0,58.800000000000566,58.800000000000566,0.0,13.999999999999966
3,165.8,60000.0,0.0,180.0,BehaviorType.ATTACK,32781.23290953119,19851.345234939596,1,60000.0,0.0,180.0,BehaviorType.ATTACK,27852.90780969698,66787.44471198067,1,BOTH_SURVIVED,True,32670.0,45.6,True,27757.391,53.8,0.2,0.2,85.99999999999939,85.99999999999939,0.0,7.899999999999988,71.8000000000002,71.8000000000002,7.899999999999988,0.0
4,67.2,60000.0,0.0,180.0,BehaviorType.ATTACK,59822.93677234362,19519.066031154507,1,60000.0,0.0,180.0,BehaviorType.ATTACK,49951.13402288704,36004.008510846106,0,VIPER_WIN,True,59730.0,0.5,True,49855.843,17.2,0.2,0.2,0.0,0.0,0.0,2.800000000000001,64.20000000000063,64.20000000000063,2.9000000000000012,0.0
5,189.2,60000.0,0.0,180.0,BehaviorType.ATTACK,47815.39295960245,41331.57567638246,1,60000.0,0.0,180.0,BehaviorType.ATTACK,22867.119231028486,3079.586821095307,1,BOTH_SURVIVED,True,47730.0,20.5,True,22815.883,69.0,0.2,0.2,64.8000000000006,64.8000000000006,40.80000000000031,0.0,83.49999999999953,83.49999999999953,0.0,40.80000000000031
6,128.0,60000.0,0.0,180.0,BehaviorType.ATTACK,55449.4512964072,67608.62249237711,1,60000.0,0.0,180.0,BehaviorType.ATTACK,42682.311035953746,53013.97490293895,1,BOTH_SURVIVED,True,55350.0,7.8,True,42627.046,31.0,0.2,0.2,89.2999999999992,89.2999999999992,0.0,2.3000000000000007,36.300000000000246,36.300000000000246,2.3000000000000007,0.0
7,63.3,60000.0,0.0,180.0,BehaviorType.ATTACK,65266.97571494345,5490.139309497942,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35620.65913707324,16632.88479084801,0,VIPER_WIN,True,59790.0,0.4,True,35534.395,47.2,0.2,0.2,0.0,0.0,0.0,0.0,63.20000000000063,63.10000000000063,0.0,0.0
8,176.2,60000.0,0.0,180.0,BehaviorType.ATTACK,26535.854318034697,18871.594532930812,1,60000.0,0.0,180.0,BehaviorType.ATTACK,21080.23771499424,13793.273933534063,1,BOTH_SURVIVED,True,26430.0,56.0,True,20977.052,65.1,0.2,0.2,88.49999999999925,88.49999999999925,6.8999999999999915,0.0,80.69999999999969,80.69999999999969,0.0,6.8999999999999915
9,130.7,60000.0,0.0,180.0,BehaviorType.ATTACK,40395.022379775786,53754.50584529198,1,60000.0,0.0,180.0,BehaviorType.ATTACK,53807.28084822444,15480.832142210222,1,BOTH_SURVIVED,False,-1.0,-1.0,True,53730.0,10.5,0.2,0.2,0.0,0.0,95.29999999999886,0.0,35.30000000000023,35.30000000000023,0.0,95.29999999999886
10,160.3,60000.0,0.0,180.0,BehaviorType.ATTACK,35510.69957460329,61096.083623243394,1,60000.0,0.0,180.0,BehaviorType.ATTACK,36089.64505347124,30868.186983947136,1,BOTH_SURVIVED,True,35430.0,41.0,True,35970.0,40.1,0.2,0.2,95.49999999999885,95.49999999999885,0.5,0.0,64.20000000000063,64.20000000000063,0.0,0.5
11,146.7,60000.0,0.0,180.0,BehaviorType.ATTACK,55419.04139356301,58384.403371856126,1,60000.0,0.0,180.0,BehaviorType.ATTACK,44476.76735665689,37490.4752242187,1,BOTH_SURVIVED,True,55350.0,7.8,True,44390.388,26.5,0.2,0.2,0.0,0.0,111.99999999999791,0.0,34.60000000000022,34.60000000000022,0.0,111.99999999999791
12,150.1,60000.0,0.0,180.0,BehaviorType.ATTACK,42196.17018749809,32407.18906706995,1,60000.0,0.0,180.0,BehaviorType.ATTACK,37000.37914191262,44469.75923303981,1,BOTH_SURVIVED,True,42090.0,29.9,True,36939.444,38.5,0.2,0.2,92.899999999999,92.899999999999,0.0,0.9999999999999999,56.10000000000053,56.10000000000053,0.9999999999999999,0.0
13,144.8,60000.0,0.0,180.0,BehaviorType.ATTACK,45363.60159172483,55585.39378264812,1,60000.0,0.0,180.0,BehaviorType.ATTACK,43347.08515341601,34845.56374110488,1,BOTH_SURVIVED,True,45270.0,24.6,True,43230.045,28.0,0.2,0.2,91.39999999999908,91.39999999999908,3.800000000000002,0.0,49.50000000000043,49.50000000000043,0.0,3.800000000000002
14,172.1,60000.0,0.0,180.0,BehaviorType.ATTACK,28957.49816774342,28127.708846269175,1,60000.0,0.0,180.0,BehaviorType.ATTACK,21287.811696755576,18541.073776268455,1,BOTH_SURVIVED,True,28890.0,51.9,True,21191.616,64.8,0.2,0.2,85.09999999999944,85.09999999999944,9.89999999999998,0.0,76.9999999999999,76.9999999999999,0.0,9.89999999999998
15,129.4,60000.0,0.0,180.0,BehaviorType.ATTACK,54574.16502607605,39414.41260055523,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35063.76717248944,46942.39032204791,1,BOTH_SURVIVED,True,54510.0,9.2,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,83.29999999999954,46.000000000000384,46.000000000000384,83.29999999999954,0.0
16,76.9,60000.0,0.0,180.0,BehaviorType.ATTACK,61962.47435209341,171.4977269496154,1,60000.0,0.0,180.0,BehaviorType.ATTACK,28298.943605277113,42187.20439785425,0,VIPER_WIN,True,59790.0,0.4,False,-1.0,-1.0,0.2,0.2,0.0,0.0,0.0,20.700000000000024,56.000000000000526,56.000000000000526,20.800000000000026,0.0
17,176.4,60000.0,0.0,180.0,BehaviorType.ATTACK,28537.973684415567,50492.156449607624,1,60000.0,0.0,180.0,BehaviorType.ATTACK,26416.23433251301,2938.0092858715248,1,BOTH_SURVIVED,True,28470.0,52.6,True,26310.061,56.2,0.2,0.2,53.40000000000049,53.40000000000049,46.40000000000039,0.0,76.49999999999993,76.49999999999993,0.0,46.40000000000039
18,122.8,60000.0,0.0,180.0,BehaviorType.ATTACK,58538.2529737297,47136.940591213104,1,60000.0,0.0,180.0,BehaviorType.ATTACK,37858.510039934525,45559.29152204914,1,BOTH_SURVIVED,True,58470.0,2.6,True,37799.322,42.5,0.2,0.2,67.10000000000046,67.10000000000046,0.0,6.799999999999992,48.80000000000042,48.80000000000042,6.799999999999992,0.0
19,120.6,60000.0,0.0,180.0,BehaviorType.ATTACK,37437.30461110967,43637.402879870504,1,60000.0,0.0,180.0,BehaviorType.ATTACK,68514.94267142675,4928.4309501817515,1,BOTH_SURVIVED,True,37362.273,43.6,True,59790.0,0.4,0.2,0.2,0.0,0.0,67.40000000000045,0.0,53.100000000000485,53.100000000000485,0.0,67.40000000000045
20,76.9,60000.0,0.0,180.0,BehaviorType.ATTACK,49727.98818739711,23935.00028717975,1,60000.0,0.0,180.0,BehaviorType.ATTACK,34666.580588369165,35993.13758377248,0,VIPER_WIN,True,49650.0,17.3,True,34597.54,44.5,0.2,0.2,0.0,0.0,0.0,12.299999999999972,64.40000000000062,64.40000000000062,12.399999999999972,0.0
21,172.0,60000.0,0.0,180.0,BehaviorType.ATTACK,28436.066408909253,19742.80442957363,1,60000.0,0.0,180.0,BehaviorType.ATTACK,29022.731997594874,11604.995713176395,1,BOTH_SURVIVED,True,28350.0,52.8,True,28950.0,51.8,0.2,0.2,57.10000000000054,57.10000000000054,37.600000000000264,0.0,77.19999999999989,77.19999999999989,0.0,37.600000000000264
22,115.9,60000.0,0.0,180.0,BehaviorType.ATTACK,21848.383626506977,55739.150562737435,0,60000.0,0.0,180.0,BehaviorType.ATTACK,41318.38294690786,41693.527885732765,1,COBRA_WIN,False,-1.0,-1.0,True,41250.0,31.3,0.2,0.2,0.0,0.0,60.00000000000058,0.0,55.70000000000052,55.70000000000052,0.0,60.100000000000584
23,67.9,60000.0,0.0,180.0,BehaviorType.ATTACK,58011.21727438547,24230.97063924468,0,60000.0,0.0,180.0,BehaviorType.ATTACK,66106.42665748378,28497.283672574344,1,COBRA_WIN,True,57930.028,3.5,True,59790.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,67.70000000000043,67.80000000000042,0.0,0.0
24,123.2,60000.0,0.0,180.0,BehaviorType.ATTACK,33062.610765597754,5534.144303217072,1,60000.0,0.0,180.0,BehaviorType.ATTACK,41322.16342141717,67044.4457979205,0,VIPER_WIN,True,32968.833,45.2,True,41250.0,31.3,0.2,0.2,0.0,0.0,0.0,65.80000000000054,57.20000000000054,57.20000000000054,65.90000000000053,0.0
25,169.7,60000.0,0.0,180.0,BehaviorType.ATTACK,21329.157351415604,60353.110415104995,1,60000.0,0.0,180.0,BehaviorType.ATTACK,30425.555021702043,56328.609511181945,1,BOTH_SURVIVED,True,21242.048,65.1,True,30330.0,49.5,0.2,0.2,95.49999999999885,95.49999999999885,0.8999999999999999,0.0,73.20000000000012,73.20000000000012,0.0,0.8999999999999999
26,121.7,60000.0,0.0,180.0,BehaviorType.ATTACK,59247.927990195836,63838.77932878856,1,60000.0,0.0,180.0,BehaviorType.ATTACK,40999.06920465443,35150.17257320795,1,BOTH_SURVIVED,True,59130.0,1.5,True,40912.45,35.4,0.2,0.2,62.300000000000615,62.300000000000615,10.699999999999978,0.0,48.60000000000042,48.60000000000042,0.0,10.699999999999978
27,64.5,60000.0,0.0,180.0,BehaviorType.ATTACK,58056.2702753855,922.1668531390214,1,60000.0,0.0,180.0,BehaviorType.ATTACK,33815.925062400405,5603.042165003398,0,VIPER_WIN,True,57990.0,3.4,True,33741.882,50.2,0.2,0.2,0.0,0.0,0.0,0.0,64.40000000000062,64.30000000000062,0.0,0.0
