,run_number,total_run_time,viper_initial_contact_range,viper_initial_contact_ata,viper_initial_contact_aa,viper_briefed_behavior,viper_briefed_launch_range,viper_briefed_evasion_range,viper_alive,cobra_initial_contact_range,cobra_initial_contact_ata,cobra_initial_contact_aa,cobra_briefed_behavior,cobra_briefed_launch_range,cobra_briefed_evasion_range,cobra_alive,outcome,viper_launched,viper_launch_range,viper_time_at_launch,cobra_launched,cobra_launch_range,cobra_time_at_launch,viper_time_in_NEUTRAL,cobra_time_in_NEUTRAL,viper_time_in_DEFENSIVE,cobra_time_in_DEFENSIVE,viper_time_in_HEADON,cobra_time_in_HEADON,viper_time_in_OFFENSIVE,cobra_time_in_OFFENSIVE,viper_p_NEUTRAL,viper_p_DEFENSIVE,viper_p_HEADON,viper_p_OFFENSIVE,cobra_p_NEUTRAL,cobra_p_DEFENSIVE,cobra_p_HEADON,cobra_p_OFFENSIVE,lognorm_viper_launch_range,lognorm_viper_briefed_launch_range,lognorm_viper_briefed_evasion_range,lognorm_cobra_launch_range,lognorm_cobra_briefed_launch_range,lognorm_cobra_briefed_evasion_range,norm_viper_launch_range,norm_viper_briefed_launch_range,norm_viper_briefed_evasion_range,norm_cobra_launch_range,norm_cobra_briefed_launch_range,norm_cobra_briefed_evasion_range,briefed_evasion_range_diff,launch_range_diff,briefed_launch_range_diff,time_at_launch_diff,viper_launch_cobra_evade_diff,viper_evade_cobra_launch_diff
0,1,66.5,60000.0,0.0,180.0,BehaviorType.ATTACK,39610.12148985076,30236.49070763669,0,60000.0,0.0,180.0,BehaviorType.ATTACK,56918.425395145656,572.5821007682607,1,0,1,39528.92,37.3,1,56850.0,5.3,0.0,0.0,0.0,0.0,66.50000000000051,66.6000000000005,0.0,0.0,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,0.62390308678749,0.5454641638308567,0.8732044663507434,0.9533124952655438,0.8347203372372288,0.3135898008683648,0.6611349534210834,0.39221688075999145,0.43190446338627864,0.9508287200414778,0.7387309298796907,0.007282087383143697,0.4245258671450653,-0.28969376662039437,-0.34622766671545285,31.999999999999996,39037.5393890825,-26681.934687508965
1,2,72.9,60000.0,0.0,180.0,BehaviorType.ATTACK,51061.78735194412,37767.94774071995,0,60000.0,0.0,180.0,BehaviorType.ATTACK,61322.676010170064,11808.83412527232,1,0,1,50988.99,15.2,1,59790.0,0.4,0.0,0.0,13.899999999999968,0.0,59.00000000000057,59.00000000000057,0.0,13.999999999999966,9.998000399919944e-05,0.19063402682974878,0.8091660131622528,9.998000399919944e-05,9.984307243840816e-05,9.984307243840816e-05,0.8080577879103069,0.19174252594481628,0.8552813631361486,0.7482140313656731,0.9068659171415312,1.0,0.8945383415963241,0.7459076160297005,0.852803766453145,0.6212909467766314,0.539822234918899,1.0,0.8271407742099988,0.16808623822450008,0.3715058377493624,-0.14719623354685496,-0.2052542847643104,14.799999999999999,39252.9532266718,-23554.728269450112
2,3,165.8,60000.0,0.0,180.0,BehaviorType.ATTACK,32781.23290953119,19851.3452349396,1,60000.0,0.0,180.0,BehaviorType.ATTACK,27852.90780969698,66787.44471198067,1,2,1,32670.0,45.6,1,27757.391,53.8,85.99999999999939,85.99999999999939,0.0,7.899999999999988,72.0000000000002,72.0000000000002,7.899999999999988,0.0,0.5183327669844666,9.992973577444788e-05,0.4339530142195577,0.04761428906020126,0.5183327669844666,0.04761428906020126,0.4339530142195577,9.992973577444788e-05,0.45069434524978985,0.39438800818051833,0.8095207039637582,0.2894991869730911,0.2611190959669277,0.9934133172041499,0.5464200297703667,0.25561480973323103,0.2830963706716161,0.4642570119248716,0.15527687384952324,0.9548956450047341,-0.6717114927425412,0.08216301784549512,0.09858403859021722,-8.199999999999996,-34006.211802449485,-8001.5625747573795
3,4,67.2,60000.0,0.0,180.0,BehaviorType.ATTACK,59822.93677234362,19519.066031154507,1,60000.0,0.0,180.0,BehaviorType.ATTACK,49951.13402288704,36004.008510846106,0,3,1,59730.0,0.5,1,49855.843,17.2,0.0,0.0,0.0,2.800000000000001,64.40000000000063,64.40000000000063,2.900000000000001,0.0,9.983147496250284e-05,9.983147496250284e-05,0.9567183017239949,0.043082035326080105,9.998000399919923e-05,0.04165833499966636,0.9581417049923353,9.998000399919923e-05,0.9990874769923881,0.8746396082626715,0.8069659475814566,0.8317557300776481,0.7299221482802553,0.9051505407663559,0.9989965044906424,0.7965451102214047,0.27833516297414074,0.8338519676874446,0.5988712353555021,0.5143480044296289,-0.235919163377115,0.16514453680319774,0.19747118209392855,-16.7,23818.928261497516,-30432.067991732532
4,5,189.2,60000.0,0.0,180.0,BehaviorType.ATTACK,47815.39295960245,41331.57567638246,1,60000.0,0.0,180.0,BehaviorType.ATTACK,22867.11923102849,3079.586821095307,1,2,1,47730.0,20.5,1,22815.883,69.0,64.8000000000006,64.8000000000006,40.80000000000031,0.0,83.69999999999953,83.69999999999953,0.0,40.80000000000031,0.342279577762225,0.21550936377621538,0.4421111212762008,9.993718535896971e-05,0.342279577762225,9.993718535896971e-05,0.4421111212762008,0.21550936377621538,0.7952506792462065,0.6957694383727664,0.9205123313880387,0.10797473636855297,0.1028170531597454,0.553914227096908,0.7982974026191233,0.5563515071961455,0.5908852342427695,0.3816106604672944,0.055193379372570905,0.04316031121866294,0.5474315254279795,0.4166867421518289,0.4990542486938975,-48.5,44735.80613850715,18464.45644535397
5,6,128.0,60000.0,0.0,180.0,BehaviorType.ATTACK,55449.4512964072,67608.62249237711,1,60000.0,0.0,180.0,BehaviorType.ATTACK,42682.31103595375,53013.97490293895,1,2,1,55350.0,7.8,1,42627.046,31.0,89.2999999999992,89.2999999999992,0.0,2.3000000000000007,36.50000000000025,36.50000000000025,2.3000000000000007,0.0,0.6970419817535765,9.991195259177892e-05,0.28490517731249654,0.01795292898133528,0.6970419817535765,0.01795292898133528,0.28490517731249654,9.991195259177892e-05,0.9298697687111359,0.8140287686045411,0.9949918882859375,0.6867115576316601,0.6037052735885513,0.9604215193224436,0.925741332307538,0.7090598384101001,0.967407376290968,0.712950878894817,0.452958669311443,0.7577808853898821,0.20886679182082846,0.21279045341272096,0.2553882348722489,-23.2,2435.4763934682487,24926.311456423355
6,7,63.3,60000.0,0.0,180.0,BehaviorType.ATTACK,65266.97571494345,5490.139309497942,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35620.65913707324,16632.88479084801,0,3,1,59790.0,0.4,1,35534.395,47.2,0.0,0.0,0.0,0.0,63.40000000000063,63.30000000000063,0.0,0.0,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,9.998000399920017e-05,9.998000399920017e-05,0.9997000599880025,9.998000399920017e-05,1.0,0.9441760946103108,0.6149906918264896,0.5182032934714852,0.4585485959517381,0.7948374268859777,1.0,0.9054452607455579,0.07731555917832514,0.5943268217624725,0.3112048047686119,0.23712414954954597,-0.15946596082593156,0.40567317823752747,0.5930318228537466,-46.800000000000004,48634.09092409544,-30130.5198275753
7,8,176.2,60000.0,0.0,180.0,BehaviorType.ATTACK,26535.854318034697,18871.59453293081,1,60000.0,0.0,180.0,BehaviorType.ATTACK,21080.23771499424,13793.273933534065,1,2,1,26430.0,56.0,1,20977.052,65.1,88.49999999999925,88.49999999999925,6.899999999999992,0.0,80.8999999999997,80.8999999999997,0.0,6.899999999999992,0.5019350873724349,0.039133922066325724,0.45883105727039747,9.99332908418348e-05,0.501935087372435,9.993329084183481e-05,0.4588310572703976,0.03913392206632573,0.2580519331577991,0.22564301260887049,0.8018604012255255,0.0301707160976393,0.037514541524590314,0.7680964387713656,0.44205649679717685,0.13068501480243014,0.26905758482262826,0.35085634961783546,0.01932395901525152,0.1964859357007943,0.07267681695865175,0.09120014717934138,0.10913174493007033,-9.099999999999994,12742.580384500632,-2208.6431820634316
8,9,130.7,60000.0,0.0,180.0,BehaviorType.ATTACK,40395.022379775786,53754.50584529198,1,60000.0,0.0,180.0,BehaviorType.ATTACK,53807.28084822444,15480.832142210222,1,2,0,-1.0,-1.0,1,53730.0,10.5,0.0,0.0,95.29999999999886,0.0,35.500000000000234,35.500000000000234,0.0,95.29999999999886,9.990358195999737e-05,0.7284476940158865,0.2713524988201936,9.990358195999737e-05,9.990358195999737e-05,9.990358195999737e-05,0.2713524988201936,0.7284476940158865,,0.5611298791953813,0.9602866328508057,0.901048556382257,0.7896061173706885,0.7845840195833743,0.0,0.40791769149272245,0.7688926149985793,0.8986469535548829,0.6762785789294333,0.22063690384833437,0.5477418614304231,-0.8986469535548829,-0.2682928945738567,-11.5,24914.190237565563,-52.77500293246703
9,10,160.3,60000.0,0.0,180.0,BehaviorType.ATTACK,35510.69957460329,61096.083623243394,1,60000.0,0.0,180.0,BehaviorType.ATTACK,36089.64505347124,30868.186983947136,1,2,1,35430.0,41.0,1,35970.0,40.1,95.49999999999883,95.49999999999883,0.5,0.0,64.40000000000063,64.40000000000063,0.0,0.5,0.5953270380771744,0.0031168954873150865,0.40145613876618713,9.99276693233217e-05,0.5953270380771745,9.992766932332171e-05,0.4014561387661872,0.0031168954873150873,0.5244054714735371,0.4582406967142426,0.9796622134351735,0.529484988025471,0.46904672292245686,0.8831658455271438,0.5925808232008162,0.31021385537030394,0.8740896186925079,0.6016122827850345,0.32061911278287647,0.44084828070460863,0.4325972076989674,-0.00903145958421836,-0.011580969654836681,0.8999999999999986,4642.512590656155,25006.438569772152
10,11,146.7,60000.0,0.0,180.0,BehaviorType.ATTACK,55419.04139356301,58384.403371856126,1,60000.0,0.0,180.0,BehaviorType.ATTACK,44476.76735665689,37490.4752242187,1,2,1,55350.0,7.8,1,44390.388,26.5,0.0,0.0,111.99999999999793,0.0,34.800000000000225,34.800000000000225,0.0,111.99999999999793,9.991191133870235e-05,0.7627903251489064,0.23700985102841612,9.991191133870235e-05,9.991191133870235e-05,9.991191133870235e-05,0.23700985102841612,0.7627903251489064,0.9298697687111359,0.8135907966646516,0.9727911802062427,0.72424328742247,0.6367581324194385,0.9109296342884478,0.925741332307538,0.7084515321448303,0.8352341238588703,0.7424426418691776,0.48898014443588317,0.5356211137437085,0.2990170001699872,0.18329869043836033,0.21888441693007915,-18.7,17928.56616934431,13907.636015199234
11,12,150.1,60000.0,0.0,180.0,BehaviorType.ATTACK,42196.17018749809,32407.18906706995,1,60000.0,0.0,180.0,BehaviorType.ATTACK,37000.37914191262,44469.75923303981,1,2,1,42090.0,29.9,1,36939.444,38.5,92.899999999999,92.899999999999,0.0,1.0,56.30000000000053,56.30000000000053,1.0,0.0,0.6184468516162219,9.992343641291271e-05,0.37479610060273405,0.006657124344631093,0.6184468516162219,0.006657124344631093,0.37479610060273405,9.992343641291271e-05,0.6809599667602784,0.5959575046962481,0.8836975250395002,0.554109826008985,0.4890491804810543,0.9353167687272165,0.7039688247395093,0.44394705672050633,0.46300826290216746,0.617826161127929,0.3389009650259649,0.6355029814760826,-0.17262974773731793,0.0861426636115803,0.10393430923660757,-8.600000000000001,-2273.5890455417175,-4593.190074842671
12,13,144.8,60000.0,0.0,180.0,BehaviorType.ATTACK,45363.60159172483,55585.39378264812,1,60000.0,0.0,180.0,BehaviorType.ATTACK,43347.08515341601,34845.56374110488,1,2,1,45270.0,24.6,1,43230.045,28.0,91.39999999999908,91.39999999999908,3.800000000000002,0.0,49.700000000000436,49.700000000000436,0.0,3.800000000000002,0.6307168200168775,0.0262223623201768,0.34296089666126256,9.992100168319999e-05,0.6307168200168775,9.992100168319999e-05,0.34296089666126256,0.0262223623201768,0.7471571552915953,0.6537446884725404,0.9653557188528136,0.6997179367237986,0.6161093166276603,0.9004788202289011,0.7571540867354618,0.5073069555625407,0.7951272924663657,0.7230359920389356,0.46630318155131484,0.49776927986127617,0.2968116727135812,0.03411809469652616,0.04033750419158255,-3.3999999999999986,10518.037850619949,12238.30862923211
13,14,172.1,60000.0,0.0,180.0,BehaviorType.ATTACK,28957.49816774342,28127.70884626917,1,60000.0,0.0,180.0,BehaviorType.ATTACK,21287.811696755576,18541.07377626845,1,2,1,28890.0,51.9,1,21191.616,64.8,85.09999999999944,85.09999999999944,9.89999999999998,0.0,77.1999999999999,77.1999999999999,0.0,9.89999999999998,0.49414341342540485,0.05748554398250917,0.448271110651486,9.993194059989745e-05,0.49414341342540485,9.993194059989745e-05,0.448271110651486,0.05748554398250917,0.33893778573383726,0.29536738304614024,0.8622628825886257,0.039593507280142645,0.04537893644358944,0.8103515338657367,0.4831998126808383,0.17912650879792125,0.4016878614555327,0.3544449164589989,0.023490748105758397,0.2644326069227159,0.13719616723579803,0.1287548962218394,0.15342102067417762,-12.899999999999999,10416.424391474968,6839.897149513596
14,15,129.4,60000.0,0.0,180.0,BehaviorType.ATTACK,54574.16502607605,39414.41260055523,1,60000.0,0.0,180.0,BehaviorType.ATTACK,35063.76717248944,46942.39032204791,1,2,1,54510.0,9.2,0,-1.0,-1.0,0.0,0.0,0.0,83.29999999999954,46.20000000000039,46.20000000000039,83.29999999999954,0.0,9.990281478882837e-05,9.990281478882837e-05,0.3566854747483701,0.6431147196220522,9.990281478882837e-05,0.6431147196220522,0.3566854747483701,9.990281478882837e-05,0.9159708416523464,0.8013255799014117,0.9133240395308957,,0.4459017102718471,0.9430464467584248,0.9116923951765316,0.6915509984484841,0.563414325771929,0.0,0.3000258923493919,0.6708892777023312,-0.10773432835231456,0.9116923951765316,0.3902773814522056,10.2,7631.774704028139,4350.645428065793
15,16,76.9,60000.0,0.0,180.0,BehaviorType.ATTACK,61962.47435209341,171.4977269496154,1,60000.0,0.0,180.0,BehaviorType.ATTACK,28298.943605277116,42187.20439785425,0,3,1,59790.0,0.4,0,-1.0,-1.0,0.0,0.0,0.0,20.700000000000024,56.20000000000053,56.20000000000053,20.800000000000026,0.0,9.985018576808872e-05,9.985018576808872e-05,0.7297243745340232,0.2700759250944405,9.998000399919945e-05,0.2691269288404982,0.7306731111515035,9.998000399919945e-05,1.0,0.9026945082516038,0.09039836071774046,,0.2738700347448807,0.9277898319519409,1.0,0.8393434749912877,0.0011050802964761841,0.0,0.16423048677937385,0.6028369028565932,-0.6012948106254798,1.0,0.6733904007953422,1.4,19775.269954239164,-28127.4458783275
16,17,176.4,60000.0,0.0,180.0,BehaviorType.ATTACK,28537.973684415567,50492.15644960762,1,60000.0,0.0,180.0,BehaviorType.ATTACK,26416.23433251301,2938.0092858715248,1,2,1,28470.0,52.6,1,26310.061,56.2,53.40000000000049,53.40000000000049,46.40000000000039,0.0,76.69999999999993,76.69999999999993,0.0,46.40000000000039,0.3025193402767012,0.2628632469820023,0.43451747938619373,9.99333551026397e-05,0.30251934027670124,9.993335510263972e-05,0.43451747938619384,0.26286324698200236,0.3256276945660245,0.28371618021331285,0.9508108277544798,0.2399148770718958,0.21861468556517208,0.5471914066673387,0.4761753441153351,0.17073452632596028,0.7221466168209973,0.44005052599889616,0.1264374435868534,0.04113416804563479,0.6805564913436511,0.03612481811643892,0.04244233688101884,-3.6000000000000014,25599.96439854404,24075.922117094608
17,18,122.8,60000.0,0.0,180.0,BehaviorType.ATTACK,58538.2529737297,47136.940591213104,1,60000.0,0.0,180.0,BehaviorType.ATTACK,37858.510039934525,45559.29152204914,1,2,1,58470.0,2.6,1,37799.322,42.5,67.10000000000046,67.10000000000046,0.0,6.799999999999992,49.000000000000426,49.000000000000426,6.799999999999992,0.0,0.545917787872782,9.990865029922081e-05,0.39865829516790413,0.05532400830901471,0.545917787872782,0.05532400830901471,0.39865829516790413,9.990865029922081e-05,0.9797097585948545,0.857307820308661,0.9404040032240167,0.575416660034981,0.5074508225178204,0.9387744000634864,0.9779230987941329,0.7708468629237495,0.6740699409721795,0.6322075563211854,0.3561268737538504,0.6510954863581647,0.02257803743982545,0.34571554247294745,0.4136684439688483,-39.9,12978.96145168056,9278.43055127858
