  315 # Lines.
# Color     Move         Draw            Draw
#=====================================================
    1    19 -40 -66	9 -9 -5		-53 -16 52  
    3    -3 31 5	-5 7 -9		-72 -63 -61  
    1    -45 -5 66	-1 -3 -3	38 4 51  
    1    29 55 -20	2 -3 4		28 25 -32  
    3    -50 -16 30	-9 7 -1		-19 61 -48  
    1    -44 57 12	8 9 -3		36 37 -53  
    1    62 -53 -32	-1 5 5		-60 22 37  
    3    -64 -67 66	-8 4 8		8 -21 -21  
    3    -4 -2 66	2 0 6		2 47 50  
    1    28 1 -53	-3 -1 2		5 -51 23  
    1    -48 -38 -18	0 -2 -3		3 -19 8  
    1    -20 -15 3	-1 -4 -8	63 -30 64  
    3    63 5 13	0 -7 8		45 -54 27  
    1    -16 43 4	3 3 -5		62 31 63  
    1    1 -55 20	-5 -2 -3	-28 54 -31  
    1    10 -33 -38	-7 7 0		25 -16 -20  
    1    -11 65 12	8 7 6		-56 -31 -9  
    1    44 55 -52	-6 -3 7		-48 -6 43  
    1    12 -66 48	1 -8 4		38 -11 15  
    1    46 48 31	0 -7 -5		-57 -64 -24  
    3    45 43 54	-3 6 6		6 -52 -46  
    1    -8 -47 45	-3 5 7		-30 44 -7  
    1    16 59 59	-6 7 -6		0 55 -29  
    1    20 -6 53	3 5 -6		56 -52 -16  
    1    -1 52 -39	4 -4 5		18 59 -38  
    3    -49 -55 39	5 3 -1		-17 -56 -29  
    1    6 23 34	3 -5 3		32 28 59  
    1    47 11 38	1 -5 -7		-59 40 -16  
    1    -60 -58 53	7 2 -7		0 -24 9  
    1    18 -48 44	5 0 1		-23 -54 21  
    3    -17 2 -16	4 6 -7		-57 -45 34  
    1    50 -27 2	6 0 -7		16 46 55  
    1    54 37 24	4 6 -2		-56 4 12  
    1      -26 11 37	1 -6 3		-45 -22 17  
    1    -47 54 -25	-2 0 1		30 59 1  
    1    -1 47 23	3 0 5		27 37 47  
    1    -21 -44 40	-5 -7 -7	29 39 23  
    1    -14 -20 10	0 -5 1		10 32 -12  
    1    -9 22 -3	-5 6 0		-57 37 50  
    1    -56 58 55	-7 -7 -1	27 -24 -28  
    1    -16 -48 -34	0 -1 0		-22 -31 -11  
    1    2 -2 11	7 -7 6		-43 14 -10  
    1    7 47 -22	4 1 0		-2 -35 16  
    3    -20 8 -7	4 -1 3		-50 8 17  
    1    52 -33 -46	-6 -6 -2	-41 -36 -35  
    3    38 -9 46	3 5 -1		42 31 8  
    1    8 -32 43	-5 1 -5		-23 12 -16  
    1    47 -26 -5	6 -6 4		43 25 -6  
    1    -29 -41 -2	-5 -4 3		-1 43 0  
    1    39 10 7	-4 -4 5		-18 36 26  
    1    -26 -38 27	-6 -3 -1	28 -21 20  
    3    -20 -3 -46	-5 -6 -2	48 29 -6  
    1    18 23 -4	0 6 2		18 52 -29  
    1    22 -10 15	-6 -5 -6	22 27 -31  
    1    -26 -28 32	-2 2 -6		25 0 -14  
    1    28 35 0	1 -5 -6		12 -2 41  
    1    -43 38 12	2 0 -5		-5 32 -36  
    3    43 51 -41	6 -5 -3		-52 45 -12  
    1    10 -26 -40	-2 2 -1		-27 0 31  
    1    -37 15 43	-5 -2 1		0 -21 -6  
    1    -40 -25 -31	-4 6 -6		31 -50 -45  
    1    -25 43 49	-1 -3 3		15 -16 -13  
    3    41 32 -4	2 3 -5		35 -46 -22  
    1    -9 -10 -33	-3 -3 -6	-10 -3 -43  
    1    -27 34 36	2 0 6		51 -24 8  
    1    -9 -10 -8	-3 0 0		-30 -39 -48  
    1    33 -30 -18	4 6 4		33 -36 -52  
    1    -40 36 -2	5 6 -6		36 2 3  
    1    1 -12 22	-6 0 6		18 0 27  
    1    38 19 22	5 -3 -6		-13 -8 -5  
    1    31 44 -27	-4 1 2		22 42 20  
    1    19 -33 36	-4 5 -5		31 -15 31  
    1    5 18 15	-2 5 -4		-3 0 -45  
    1    10 45 12	1 4 2		43 -24 -13  
