,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,kernel_structure,n_kernels
0,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
1,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
2,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
3,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
4,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
5,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
6,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
7,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
8,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
9,0,0,2,1,0,['SE_1^(0) + SE_2^(0) + SE_3^(0)'],3
10,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
11,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
12,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
13,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
14,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
15,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
16,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
17,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
18,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
19,0,0,2,1,1,['SE_1^(1) + SE_2^(1) + SE_3^(1)'],3
20,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
21,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
22,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
23,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
24,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
25,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
26,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
27,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
28,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
29,0,0,2,1,2,['SE_1^(2) + SE_2^(2) + SE_3^(2)'],3
30,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
31,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
32,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
33,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
34,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
35,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
36,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
37,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
38,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
39,0,0,2,1,3,['SE_1^(3) + SE_2^(3) + SE_3^(3)'],3
40,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
41,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
42,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
43,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
44,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
45,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
46,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
47,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
48,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
49,0,1,2,1,0,['SE_1^(0) + SE_2^(0) + M52_1^(0)'],3
50,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
51,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
52,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
53,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
54,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
55,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
56,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
57,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
58,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
59,0,1,2,1,1,['SE_1^(1) + SE_2^(1) + M52_1^(1)'],3
60,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
61,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
62,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
63,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
64,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
65,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
66,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
67,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
68,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
69,0,1,2,1,2,['SE_1^(2) + SE_2^(2) + M52_1^(2)'],3
70,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
71,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
72,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
73,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
74,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
75,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
76,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
77,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
78,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
79,0,1,2,1,3,['SE_1^(3) + SE_2^(3) + M52_1^(3)'],3
80,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
81,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
82,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
83,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
84,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
85,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
86,0,2,2,1,0,['SE_1^(0) + SE_2^(0) + PPoly2_1^(0)'],3
