,test_id,kcid,lmc_prior_code,lengthscale_prior_code,input,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0,0,12021.070832794348,4.009554924845361,331.62098704610736,False,2945,300,log,2943,2,0,0,-545.79854,6447.14813,6449.93755,-148.57042,-181.6459
1,0,0,2,1,0,0,12021.717166508502,4.373179530455673,331.65607917108935,False,2945,300,log,2945,0,0,0,-545.64874,6447.58056,6450.1295,-147.88566,-182.45849
2,0,0,2,1,0,0,12017.712823710233,4.1192236897331895,331.56922144840837,False,2945,300,log,2945,0,0,0,-545.04876,6446.9249,6449.40682,-148.79293,-184.77721
3,0,0,2,1,0,0,12020.934076567039,4.231743924501643,331.68705022269427,False,2945,300,log,2945,0,0,0,-546.63711,6447.77363,6450.4477,-148.63281,-182.01733
4,0,0,2,1,0,0,12024.58513797778,3.963052513257935,331.6646327363885,False,2945,300,log,2945,0,0,0,-545.69859,6448.17327,6450.81605,-148.52605,-180.17953
5,0,0,2,1,0,0,12025.845716173699,3.973067712828197,331.6751882602035,False,2945,300,log,2945,0,0,0,-545.76505,6448.75784,6451.2083,-148.27969,-180.07568
6,0,0,2,1,0,0,12024.12610234478,4.031864414999291,331.6998281176714,False,2945,300,log,2945,0,0,0,-546.0697,6448.46898,6451.15656,-148.20713,-181.22261
7,0,0,2,1,0,0,12022.092101721397,4.0737085090240726,331.6816613216647,False,2945,300,log,2945,0,0,0,-548.2626,6448.44432,6450.26582,-148.41009,-179.94535
8,0,0,2,1,0,0,12025.725833611517,3.974643273284528,331.7132666129793,False,2945,300,log,2945,0,0,0,-546.46577,6448.83686,6451.55146,-148.08892,-180.1078
9,0,0,2,1,0,0,12014.123278714125,4.69576967167086,331.6876995519479,False,2945,300,log,2945,0,0,0,-549.96081,6446.44554,6448.95249,-148.72644,-182.58751
10,0,0,2,1,1,0,12132.747549026635,4.694675720222222,336.1493921297502,False,2945,300,log,2945,0,0,0,-502.40751,6533.83455,6535.2018,-214.08061,-219.80068
11,0,0,2,1,1,0,12139.557921097943,5.012402246147758,335.9741808452077,False,2945,300,log,2945,0,0,0,-496.7406,6534.0015,6536.26469,-213.91541,-220.05226
12,0,0,2,1,1,0,12138.337863165561,4.835147293875707,335.8787198133815,False,2945,300,log,2945,0,0,0,-496.40775,6533.30583,6535.6913,-213.88366,-220.36785
13,0,0,2,1,1,0,12135.870796306268,4.799150157628901,336.0796101125205,False,2945,300,log,2945,0,0,0,-499.91045,6533.91191,6536.10153,-214.20856,-220.02362
14,0,0,2,1,1,0,12134.982247173482,5.5479546385231515,335.84943328989345,False,2945,300,log,2945,0,0,0,-497.60967,6532.92931,6534.3935,-213.97434,-220.75654
15,0,0,2,1,1,0,12139.084534979502,4.689049432574393,335.93892255036525,False,2945,300,log,2945,0,0,0,-496.40681,6533.4846,6536.19149,-214.03702,-220.14772
16,0,0,2,1,1,0,12137.989430965,4.771945798758679,335.9268975228586,False,2945,300,log,2945,0,0,0,-497.32111,6533.40301,6536.18832,-214.06497,-220.21582
17,0,0,2,1,1,0,12138.387764525833,4.547893726981783,335.964887631314,False,2945,300,log,2945,0,0,0,-497.18457,6533.81296,6536.05951,-214.07432,-220.22581
18,0,0,2,1,1,0,12129.04888133836,6.726578781574062,336.1283715257881,False,2945,300,log,2945,0,0,0,-503.63179,6532.36529,6534.6649,-214.26923,-220.08029
19,0,0,2,1,1,0,12131.95138120701,4.559740938773757,336.00553413611897,False,2945,300,log,2945,0,0,0,-500.85353,6532.61278,6534.98365,-214.89112,-219.90041
20,0,0,2,1,2,0,12001.255630320236,4.090358204044605,332.0786311818329,False,2945,300,log,2945,0,0,0,-547.56197,6448.58229,6450.71245,-201.1962,-149.28094
21,0,0,2,1,2,0,12011.392532233125,4.277486913801113,332.056418167769,False,2945,300,log,2945,0,0,0,-543.7137,6449.95226,6452.53394,-199.7256,-147.65437
22,0,0,2,1,2,0,12002.258869048694,4.051493918936103,332.0457619176298,False,2945,300,log,2945,0,0,0,-546.08774,6448.26361,6450.37265,-202.00947,-148.28018
23,0,0,2,1,2,0,12000.868705717074,4.133796051239187,332.0955009550322,False,2945,300,log,2945,0,0,0,-547.22354,6448.00026,6450.78207,-201.94425,-148.74583
24,0,0,2,1,2,0,12000.199295079896,4.24609604203215,332.0915782393852,False,2945,300,log,2945,0,0,0,-547.12043,6448.19738,6450.78842,-203.34911,-148.31697
25,0,0,2,1,2,0,12004.278731745684,3.7509869593486656,332.11033202785893,False,2945,300,log,2945,0,0,0,-548.3761,6449.26914,6451.76389,-200.29092,-148.08727
26,0,0,2,1,2,0,12004.22204615238,3.8949300009480794,332.11435916936773,False,2945,300,log,2945,0,0,0,-546.71318,6449.2578,6451.25149,-201.57394,-148.00012
27,0,0,2,1,2,0,12002.15517572639,3.687389229075052,332.0775612468026,False,2945,300,log,2945,0,0,0,-546.74989,6448.12166,6450.90808,-200.41272,-149.71196
28,0,0,2,1,2,0,12002.696239163086,3.830751067102028,332.1331730370825,False,2945,300,log,2945,0,0,0,-546.64978,6448.72873,6450.82219,-201.13614,-149.06876
29,0,0,2,1,2,0,12002.083576133864,4.215533319522365,332.0541667203358,False,2945,300,log,2945,0,0,0,-547.95162,6448.28458,6451.15137,-201.12116,-148.2796
30,0,0,2,1,3,0,12097.324049696861,5.245788858417654,336.4176058561283,False,2945,300,log,2945,0,0,0,-523.43527,6528.83828,6531.06365,-230.23472,-208.90788
31,0,0,2,1,3,0,12104.142387113832,4.856699449601365,336.4281598726117,False,2945,300,log,2945,0,0,0,-520.71281,6529.90014,6532.6726,-229.04401,-208.67353
32,0,0,2,1,3,0,12086.0554940074,7.438697191457322,336.20171443233323,False,2945,300,log,2945,0,0,0,-525.87405,6524.54642,6526.19685,-230.26572,-208.54801
33,0,0,2,1,3,0,12087.673485039875,4.746592566660183,336.1342860402082,False,2945,300,log,2945,0,0,0,-525.1886,6524.39076,6526.81023,-229.83134,-208.50756
34,0,0,2,1,3,0,12091.039787937922,4.752961945847346,336.2402238261713,False,2945,300,log,2945,0,0,0,-523.33475,6524.45838,6527.92381,-229.41082,-208.59683
35,0,0,2,1,3,0,12102.064508574967,5.214565058529843,336.27823305856055,False,2945,300,log,2945,0,0,0,-520.28392,6528.69778,6531.04345,-228.83567,-208.55714
36,0,0,2,1,3,0,12092.561419625803,4.850967259520985,336.41182841863593,False,2945,300,log,2945,0,0,0,-525.67467,6527.44568,6529.98733,-230.62451,-208.57241
37,0,0,2,1,3,0,12097.485587371908,5.1164624218272365,336.4627780465001,False,2945,300,log,2945,0,0,0,-523.30121,6528.37939,6531.41875,-230.00426,-209.00708
38,0,0,2,1,3,0,12103.83761106113,4.873580208319254,336.3380598431195,False,2945,300,log,2945,0,0,0,-519.88466,6529.30992,6531.97751,-228.9916,-208.57355
39,0,0,2,1,3,0,12098.929647641464,4.788989929234958,336.5145148790771,False,2945,300,log,2945,0,0,0,-523.03954,6529.16408,6532.03551,-230.2286,-209.00181
40,0,1,2,1,0,0,12026.31043028418,4.88511281630781,331.64688520453944,False,2945,300,log,2945,0,0,0,-545.6052,6448.9191,6450.4376,-145.76708,-181.67399
41,0,1,2,1,0,0,12029.887444791864,4.672935099268216,331.59575158852635,False,2945,300,log,2945,0,0,0,-543.21797,6448.66111,6451.08699,-145.0609,-181.58179
42,0,1,2,1,0,0,12026.733296910883,4.248006717512908,331.6897300785314,False,2945,300,log,2945,0,0,0,-544.83,6448.65784,6451.6484,-147.94755,-180.79539
43,0,1,2,1,0,0,12025.823596592538,3.4319782190923434,331.6369478023145,False,2945,300,log,2945,0,0,0,-544.65455,6448.46238,6450.80598,-147.75268,-181.03753
44,0,1,2,1,0,0,12021.08105411773,3.836912427948846,331.66575201189664,False,2945,300,log,2944,1,0,0,-547.82474,6447.53287,6450.25387,-148.27156,-180.60938
45,0,1,2,1,0,0,12023.785296694396,4.498091405468585,331.6676871770105,False,2945,300,log,2944,1,0,0,-546.05144,6447.77533,6450.8721,-147.64169,-181.169
46,0,1,2,1,0,0,12022.240316751248,4.132300674749786,331.6106885998853,False,2945,300,log,2945,0,0,0,-545.68169,6447.02686,6450.51785,-147.68679,-181.9359
47,0,1,2,1,0,0,12021.705366774553,4.025961479033867,331.68316032783366,False,2945,300,log,2945,0,0,0,-547.21158,6447.79921,6450.3983,-148.10713,-181.17342
48,0,1,2,1,0,0,11956.964101611888,4.709787728414085,332.1252782757866,False,2945,300,log,2945,0,0,0,-557.36223,6443.55772,6443.1344,-186.17273,-186.19306
49,0,1,2,1,0,0,12012.117944391639,4.663046959469284,331.8149404369133,False,2945,300,log,2945,0,0,0,-552.18995,6447.44435,6450.08223,-150.50944,-182.70924
50,0,1,2,1,1,0,12134.193419916315,5.272573810463655,335.9609761348218,False,2945,300,log,2945,0,0,0,-500.09642,6533.27912,6535.68883,-214.48256,-220.19554
51,0,1,2,1,1,0,12138.633284753807,4.566706181878544,335.9151425742744,False,2945,300,log,2944,1,0,0,-497.63744,6533.6766,6536.55813,-213.86478,-220.09923
52,0,1,2,1,1,0,12138.96298994581,4.7581068902782135,336.0703615137172,False,2945,300,log,2945,0,0,0,-498.25888,6534.45796,6536.71487,-214.09812,-219.85284
53,0,1,2,1,1,0,12136.925583127762,4.840243044938688,335.860399615694,False,2945,300,log,2945,0,0,0,-497.08511,6532.52745,6535.67722,-213.81936,-220.3746
54,0,1,2,1,1,0,12134.039899125226,5.661257208847019,335.91664514845917,False,2945,300,log,2945,0,0,0,-499.99909,6533.03563,6535.63184,-214.26488,-220.3636
55,0,1,2,1,1,0,12138.562903135633,4.796596584536019,335.99682591053465,False,2945,300,log,2945,0,0,0,-497.98816,6533.98307,6536.24808,-213.68548,-219.99461
56,0,1,2,1,1,0,12149.89639027043,5.428643986928364,335.97520482141834,False,2945,300,log,2944,1,0,0,-488.10539,6535.807,6536.46128,-214.20035,-220.06615
57,0,1,2,1,1,0,12138.599635146036,4.936870169623944,335.9191444630827,False,2945,300,log,2945,0,0,0,-496.88502,6533.79688,6536.02585,-213.97302,-220.36505
58,0,1,2,1,1,0,12137.157912474033,4.746183940851552,336.0681161451248,False,2945,300,log,2945,0,0,0,-500.35114,6534.79776,6537.05067,-214.31356,-220.02581
59,0,1,2,1,1,0,12128.113217394965,5.432925999240979,335.81393596574424,False,2945,300,log,2945,0,0,0,-500.22673,6528.74617,6534.02491,-214.04192,-220.38922
60,0,1,2,1,2,0,11998.301875264184,4.885374182238593,332.30223585751077,False,2945,300,log,2945,0,0,0,-552.76085,6449.10427,6451.67271,-200.15117,-149.56308
61,0,1,2,1,2,0,11999.520229821741,3.9914986548283196,332.11478380821,False,2945,300,log,2943,2,0,0,-547.95182,6448.02657,6450.53769,-200.5797,-150.5125
62,0,1,2,1,2,0,12002.853255515358,3.8635647757055267,332.11383806171193,False,2945,300,log,2945,0,0,0,-546.64647,6448.4036,6451.3492,-201.84367,-148.4094
63,0,1,2,1,2,0,11981.836986772254,4.616418937421258,332.1878389096642,False,2945,300,log,2945,0,0,0,-552.38779,6445.63584,6448.53023,-208.9323,-151.009
64,0,1,2,1,2,0,12000.47502698846,4.270381837319292,332.1097621867237,False,2945,300,log,2945,0,0,0,-547.18764,6448.83185,6449.90694,-201.65877,-149.41735
65,0,1,2,1,2,0,11994.519676912041,5.857772381481482,332.1716463183527,False,2945,300,log,2945,0,0,0,-549.76677,6447.78082,6449.84565,-200.86472,-152.4753
66,0,1,2,1,2,0,11995.9657702183,6.169227575552213,332.0202549620301,False,2945,300,log,2945,0,0,0,-547.08599,6446.68394,6449.45884,-203.89173,-149.19929
67,0,1,2,1,2,0,12004.890487512126,3.684083491929414,332.15156891846135,False,2945,300,log,2945,0,0,0,-547.82558,6449.40476,6451.89278,-200.54011,-148.04137
68,0,1,2,1,2,0,12002.334328789697,4.452104231666453,332.0253698987504,False,2945,300,log,2945,0,0,0,-546.95284,6447.92629,6450.70972,-200.48447,-148.86437
69,0,1,2,1,2,0,12000.366615274426,4.835585550295946,332.04174875173624,False,2945,300,log,2945,0,0,0,-548.01098,6447.75243,6450.56253,-200.38686,-149.55049
70,0,1,2,1,3,0,12104.295211826728,5.096001851066831,336.32247887367225,False,2945,300,log,2945,0,0,0,-519.6332,6529.20223,6532.28658,-229.02125,-208.53915
71,0,1,2,1,3,0,12105.289317012226,5.641631591020996,336.5233099371591,False,2945,300,log,2945,0,0,0,-519.7008,6530.91209,6533.58986,-230.3452,-209.16664
72,0,1,2,1,3,0,12100.920962600263,5.02428963665443,336.2805094891962,False,2945,300,log,2945,0,0,0,-520.17482,6527.76461,6531.02624,-229.02784,-208.66723
73,0,1,2,1,3,0,12099.745188964265,5.492319707595016,336.38101143443214,False,2945,300,log,2945,0,0,0,-522.22811,6528.63386,6531.12359,-229.16557,-208.61858
74,0,1,2,1,3,0,12085.707584003812,4.548311979749997,336.13428619370796,False,2945,300,log,2944,1,0,0,-525.46938,6523.4993,6526.05661,-229.81145,-208.5675
75,0,1,2,1,3,0,12104.063911997087,4.818951903143898,336.5050021106564,False,2945,300,log,2945,0,0,0,-521.25128,6530.56415,6533.0508,-229.46754,-208.83222
76,0,1,2,1,3,0,12087.935805423645,4.413475621649923,336.17791959242356,False,2945,300,log,2945,0,0,0,-525.42498,6524.65344,6527.06392,-229.71691,-208.63967
77,0,1,2,1,3,0,12102.740338729835,5.376677650794591,336.3486971229701,False,2945,300,log,2945,0,0,0,-520.5086,6529.34232,6531.6006,-229.13194,-208.56205
78,0,1,2,1,3,0,12101.171560932271,5.653654186569838,336.41721420337467,False,2945,300,log,2945,0,0,0,-521.31113,6529.14775,6532.00989,-229.6688,-209.00615
79,0,1,2,1,3,0,12102.57160507269,4.688137845825622,336.3628918435242,False,2945,300,log,2945,0,0,0,-520.82402,6529.69511,6531.47456,-229.09559,-208.67846
80,0,2,2,1,0,0,12027.71059789923,5.617482904322969,331.5114590839586,False,2945,300,log,2945,0,0,0,-542.88281,6447.27165,6449.78413,-143.72532,-182.73706
81,0,2,2,1,0,0,12024.158752505822,4.12375658392375,331.69129315061076,False,2945,300,log,2945,0,0,0,-546.93238,6448.53886,6450.74643,-147.69938,-180.49477
82,0,2,2,1,0,0,12027.182555052837,4.627911681649493,331.71240413402575,False,2945,300,log,2945,0,0,0,-544.93784,6448.92007,6451.42828,-147.64562,-180.58234
83,0,2,2,1,0,0,12025.804182822065,3.840331312303533,331.7174454855555,False,2945,300,log,2945,0,0,0,-546.31925,6448.83415,6451.50067,-148.16193,-180.04946
84,0,2,2,1,0,0,12029.303153851593,4.60327131273516,331.5974877248216,False,2945,300,log,2945,0,0,0,-544.60713,6448.66104,6450.93802,-145.71184,-179.97693
85,0,2,2,1,0,0,12024.588290970976,5.005524017076823,331.6188372747725,False,2945,300,log,2945,0,0,0,-546.77063,6448.40435,6450.41857,-147.94629,-179.51771
86,0,2,2,1,0,0,12028.393457406866,4.916612882801928,331.5940995509648,False,2945,300,log,2945,0,0,0,-543.50233,6448.31526,6450.4162,-145.79444,-181.04123
87,0,2,2,1,0,0,12024.595831926941,4.923528044379054,331.604794279275,False,2945,300,log,2945,0,0,0,-544.67073,6447.7172,6450.34633,-147.59755,-181.19942
88,0,2,2,1,0,0,12028.145964378205,4.897401609143344,331.6566733587252,False,2945,300,log,2945,0,0,0,-543.27275,6448.82767,6451.27219,-147.10836,-181.57278
89,0,2,2,1,0,0,12024.941897865923,4.268097594564097,331.5829195156906,False,2945,300,log,2944,1,0,0,-544.9023,6447.63201,6450.20127,-145.90922,-182.07987
90,0,2,2,1,1,0,12141.267960133067,4.861901473828766,335.9190798236332,False,2945,300,log,2945,0,0,0,-495.78289,6534.46851,6536.62939,-213.60715,-220.4399
91,0,2,2,1,1,0,12142.033706858861,4.980131283249648,336.0255579348407,False,2945,300,log,2945,0,0,0,-495.10461,6534.69635,6536.67769,-213.76243,-220.4733
92,0,2,2,1,1,0,12132.413290049613,5.467209799171542,335.7393795911429,False,2945,300,log,2945,0,0,0,-497.72938,6532.08391,6534.15008,-214.21304,-221.87828
93,0,2,2,1,1,0,12131.004386376026,5.532771588616015,335.7408854975758,False,2945,300,log,2944,1,0,0,-498.09005,6531.43417,6532.86704,-214.21933,-220.98744
94,0,2,2,1,1,0,12139.591499135164,5.753481623332846,336.02770715620983,False,2945,300,log,2945,0,0,0,-496.94678,6534.1668,6536.45985,-213.88976,-220.19862
95,0,2,2,1,1,0,12136.539084154801,5.272043812143238,335.8320237455872,False,2945,300,log,2945,0,0,0,-497.48567,6533.19569,6535.57481,-214.39859,-220.34715
96,0,2,2,1,1,0,12112.081846863999,6.309582688219962,335.8729993046143,False,2945,300,log,2945,0,0,0,-507.86854,6526.76216,6529.04452,-215.4824,-220.37388
97,0,2,2,1,1,0,12131.073125536286,5.3602166400833084,335.7505283727824,False,2945,300,log,2945,0,0,0,-497.94186,6530.77859,6533.39366,-214.2275,-220.92977
98,0,2,2,1,1,0,12137.691224634162,5.023022184979709,336.0210071376525,False,2945,300,log,2945,0,0,0,-499.24582,6534.32179,6536.33542,-213.69737,-220.02279
99,0,2,2,1,1,0,12133.445885085132,5.270571354749336,336.04099006828955,False,2945,300,log,2944,1,0,0,-501.1651,6533.18502,6535.97434,-214.55686,-219.99151
100,0,2,2,1,2,0,12016.589255716586,7.023796523282726,332.07093219510773,False,2945,300,log,2945,0,0,0,-544.5038,6450.95733,6453.09864,-198.65977,-144.30314
101,0,2,2,1,2,0,12012.00243478931,5.241811029436576,332.05193178728933,False,2945,300,log,2945,0,0,0,-545.24998,6450.38607,6452.81143,-199.84783,-146.09727
102,0,2,2,1,2,0,12001.653754299483,4.731008519667739,332.1139734038979,False,2945,300,log,2945,0,0,0,-547.08494,6448.68827,6451.11146,-199.49937,-151.56166
103,0,2,2,1,2,0,12001.824164321759,4.633189618529286,332.13367811556947,False,2945,300,log,2945,0,0,0,-546.186,6448.60732,6450.81244,-200.5092,-150.9004
104,0,2,2,1,2,0,12000.65401893331,4.756196878750416,332.0494741567187,False,2945,300,log,2945,0,0,0,-547.05928,6447.97584,6450.2736,-200.7826,-149.75354
105,0,2,2,1,2,0,11981.520145969345,4.940962852459052,332.30298741798833,False,2945,300,log,2945,0,0,0,-550.59408,6448.83992,6447.74515,-208.73002,-155.74082
106,0,2,2,1,2,0,12001.448467835773,5.734663496064968,332.0529608069079,False,2945,300,log,2945,0,0,0,-547.26735,6448.09305,6450.51119,-200.58882,-149.29961
107,0,2,2,1,2,0,12006.458119039427,4.369980457704514,332.15747720772566,False,2945,300,log,2945,0,0,0,-547.53949,6450.05958,6452.32722,-199.90238,-148.48681
108,0,2,2,1,2,0,12001.23103666491,5.150198783216183,332.12364353241895,False,2945,300,log,2945,0,0,0,-547.3802,6448.69431,6451.35125,-201.51205,-149.92227
109,0,2,2,1,2,0,12004.860478675499,4.182612158878328,332.1799208266365,False,2945,300,log,2945,0,0,0,-547.97113,6449.56486,6451.88678,-199.69595,-148.92407
110,0,2,2,1,3,0,12122.686150048408,6.939341043897002,336.52252908088684,False,2945,300,log,2945,0,0,0,-508.93493,6533.73466,6536.18546,-229.40746,-208.89158
111,0,2,2,1,3,0,12103.354593634951,6.496480528458051,336.4251957204878,False,2945,300,log,2945,0,0,0,-519.93977,6529.37413,6532.30003,-229.4816,-208.89819
112,0,2,2,1,3,0,12103.343664809427,5.401069665316754,336.5359411545449,False,2945,300,log,2945,0,0,0,-521.64699,6530.47593,6532.73487,-229.32929,-208.89085
