,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,1,,,,True,1960,300,log,1683,1,0,276,-278.81302,4577.84326,4578.4114,,-23.74204
1,0,0,2,1,1,8834.914778470542,7.523179645919299,283.9137317614965,True,1960,300,log,1720,0,0,240,-280.45889,4582.3303,4581.17135,-21.859,-26.26898
2,0,0,2,1,1,8822.860640813582,7.495450084234108,283.77111918878114,True,1960,300,log,1763,0,0,197,-282.38101,4578.256,4579.11476,-23.90261,-28.2265
3,0,0,2,1,1,8804.508140713928,9.93571534984585,284.41186716790605,True,1960,300,log,1812,0,0,148,-281.58059,4580.9542,4580.36578,-33.84448,-41.38676
4,0,0,2,1,1,8810.571559839698,8.652661488331432,283.3971138900823,True,1960,300,log,1865,1,0,94,-277.80053,4575.40568,4576.6775,-36.63758,-27.07351
5,0,0,2,1,1,8829.028290706177,7.1797875345455395,283.6849455002138,True,1960,300,log,1815,0,0,145,-275.77466,4580.2228,4579.41766,-26.83207,-28.00544
6,0,0,2,1,1,8826.086793270268,6.883660604029501,282.9202058593287,True,1960,300,log,1747,2,0,211,-275.77758,4575.8411,4575.75921,-23.2133,-26.52263
7,0,0,2,1,1,8816.486631440854,11.41408221130223,283.24368300783993,True,1960,300,log,1754,3,2,201,-276.8785,4575.50836,4574.04907,-26.65214,-29.54016
8,0,0,2,1,1,8842.5814498141,8.712322200921335,283.39036220338687,True,1960,300,log,1779,0,0,181,-269.65206,4581.62015,4582.40937,-26.5782,-25.2178
9,0,0,2,1,1,,,,True,1960,300,log,1762,1,0,197,-277.16709,4580.81858,4582.11661,,-32.19131
10,1,0,0,1,1,8826.71335855566,9.051491570524377,283.39679397934634,True,1960,300,log,1783,0,0,177,-276.52396,4578.74453,4576.49214,-23.3955,-28.60385
11,1,0,0,1,1,8835.894698858032,8.438564475904059,283.7879162758773,True,1960,300,log,1799,0,0,161,-269.5248,4583.06853,4582.90586,-28.72418,-31.83071
