,test_id,kcid,lmc_prior_code,lengthscale_prior_code,lengthscales
0,0,0,2,1,"[0.3287, 1.2406, 1.1962, 2.8784, 0.3119, 2.1108, 1.5787, 0.335, 3.0333, 1.4201, 0.3869, 1.1909]"
1,0,0,2,1,"[0.3317, 2.1299, 0.4336, 1.8278, 0.326, 3.1892, 1.9464, 0.4542, 2.8838, 2.6246, 0.3524, 1.4489]"
2,0,0,2,1,"[1.3044, 0.5817, 0.4711, 1.3758, 0.2086, 0.7535, 2.6795, 0.5964, 0.6455, 2.7733, 0.3776, 2.3694]"
3,0,0,2,1,"[1.718, 1.4998, 0.3569, 0.7483, 0.1719, 1.2382, 3.7798, 0.1881, 0.4306, 3.6542, 0.3782, 3.8099]"
4,0,0,2,1,"[0.9943, 1.0326, 0.3969, 0.5865, 0.2715, 2.7706, 3.9008, 0.3161, 0.5883, 3.631, 0.2548, 5.2286]"
5,0,0,2,1,"[1.9486, 1.0593, 0.3353, 1.2363, 0.301, 2.9674, 3.0215, 0.6587, 0.3811, 2.2299, 0.1458, 5.9694]"
6,0,0,2,1,"[1.9661, 0.4253, 0.609, 2.5317, 0.2871, 4.107, 2.1336, 0.5216, 0.481, 2.6269, 0.2192, 6.4588]"
7,0,0,2,1,"[2.0484, 0.4116, 0.8778, 4.1992, 0.4261, 3.6496, 1.4723, 1.5132, 0.7147, 3.2716, 0.1473, 7.1239]"
8,0,0,2,1,"[0.9475, 0.2802, 2.5923, 4.094, 0.3023, 4.5212, 0.4282, 2.3385, 2.0911, 3.8764, 0.2691, 5.3299]"
9,0,0,2,1,"[2.1154, 0.2208, 4.2196, 3.28, 0.2517, 3.8656, 1.9994, 3.1367, 0.4069, 3.1092, 0.4227, 5.9152]"
10,0,0,2,1,"[1.5919, 0.3356, 4.6518, 3.5375, 0.2915, 4.7211, 3.2393, 2.408, 0.2573, 3.0512, 0.2788, 6.8638]"
11,0,0,2,1,"[1.3387, 0.2209, 5.2124, 4.1971, 0.3327, 4.6174, 3.4556, 3.1806, 0.3135, 2.7679, 1.0082, 1.1647]"
12,0,0,2,1,"[1.6185, 0.4056, 6.6338, 2.9863, 0.4007, 5.8216, 3.0603, 2.2988, 0.4771, 3.2048, 1.4475, 0.6118]"
13,0,0,2,1,"[0.5513, 1.5746, 5.9062, 0.9209, 0.3368, 6.5504, 3.5915, 1.278, 0.383, 1.7583, 2.8137, 0.4917]"
14,0,0,2,1,"[0.3122, 3.7625, 4.3891, 1.1222, 0.2738, 5.5552, 4.751, 1.5729, 0.366, 1.9798, 1.9748, 0.2473]"
15,0,0,2,1,"[0.6693, 1.7363, 0.4128, 1.1985, 0.2882, 6.1472, 4.9573, 0.4508, 0.3382, 1.439, 3.2622, 0.3431]"
16,0,0,2,1,"[0.4194, 1.3305, 0.8665, 0.8132, 0.2806, 5.5153, 4.409, 0.6155, 0.4349, 1.7001, 3.5878, 0.3021]"
17,0,0,2,1,"[0.5642, 0.9242, 0.3743, 1.8469, 0.2568, 3.4719, 3.9412, 0.4123, 0.4044, 3.5671, 4.3024, 0.2705]"
18,0,0,2,1,"[1.0466, 2.0976, 0.3586, 2.6003, 0.2855, 3.3175, 3.7671, 0.5063, 0.1884, 0.8836, 4.5465, 1.1375]"
19,0,0,2,1,"[0.7131, 3.0009, 0.1921, 1.0442, 0.4167, 4.4668, 3.4634, 0.4741, 0.3517, 0.6507, 3.5555, 0.3411]"
