,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0,13059.734731569364,13.188408251239524,338.21409386081706,False,2945,300,log,-350.88265,6740.85405,6740.69971,-33.51552,-37.42086
1,0,0,2,1,0,13086.127660024256,14.015524652165935,338.2457064569203,False,2945,300,log,-344.31374,6744.80907,6747.5343,-31.34035,-30.56162
2,0,0,2,1,0,13077.092809293546,10.12985409637109,338.05462686569683,False,2945,300,log,-347.67134,6741.44453,6743.4528,-31.96005,-28.17313
3,0,0,2,1,0,13077.354828657713,10.439165002429293,337.9732649942344,False,2945,300,log,-354.48929,6738.81589,6740.25035,-26.08027,-21.14185
4,0,0,2,1,0,13054.743866323635,11.34159533779873,337.9402944748956,False,2945,300,log,-350.36884,6732.82149,6737.80602,-34.91363,-30.60117
5,0,0,2,1,0,13076.109311011656,12.334099992733966,338.4440431392351,False,2945,300,log,-340.59815,6744.04885,6746.05433,-35.77057,-37.62515
6,0,0,2,1,0,13083.455434138137,11.782801548251214,337.4138724202647,True,2945,300,log,-338.52657,6733.71776,6735.41057,-22.23853,-24.90779
7,0,0,2,1,0,13103.12166245288,14.27358240895128,337.7963269479937,False,2945,300,log,-328.51261,6744.49058,6745.24222,-25.71995,-32.37858
8,0,0,2,1,0,13113.80221220619,15.77078513470608,337.64860216232233,True,2945,300,log,-325.5959,6745.70847,6747.62699,-28.39044,-25.54691
9,0,0,2,1,0,13055.928796638811,12.253983696032309,338.1574518032936,False,2945,300,log,-358.75518,6738.68514,6739.09796,-36.04595,-27.05316
10,0,0,2,1,0,13035.72926724183,12.207315910463404,337.442892951104,False,2945,300,log,-357.67294,6726.96296,6733.8694,-32.30546,-35.12469
11,0,0,2,1,0,13093.556625148754,11.42284417916593,338.2997873921465,False,2945,300,log,-347.13756,6744.68472,6747.38165,-26.77088,-24.60132
12,0,0,2,1,0,13092.129570580735,14.024767941314408,337.56722180543863,True,2945,300,log,-338.86464,6740.50716,6742.37653,-25.70865,-26.18082
13,0,0,2,1,0,13039.449263166749,12.154239037428095,337.92985199326046,False,2945,300,log,-358.57437,6734.22804,6733.42916,-27.49422,-42.13934
14,0,0,2,1,0,13084.877206910103,17.16319510448016,337.6008221749329,True,2945,300,log,-343.31991,6740.21127,6739.24817,-25.0058,-26.25652
15,0,0,2,1,0,13081.16681975103,13.376048666910451,338.52105490489186,False,2945,300,log,-344.1222,6747.536,6747.70398,-36.49287,-33.45809
16,0,0,2,1,0,13095.92863366648,12.619725012389695,338.5275971539342,False,2945,300,log,-341.55228,6747.07936,6749.83161,-32.48029,-26.94976
17,0,0,2,1,0,13090.906371156303,13.117363650916525,338.0309865810169,True,2945,300,log,-351.05212,6743.83808,6747.44218,-25.74403,-23.57774
18,0,0,2,1,0,13057.402609015819,12.810948153069983,338.24188327679684,False,2945,300,log,-346.97363,6739.67181,6739.91476,-40.45342,-34.75691
19,0,0,2,1,0,13125.203806782474,13.932712988927237,338.16453264715665,False,2945,300,log,-320.23962,6753.00711,6754.83368,-33.87213,-28.52522
