,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,1,8822.1499480113,9.22506660693216,283.6986223755854,True,1960,300,log,1886,0,0,74,-277.59021,4581.40411,4579.85756,-29.75375,-31.76776
1,0,0,2,1,1,8843.185829521872,9.591012472763396,283.67091473714447,True,1960,300,log,1809,0,0,151,-272.70252,4583.62692,4586.07278,-26.81062,-27.00074
2,0,0,2,1,1,8833.965492230343,7.3531819523341255,283.19125646357236,True,1960,300,log,1805,1,0,154,-270.26378,4578.74109,4579.38172,-25.72421,-28.16934
3,0,0,2,1,1,8835.326302850146,7.866459701212079,283.30609489962575,True,1960,300,log,1705,0,0,255,-275.64078,4577.40088,4579.64779,-22.05649,-24.02509
4,0,0,2,1,1,8822.909303741777,8.245903472343343,283.5902976469186,True,1960,300,log,1835,0,0,125,-276.80015,4579.58107,4577.62319,-30.69696,-26.79784
5,0,0,2,1,1,8805.885745504545,8.85070743133474,283.7921922030532,True,1960,300,log,1894,0,0,66,-275.98977,4577.17762,4573.38432,-30.67716,-38.00927
6,0,0,2,1,1,8834.365734108032,9.018864896022933,283.2264211782813,True,1960,300,log,1710,2,1,247,-272.62422,4578.79208,4577.9778,-21.15191,-28.62801
7,0,0,2,1,1,8849.125641465918,10.549005118027708,283.05432659364357,True,1960,300,log,1800,0,0,160,-260.18104,4581.64576,4580.41028,-22.25466,-30.4947
8,0,0,2,1,1,8845.71158260134,11.173620652789396,282.8953222392661,True,1960,300,log,1746,4,0,210,-265.69665,4580.55224,4581.93928,-24.14548,-26.93781
9,0,0,2,1,1,8829.026576581567,8.576167582112248,283.6272400865601,True,1960,300,log,1818,0,0,142,-278.25798,4581.93461,4580.71615,-28.90887,-26.45735
10,0,0,2,1,1,8814.838091620753,8.644912940388167,282.8745707594575,True,1960,300,log,1852,0,0,108,-271.67219,4572.10918,4571.404,-27.17061,-29.83229
11,0,0,2,1,1,8836.63006584814,8.312342708735741,283.9351110556768,True,1960,300,log,1756,1,0,203,-275.59411,4582.90443,4582.2486,-23.54596,-29.38289
12,0,0,2,1,1,8840.784611873245,10.548194730121395,283.15771649174377,True,1960,300,log,1739,5,0,216,-271.62993,4581.16481,4581.99036,-24.08161,-26.65902
13,0,0,2,1,1,8823.194380548905,8.13570668529428,283.528098884353,True,1960,300,log,1882,0,0,78,-275.14643,4579.84542,4579.48405,-24.18826,-36.8004
14,0,0,2,1,1,8834.581189950575,12.977355792330854,283.2089516850994,True,1960,300,log,1753,1,0,206,-270.42883,4579.89679,4575.25169,-23.54278,-26.59568
15,0,0,2,1,1,,,,True,1960,300,log,1871,0,0,89,-271.05072,4580.10203,4579.09179,,-30.90291
16,0,0,2,1,1,8829.622439235605,9.349302681592235,283.7266260961442,True,1960,300,log,1811,1,0,148,-275.12041,4580.18257,4582.02811,-25.53497,-31.93285
17,0,0,2,1,1,8841.765413618301,9.568680523898365,283.4554760158218,True,1960,300,log,1743,0,0,217,-271.26895,4580.28027,4582.89744,-23.67609,-26.46726
18,0,0,2,1,1,8821.683840297297,8.876889606828627,283.7069513324168,True,1960,300,log,1905,0,0,55,-271.10594,4576.88969,4578.11858,-31.75989,-30.4586
19,0,0,2,1,1,8809.343437072837,10.010201399798461,283.67913130611703,True,1960,300,log,1821,0,0,139,-281.26015,4574.83091,4576.40599,-27.15926,-33.47406
