,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4,subset
0,0,0,2,1,unweighted,0.3989,0.9143,0.8828,0.6
1,0,0,2,1,linear,0.7043,0.9143,0.8828,0.6
2,0,0,2,1,quadratic,0.8357,0.9143,0.8828,0.6
3,0,0,2,1,unweighted,0.4423,0.9029,0.8828,0.6
4,0,0,2,1,linear,0.7195,0.9029,0.8828,0.6
5,0,0,2,1,quadratic,0.8413,0.9029,0.8828,0.6
6,0,0,2,1,unweighted,0.4871,0.9234,0.8471,0.6
7,0,0,2,1,linear,0.738,0.9234,0.8471,0.6
8,0,0,2,1,quadratic,0.8498,0.9234,0.8471,0.6
9,0,0,2,1,unweighted,0.4799,0.8953,0.9069,0.6
10,0,0,2,1,linear,0.7376,0.8953,0.9069,0.6
11,0,0,2,1,quadratic,0.85,0.8953,0.9069,0.6
12,0,0,2,1,unweighted,0.4703,0.912,0.8711,0.6
13,0,0,2,1,linear,0.7327,0.912,0.8711,0.6
14,0,0,2,1,quadratic,0.8483,0.912,0.8711,0.6
15,0,0,2,1,unweighted,0.4023,0.9213,0.8828,0.6
16,0,0,2,1,linear,0.693,0.9213,0.8828,0.6
17,0,0,2,1,quadratic,0.8215,0.9213,0.8828,0.6
18,0,0,2,1,unweighted,0.4116,0.9054,0.8473,0.6
19,0,0,2,1,linear,0.7016,0.9054,0.8473,0.6
20,0,0,2,1,quadratic,0.8313,0.9054,0.8473,0.6
21,0,0,2,1,unweighted,0.431,0.9334,0.8731,0.6
22,0,0,2,1,linear,0.7171,0.9334,0.8731,0.6
23,0,0,2,1,quadratic,0.8403,0.9334,0.8731,0.6
24,0,0,2,1,unweighted,0.4448,0.912,0.9026,0.6
25,0,0,2,1,linear,0.7052,0.912,0.9026,0.6
26,0,0,2,1,quadratic,0.8242,0.912,0.9026,0.6
27,0,0,2,1,unweighted,0.4242,0.9132,0.8711,0.6
28,0,0,2,1,linear,0.7104,0.9132,0.8711,0.6
29,0,0,2,1,quadratic,0.8362,0.9132,0.8711,0.6
30,1,0,0,1,unweighted,0.4473,0.8966,0.8636,0.6
31,1,0,0,1,linear,0.718,0.8966,0.8636,0.6
32,1,0,0,1,quadratic,0.8375,0.8966,0.8636,0.6
33,1,0,0,1,unweighted,0.4181,0.885,0.8809,0.6
34,1,0,0,1,linear,0.7131,0.885,0.8809,0.6
35,1,0,0,1,quadratic,0.8403,0.885,0.8809,0.6
36,1,0,0,1,unweighted,0.4185,0.9223,0.8731,0.6
37,1,0,0,1,linear,0.6992,0.9223,0.8731,0.6
38,1,0,0,1,quadratic,0.8262,0.9223,0.8731,0.6
39,1,0,0,1,unweighted,0.4144,0.8404,0.7937,0.6
40,1,0,0,1,linear,0.7022,0.8404,0.7937,0.6
41,1,0,0,1,quadratic,0.828,0.8404,0.7937,0.6
42,1,0,0,1,unweighted,0.4233,0.9016,0.8711,0.6
43,1,0,0,1,linear,0.7035,0.9016,0.8711,0.6
44,1,0,0,1,quadratic,0.8273,0.9016,0.8711,0.6
45,1,0,0,1,unweighted,0.4467,0.9143,0.8593,0.6
46,1,0,0,1,linear,0.7266,0.9143,0.8593,0.6
47,1,0,0,1,quadratic,0.8474,0.9143,0.8593,0.6
48,1,0,0,1,unweighted,0.3973,0.9223,0.8828,0.6
49,1,0,0,1,linear,0.706,0.9223,0.8828,0.6
50,1,0,0,1,quadratic,0.8388,0.9223,0.8828,0.6
51,1,0,0,1,unweighted,0.371,0.9316,0.8711,0.6
52,1,0,0,1,linear,0.6838,0.9316,0.8711,0.6
53,1,0,0,1,quadratic,0.8214,0.9316,0.8711,0.6
54,1,0,0,1,unweighted,0.4048,0.912,0.8926,0.6
55,1,0,0,1,linear,0.7049,0.912,0.8926,0.6
56,1,0,0,1,quadratic,0.835,0.912,0.8926,0.6
57,1,0,0,1,unweighted,0.4114,0.9143,0.8846,0.6
58,1,0,0,1,linear,0.7024,0.9143,0.8846,0.6
59,1,0,0,1,quadratic,0.831,0.9143,0.8846,0.6
60,2,0,0,1,unweighted,0.4703,0.9316,0.8656,0.6
61,2,0,0,1,linear,0.7352,0.9316,0.8656,0.6
62,2,0,0,1,quadratic,0.8497,0.9316,0.8656,0.6
63,2,0,0,1,unweighted,0.4462,0.8216,0.8768,0.6
64,2,0,0,1,linear,0.7157,0.8216,0.8768,0.6
65,2,0,0,1,quadratic,0.8355,0.8216,0.8768,0.6
66,2,0,0,1,unweighted,0.4438,0.9325,0.8656,0.6
67,2,0,0,1,linear,0.7105,0.9325,0.8656,0.6
68,2,0,0,1,quadratic,0.8287,0.9325,0.8656,0.6
69,2,0,0,1,unweighted,0.4449,0.9511,0.8542,0.6
70,2,0,0,1,linear,0.7049,0.9511,0.8542,0.6
71,2,0,0,1,quadratic,0.8219,0.9511,0.8542,0.6
72,2,0,0,1,unweighted,0.447,0.8953,0.8863,0.6
73,2,0,0,1,linear,0.7038,0.8953,0.8863,0.6
74,2,0,0,1,quadratic,0.8162,0.8953,0.8863,0.6
75,2,0,0,1,unweighted,0.4422,0.9143,0.8656,0.6
76,2,0,0,1,linear,0.6981,0.9143,0.8656,0.6
77,2,0,0,1,quadratic,0.8104,0.9143,0.8656,0.6
78,2,0,0,1,unweighted,0.4557,0.8449,0.875,0.6
79,2,0,0,1,linear,0.6998,0.8449,0.875,0.6
80,2,0,0,1,quadratic,0.81,0.8449,0.875,0.6
81,2,0,0,1,unweighted,0.4828,0.8925,0.875,0.6
82,2,0,0,1,linear,0.7239,0.8925,0.875,0.6
83,2,0,0,1,quadratic,0.8335,0.8925,0.875,0.6
84,2,0,0,1,unweighted,0.4765,0.9425,0.875,0.6
85,2,0,0,1,linear,0.7087,0.9425,0.875,0.6
86,2,0,0,1,quadratic,0.8115,0.9425,0.875,0.6
87,2,0,0,1,unweighted,0.4287,0.9154,0.8656,0.6
88,2,0,0,1,linear,0.6746,0.9154,0.8656,0.6
89,2,0,0,1,quadratic,0.7836,0.9154,0.8656,0.6
90,3,0,2,1,unweighted,0.6351,0.8487,0.8377,0.6
91,3,0,2,1,linear,0.8098,0.8487,0.8377,0.6
92,3,0,2,1,quadratic,0.8867,0.8487,0.8377,0.6
93,3,0,2,1,unweighted,0.6681,0.9132,0.8809,0.6
94,3,0,2,1,linear,0.8363,0.9132,0.8809,0.6
95,3,0,2,1,quadratic,0.9101,0.9132,0.8809,0.6
96,3,0,2,1,unweighted,0.6668,0.9425,0.8711,0.6
97,3,0,2,1,linear,0.8334,0.9425,0.8711,0.6
98,3,0,2,1,quadratic,0.9044,0.9425,0.8711,0.6
99,3,0,2,1,unweighted,0.6734,0.8966,0.9179,0.6
100,3,0,2,1,linear,0.8344,0.8966,0.9179,0.6
101,3,0,2,1,quadratic,0.9039,0.8966,0.9179,0.6
102,3,0,2,1,unweighted,0.7123,0.9132,0.8473,0.6
103,3,0,2,1,linear,0.8623,0.9132,0.8473,0.6
104,3,0,2,1,quadratic,0.9263,0.9132,0.8473,0.6
105,3,0,2,1,unweighted,0.6856,0.9143,0.9055,0.6
106,3,0,2,1,linear,0.842,0.9143,0.9055,0.6
107,3,0,2,1,quadratic,0.9099,0.9143,0.9055,0.6
108,3,0,2,1,unweighted,0.6485,0.873,0.875,0.6
109,3,0,2,1,linear,0.8098,0.873,0.875,0.6
110,3,0,2,1,quadratic,0.8808,0.873,0.875,0.6
111,3,0,2,1,unweighted,0.6626,0.8865,0.8615,0.6
112,3,0,2,1,linear,0.8359,0.8865,0.8615,0.6
113,3,0,2,1,quadratic,0.9108,0.8865,0.8615,0.6
114,3,0,2,1,unweighted,0.6759,0.9054,0.8943,0.6
115,3,0,2,1,linear,0.8379,0.9054,0.8943,0.6
116,3,0,2,1,quadratic,0.9069,0.9054,0.8943,0.6
117,3,0,2,1,unweighted,0.6554,0.8118,0.8005,0.6
118,3,0,2,1,linear,0.8116,0.8118,0.8005,0.6
119,3,0,2,1,quadratic,0.8811,0.8118,0.8005,0.6
120,0,1,2,1,unweighted,0.4802,0.9042,0.8828,0.6
121,0,1,2,1,linear,0.7401,0.9042,0.8828,0.6
122,0,1,2,1,quadratic,0.8556,0.9042,0.8828,0.6
123,0,1,2,1,unweighted,0.4636,0.9243,0.8711,0.6
124,0,1,2,1,linear,0.7302,0.9243,0.8711,0.6
125,0,1,2,1,quadratic,0.8484,0.9243,0.8711,0.6
126,0,1,2,1,unweighted,0.4436,0.8939,0.8333,0.6
127,0,1,2,1,linear,0.7218,0.8939,0.8333,0.6
128,0,1,2,1,quadratic,0.8423,0.8939,0.8333,0.6
129,0,1,2,1,unweighted,0.4507,0.8939,0.8926,0.6
130,0,1,2,1,linear,0.7214,0.8939,0.8926,0.6
131,0,1,2,1,quadratic,0.8413,0.8939,0.8926,0.6
