,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0,13177.494130505775,17.32086154684839,337.7763748092919,True,2945,300,log,2310,4,0,631,-305.03564,6759.29676,6760.27334,-18.61002,-18.4303
0,3,0,2,1,0,,,,True,2945,300,log,2203,92,72,578,-181.34631,7462.97871,7435.52678,,-15.40273
0,0,0,2,1,0,13184.28953797757,20.30021460772332,337.73018688436576,True,2945,300,log,2368,0,0,577,-297.2096,6760.59224,6758.85797,-18.68897,-19.26212
0,3,0,2,1,0,14777.844606118742,677.4103901951221,371.534785379928,True,2945,300,log,2160,124,64,597,-158.74965,7488.78045,7477.02441,-11.02841,-18.18221
0,0,0,2,1,0,13181.301085261566,19.499160271512665,337.7374576621693,True,2945,300,log,2349,0,0,596,-308.33987,6761.30378,6760.61061,-16.85905,-15.41437
0,3,0,2,1,0,,,,True,2945,300,log,2189,87,44,625,-175.92144,7450.76026,7449.17818,,-18.65221
0,0,0,2,1,0,,,,True,2945,300,log,2297,0,0,648,-276.35484,6770.34676,6775.03444,,-11.82362
0,3,0,2,1,0,,,,True,2945,300,log,2397,92,48,408,-177.26691,7406.28397,7389.75385,,-30.76945
0,0,0,2,1,0,,,,True,2945,300,log,2409,0,0,536,-311.08582,6751.93628,6758.55922,,-16.58523
0,3,0,2,1,0,14591.65892414077,450.73126630081424,368.6016527053432,True,2945,300,log,2200,78,51,616,-215.26778,7443.67013,7397.72548,-15.82484,-18.64406
0,0,0,2,1,0,13173.154563083308,21.343139582655567,337.6466814181307,True,2945,300,log,2353,0,0,592,-306.33556,6758.33279,6756.40992,-19.5003,-15.75228
0,3,0,2,1,0,14669.297572935686,516.1771534367817,370.63152763872523,True,2945,300,log,2351,116,59,419,-199.00619,7460.20964,7462.98592,-29.96635,-24.92545
0,0,0,2,1,0,13182.231541191712,16.457310219217106,337.7180141267971,True,2945,300,log,2339,2,0,604,-307.73117,6760.97266,6761.3574,-16.91381,-15.45354
0,3,0,2,1,0,14774.651010665835,556.7029097896593,374.5551416957505,True,2945,300,log,2336,103,52,454,-200.61503,7509.98551,7504.23197,-16.40121,-22.55023
0,0,0,2,1,0,13200.43114294216,20.839193021702158,337.58054007565283,True,2945,300,log,2314,0,0,631,-295.15899,6761.88645,6764.49672,-17.53998,-13.25305
0,3,0,2,1,0,,,,True,2945,300,log,2325,78,60,482,-182.45896,7391.57808,7412.32143,,
0,0,0,2,1,0,,,,True,2945,300,log,2328,1,0,616,-295.80745,6767.53742,6768.85251,,-12.78194
0,3,0,2,1,0,14634.070607826054,628.5843422864164,369.6843050604288,True,2945,300,log,2298,101,59,487,-166.81837,7430.19349,7413.58877,-22.38985,-20.50342
0,0,0,2,1,0,13177.856398168919,17.701843020324304,337.7599964180167,True,2945,300,log,2389,0,0,556,-304.44386,6756.78406,6762.75112,-18.3436,-18.89131
0,3,0,2,1,0,14591.603814089325,431.5516032009127,368.0672664726872,True,2945,300,log,2372,57,41,475,-177.55788,7415.58675,7409.7618,-28.6514,-27.53546
0,0,1,2,1,0,,,,True,2945,300,log,2277,1,0,667,-262.79076,6784.7941,6785.81193,,
0,3,1,2,1,0,,,,True,2945,300,log,2138,186,111,510,-149.10912,7460.34262,7483.59858,,-25.20153
0,0,1,2,1,0,,,,True,2945,300,log,2291,3,0,651,-268.40763,6778.44896,6780.84434,,-11.98432
0,3,1,2,1,0,14766.654947907286,785.188595893922,372.54087547813407,True,2945,300,log,2032,165,99,649,-163.99103,7510.54401,7458.36831,-16.91058,-21.35576
0,0,1,2,1,0,13254.603679560574,25.099101268469894,337.91470799784366,True,2945,300,log,2353,0,0,592,-272.16695,6775.84639,6782.12632,-17.66936,-13.53273
0,3,1,2,1,0,14668.747254392758,634.9000148735977,369.6217276810801,True,2945,300,log,2154,167,98,526,-182.25047,7446.88078,7451.12031,-26.07792,-20.92545
0,0,1,2,1,0,13219.117778015096,20.408048927780328,337.88127813818926,True,2945,300,log,2361,0,0,584,-290.58744,6768.41634,6772.32215,-14.75158,-16.28169
0,3,1,2,1,0,14646.673368944485,592.473015489486,370.09031878317467,True,2945,300,log,2295,158,69,423,-185.00304,7442.95727,7447.50822,-31.01521,-27.77387
0,0,1,2,1,0,,,,True,2945,300,log,2395,0,0,550,-294.28089,6770.8095,6773.93685,,-17.36375
0,3,1,2,1,0,,,,True,2945,300,log,2136,145,65,599,-160.25159,7453.52838,7447.9903,,-17.719
0,0,1,2,1,0,13259.776126815854,23.84929542971804,338.0716427060817,True,2945,300,log,2303,1,0,641,-276.49247,6782.90275,6781.42575,-14.55608,-13.50382
0,3,1,2,1,0,,,,True,2945,300,log,2306,137,64,438,-201.02879,7412.6111,7413.0847,,
0,0,1,2,1,0,13225.579364905345,24.041230727068978,338.05634577574085,True,2945,300,log,2379,0,0,566,-288.41385,6772.43197,6773.51039,-17.18425,-14.76489
0,3,1,2,1,0,,,,True,2945,300,log,2237,166,75,467,-178.97021,7428.31996,7421.43006,,
0,0,1,2,1,0,,,,True,2945,300,log,2281,6,1,657,-271.03881,6777.98124,6779.16699,-13.50245,
0,3,1,2,1,0,14591.019278455891,798.5111998744433,371.4528069563973,True,2945,300,log,2163,137,76,569,-167.94255,7434.72387,7373.13158,-24.86627,-24.02735
0,0,1,2,1,0,13267.532575975278,24.845458431940642,338.1392325176864,True,2945,300,log,2337,1,0,607,-271.08944,6782.39844,6785.49598,-17.0574,-12.21501
0,3,1,2,1,0,14598.613448684582,602.9546367972707,368.1339390999967,True,2945,300,log,2428,131,66,320,-190.32048,7417.34696,7444.58808,-33.01907,-39.98205
0,0,1,2,1,0,12940.633512860783,30.9214574864709,335.9816101442601,True,2945,300,log,2914,3,0,28,-356.67434,6695.07343,6691.20339,-41.87555,-47.09342
0,3,1,2,1,0,,,,True,2945,300,log,2155,150,76,564,-178.53855,7478.52524,7432.83258,,-26.10844
0,0,2,2,1,0,,,,True,2945,300,log,2225,5,0,715,-247.24658,6794.83418,6796.63302,,
0,3,2,2,1,0,,,,True,2945,300,log,1906,310,170,559,-158.58587,7525.02465,7495.8013,,
0,0,2,2,1,0,,,,True,2945,300,log,2249,13,0,683,-248.00754,6803.49499,6804.57029,,-9.69689
0,3,2,2,1,0,14619.81583442678,789.7132055717702,368.29506778806007,True,2945,300,log,1992,256,137,560,-167.21276,7424.72204,7421.21078,-28.88313,-30.02109
0,0,2,2,1,0,13284.290307155963,31.308121409485466,337.7884200538878,True,2945,300,log,2351,3,0,591,-260.41157,6782.49124,6785.79186,-12.35899,-11.22223
0,3,2,2,1,0,14681.947839942513,774.7131662133907,368.71131646775575,True,2945,300,log,1980,247,107,611,-167.72461,7431.66223,7451.39257,-17.81548,-15.56688
0,0,2,2,1,0,,,,True,2945,300,log,2308,2,0,635,-266.43985,6780.71416,6792.43541,,-11.20545
0,3,2,2,1,0,,,,True,2945,300,log,2186,183,91,485,-175.60915,7458.19837,7451.67401,,-28.4643
0,0,2,2,1,0,13011.180376677265,49.14607734359197,335.3611678640181,True,2945,300,log,2830,2,0,113,-329.02011,6697.2974,6712.51681,-33.82297,-35.79075
0,3,2,2,1,0,,,,True,2945,300,log,2047,251,104,543,-180.46291,7472.26214,7453.42862,,
0,0,2,2,1,0,13260.760345359695,27.592094679068396,337.91931421891263,True,2945,300,log,2333,0,0,612,-268.80848,6778.6775,6781.42514,-14.27508,-16.25873
0,3,2,2,1,0,,,,True,2945,300,log,1976,228,126,615,-172.46304,7441.3257,7469.92844,-18.66811,
0,0,2,2,1,0,13237.854981980745,27.465014285447978,337.8734920718117,True,2945,300,log,2362,4,0,579,-284.44206,6775.03198,6777.07967,-14.92133,-14.89328
0,3,2,2,1,0,14606.844681610499,747.4943202490467,369.03926117543847,True,2945,300,log,1963,235,117,630,-163.23825,7397.95385,7418.87947,-29.2143,-17.5361
0,0,2,2,1,0,13237.002448447613,25.214416057413473,337.90000961793066,True,2945,300,log,2343,2,0,600,-286.11409,6775.65012,6774.50823,-13.51487,-13.52694
0,3,2,2,1,0,,,,True,2945,300,log,2163,175,101,506,-175.16315,7408.26517,7417.39549,,-26.02011
0,0,2,2,1,0,,,,True,2945,300,log,2343,5,0,597,-262.33686,6791.3666,6791.65717,,-11.5098
0,3,2,2,1,0,,,,True,2945,300,log,2150,171,70,554,-179.79355,7426.25436,7415.9867,,-24.0332
0,0,2,2,1,0,,,,True,2945,300,log,2224,8,0,713,-261.32918,6787.87003,6790.27486,,
0,3,2,2,1,0,14560.923867407066,675.6962213067891,367.44020445519016,True,2945,300,log,2181,134,77,553,-173.17793,7360.87449,7425.30134,-23.13496,-28.93908
0,0,3,2,1,0,13219.654750281814,30.61412519422265,337.52188069772376,True,2945,300,log,2366,2,0,577,-286.08353,6766.19242,6769.36291,-16.38098,-13.43607
0,3,3,2,1,0,,,,True,2945,300,log,2193,169,105,478,-168.67622,7457.5289,7492.12727,,
0,0,3,2,1,0,13307.614393499878,27.9909443867582,338.11891721999905,True,2945,300,log,2294,11,2,638,-252.01997,6789.33495,6791.54781,-11.66795,-9.58044
0,3,3,2,1,0,,,,True,2945,300,log,2189,148,90,518,-167.83281,7436.66416,7441.96951,,
0,0,3,2,1,0,13342.184751049317,26.539536011821838,338.9881790786342,True,2945,300,log,2271,9,0,665,-251.70948,6805.52863,6807.67663,-11.36386,-7.94716
0,3,3,2,1,0,,,,True,2945,300,log,2196,129,62,558,-176.69413,7409.86017,7442.16318,,
0,0,3,2,1,0,,,,True,2945,300,log,2590,1,0,354,-293.7058,6754.18692,6755.40579,-24.13803,
0,3,3,2,1,0,,,,True,2945,300,log,2194,162,73,516,-188.88217,7506.42467,7442.9474,-13.6747,
0,0,3,2,1,0,13178.625745206287,26.812124067682817,337.7176260790104,True,2945,300,log,2386,1,0,558,-302.87133,6759.21785,6760.42058,-19.01761,-19.12375
0,3,3,2,1,0,14661.342150175768,573.0712188480666,369.29419624179764,True,2945,300,log,2277,135,66,467,-169.85259,7435.47014,7450.5387,-25.9123,-28.9018
0,0,3,2,1,0,,,,True,2945,300,log,2343,2,0,600,-288.33119,6770.27367,6772.03616,,-17.98616
0,3,3,2,1,0,,,,True,2945,300,log,2289,144,69,443,-180.48886,7463.98253,7416.96856,,
0,0,3,2,1,0,,,,True,2945,300,log,2329,1,0,615,-264.51361,6780.51892,6783.85295,-15.09693,
0,3,3,2,1,0,,,,True,2945,300,log,2211,143,91,500,-172.22096,7421.50105,7448.50807,,-25.85973
0,0,3,2,1,0,,,,True,2945,300,log,2288,3,0,654,-293.12806,6769.02527,6768.87705,-10.56867,
0,3,3,2,1,0,,,,True,2945,300,log,2473,81,35,356,-198.50286,7338.88058,7357.49706,,
0,0,3,2,1,0,13219.73369172357,23.01352233271973,337.91413969219036,True,2945,300,log,2349,3,0,593,-292.06258,6769.97982,6775.27799,-19.22738,-14.23415
0,3,3,2,1,0,14582.71491435665,715.8690850736075,370.62453657483877,True,2945,300,log,2122,113,73,637,-175.6385,7430.11708,7379.56467,-30.81717,-20.51117
0,0,3,2,1,0,,,,True,2945,300,log,2370,3,0,572,-316.73189,6750.69547,6762.92178,-17.7881,
0,3,3,2,1,0,,,,True,2945,300,log,2287,136,61,461,-193.71481,7433.80967,7440.13226,-22.21362,
0,0,4,2,1,0,,,,True,2945,300,log,2338,3,0,604,-289.03933,6772.34714,6769.1049,-13.48739,
0,3,4,2,1,0,,,,True,2945,300,log,1967,244,135,599,-151.9083,7473.73834,7481.39408,,-26.15071
0,0,4,2,1,0,,,,True,2945,300,log,2340,5,0,600,-275.69448,6772.64996,6782.619,,-12.34627
0,3,4,2,1,0,,,,True,2945,300,log,2074,189,97,585,-182.79446,7437.41424,7411.22708,,
0,0,4,2,1,0,,,,True,2945,300,log,2343,3,0,599,-281.91563,6771.85185,6773.85579,,-14.01332
0,3,4,2,1,0,,,,True,2945,300,log,2008,231,120,586,-171.61157,7470.6829,7459.29709,,
0,0,4,2,1,0,,,,True,2945,300,log,2291,5,0,649,-294.22811,6758.74636,6775.63681,,-12.01157
0,3,4,2,1,0,,,,True,2945,300,log,2237,154,94,460,-173.67758,7402.47622,7406.23647,,-27.86356
0,0,4,2,1,0,,,,True,2945,300,log,2295,10,0,640,-278.54393,6774.13198,6778.61384,,
0,3,4,2,1,0,,,,True,2945,300,log,2188,179,91,487,-175.82694,7432.14637,7424.79403,-23.44582,
0,0,4,2,1,0,,,,True,2945,300,log,2347,6,0,592,-270.82206,6780.2007,6794.97361,-14.97919,
0,3,4,2,1,0,,,,True,2945,300,log,2187,192,95,471,-173.51323,7365.23283,7371.31517,,
0,0,4,2,1,0,,,,True,2945,300,log,2312,4,0,629,-257.72729,6782.89969,6784.06974,-11.38737,
0,3,4,2,1,0,,,,True,2945,300,log,2221,185,90,449,-189.39402,7420.30662,7449.85457,,-31.58785
0,0,4,2,1,0,13311.509882815593,32.42185544894346,338.47775796912737,True,2945,300,log,2308,16,0,621,-264.91212,6796.76254,6799.07015,-11.42755,-7.98314
0,3,4,2,1,0,14628.76194008645,664.0475348773653,369.96283228355236,True,2945,300,log,2064,176,105,600,-172.94365,7411.49034,7434.66331,-23.54156,-20.9065
0,0,4,2,1,0,,,,True,2945,300,log,2364,1,0,580,-271.1891,6773.05107,6777.29803,-12.62265,
0,3,4,2,1,0,,,,True,2945,300,log,2194,160,85,506,-178.2607,7398.20846,7412.67331,,-33.56252
0,0,4,2,1,0,12962.912776099012,34.76644750633386,337.9364057802718,True,2945,300,log,2740,2,0,203,-352.50027,6703.06251,6718.43888,-34.93286,-71.15549
0,3,4,2,1,0,,,,True,2945,300,log,2152,174,87,532,-162.99177,7419.43001,7420.78999,,
0,0,5,2,1,0,,,,True,2945,300,log,2636,2,0,307,-304.24117,6754.19416,6757.2486,-25.54432,
0,3,5,2,1,0,,,,True,2945,300,log,2166,192,92,495,-178.8552,7565.3065,7543.1629,-15.63325,
