,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,4,0,2,1,0,13269.699202463695,23.329499972658617,337.6106147244277,True,2945,300,log,-264.09535,6777.54901,6779.64538,-13.49062,-9.90921
0,5,0,0,1,0,14911.566944728324,692.7395278234922,377.4791728708299,True,2945,300,log,-155.50361,7547.43907,7567.06061,-24.34191,-23.08721
0,4,0,2,1,0,13250.192889600512,27.346392972706784,338.56662156087174,True,2945,300,log,-287.98305,6783.04518,6782.68066,-13.0071,-14.54279
0,5,0,0,1,0,15038.376925977576,688.9072020142984,379.45083552742085,True,2945,300,log,-164.77392,7629.8629,7612.94737,-22.38775,-17.27166
0,4,0,2,1,0,13282.890728220027,33.83026739714379,337.4027519848582,True,2945,300,log,-253.17523,6779.97445,6782.83304,-16.43929,-10.30223
0,4,0,2,1,0,13262.001202373145,35.87675210038495,337.777571117558,True,2945,300,log,-265.91295,6776.26392,6779.80952,-18.11915,-10.04015
0,5,0,0,1,0,15063.002715957196,679.3899631012246,377.46941778369865,True,2945,300,log,-148.27235,7626.15965,7631.96704,-15.05749,-31.79413
0,4,0,2,1,0,13220.021389916195,27.67051437738371,338.09805243158473,True,2945,300,log,-287.79427,6772.00631,6771.35903,-20.15205,-15.39763
0,5,0,0,1,0,15067.593073336051,648.2923284296992,374.0708561064162,True,2945,300,log,-141.32303,7635.88085,7605.73965,-16.47727,-16.22713
0,4,0,2,1,0,13283.074393365243,33.78604287106205,337.8823435728938,True,2945,300,log,-258.20964,6783.39376,6784.18706,-14.69422,-11.60256
0,5,0,0,1,0,14935.840366849292,652.9447196946895,374.6769129821335,True,2945,300,log,-174.51869,7591.87358,7556.53429,-19.74439,-18.30443
0,4,0,2,1,0,13285.57350957482,34.383253236295054,338.82145286309617,True,2945,300,log,-275.82467,6793.40887,6795.79641,-14.69813,-13.10897
0,5,0,0,1,0,14934.25014437677,592.6732975376262,371.4702262848485,True,2945,300,log,-145.6365,7548.84032,7574.40836,-21.2433,-22.11873
