,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4
0,0,0,2,1,unweighted,0.4196,0.919,0.8943
1,0,0,2,1,linear,0.7072,0.919,0.8943
2,0,0,2,1,quadratic,0.8362,0.919,0.8943
0,3,0,2,1,unweighted,0.4521,0.919,0.8994
1,3,0,2,1,linear,0.7413,0.919,0.8994
2,3,0,2,1,quadratic,0.863,0.919,0.8994
0,0,0,2,1,unweighted,0.447,0.919,0.8943
1,0,0,2,1,linear,0.7156,0.919,0.8943
2,0,0,2,1,quadratic,0.8385,0.919,0.8943
0,3,0,2,1,unweighted,0.5072,0.6992,0.8689
1,3,0,2,1,linear,0.7488,0.6992,0.8689
2,3,0,2,1,quadratic,0.8519,0.6992,0.8689
0,0,0,2,1,unweighted,0.4734,0.9582,0.8943
1,0,0,2,1,linear,0.7287,0.9582,0.8943
2,0,0,2,1,quadratic,0.8422,0.9582,0.8943
0,3,0,2,1,unweighted,0.5876,0.563,0.8118
1,3,0,2,1,linear,0.776,0.563,0.8118
2,3,0,2,1,quadratic,0.8642,0.563,0.8118
0,0,0,2,1,unweighted,0.4392,0.919,0.8943
1,0,0,2,1,linear,0.6884,0.919,0.8943
2,0,0,2,1,quadratic,0.8027,0.919,0.8943
0,3,0,2,1,unweighted,0.617,0.7386,0.8033
1,3,0,2,1,linear,0.7839,0.7386,0.8033
2,3,0,2,1,quadratic,0.8625,0.7386,0.8033
0,0,0,2,1,unweighted,0.4734,0.919,0.8943
1,0,0,2,1,linear,0.7181,0.919,0.8943
2,0,0,2,1,quadratic,0.8316,0.919,0.8943
0,3,0,2,1,unweighted,0.6317,0.7763,0.7378
1,3,0,2,1,linear,0.8085,0.7763,0.7378
2,3,0,2,1,quadratic,0.8871,0.7763,0.7378
0,0,0,2,1,unweighted,0.4787,0.9582,0.8943
1,0,0,2,1,linear,0.7051,0.9582,0.8943
2,0,0,2,1,quadratic,0.8139,0.9582,0.8943
0,3,0,2,1,unweighted,0.5411,0.7386,0.8239
1,3,0,2,1,linear,0.7502,0.7386,0.8239
2,3,0,2,1,quadratic,0.8487,0.7386,0.8239
0,0,0,2,1,unweighted,0.418,0.9582,0.8626
1,0,0,2,1,linear,0.6959,0.9582,0.8626
2,0,0,2,1,quadratic,0.8252,0.9582,0.8626
0,3,0,2,1,unweighted,0.5017,0.7763,0.8143
1,3,0,2,1,linear,0.7282,0.7763,0.8143
2,3,0,2,1,quadratic,0.8322,0.7763,0.8143
0,0,0,2,1,unweighted,0.4651,1.0,0.8626
1,0,0,2,1,linear,0.7063,1.0,0.8626
2,0,0,2,1,quadratic,0.8182,1.0,0.8626
0,3,0,2,1,unweighted,0.6089,0.5362,0.8994
1,3,0,2,1,linear,0.7944,0.5362,0.8994
2,3,0,2,1,quadratic,0.878,0.5362,0.8994
0,0,0,2,1,unweighted,0.3503,0.9582,0.8943
1,0,0,2,1,linear,0.6408,0.9582,0.8943
2,0,0,2,1,quadratic,0.7711,0.9582,0.8943
0,3,0,2,1,unweighted,0.6109,0.7995,0.7534
1,3,0,2,1,linear,0.8005,0.7995,0.7534
2,3,0,2,1,quadratic,0.8836,0.7995,0.7534
0,0,0,2,1,unweighted,0.3546,1.0,0.8943
1,0,0,2,1,linear,0.658,1.0,0.8943
2,0,0,2,1,quadratic,0.7977,1.0,0.8943
0,3,0,2,1,unweighted,0.5221,0.7995,0.7652
1,3,0,2,1,linear,0.7225,0.7995,0.7652
2,3,0,2,1,quadratic,0.8184,0.7995,0.7652
0,0,1,2,1,unweighted,0.3905,0.7763,0.8239
1,0,1,2,1,linear,0.6421,0.7763,0.8239
2,0,1,2,1,quadratic,0.7517,0.7763,0.8239
0,3,1,2,1,unweighted,0.6178,0.7386,0.8397
1,3,1,2,1,linear,0.7991,0.7386,0.8397
2,3,1,2,1,quadratic,0.8775,0.7386,0.8397
0,0,1,2,1,unweighted,0.417,0.8821,0.9313
1,0,1,2,1,linear,0.6869,0.8821,0.9313
2,0,1,2,1,quadratic,0.8093,0.8821,0.9313
0,3,1,2,1,unweighted,0.4753,0.9553,0.6981
1,3,1,2,1,linear,0.7052,0.9553,0.6981
2,3,1,2,1,quadratic,0.8018,0.9553,0.6981
0,0,1,2,1,unweighted,0.4734,0.9582,0.8943
1,0,1,2,1,linear,0.7234,0.9582,0.8943
2,0,1,2,1,quadratic,0.8369,0.9582,0.8943
0,3,1,2,1,unweighted,0.5976,0.6722,0.7251
1,3,1,2,1,linear,0.7715,0.6722,0.7251
2,3,1,2,1,quadratic,0.851,0.6722,0.7251
0,0,1,2,1,unweighted,0.4599,0.9582,0.8626
1,0,1,2,1,linear,0.712,0.9582,0.8626
2,0,1,2,1,quadratic,0.8251,0.9582,0.8626
0,3,1,2,1,unweighted,0.523,0.6289,0.8626
1,3,1,2,1,linear,0.7302,0.6289,0.8626
2,3,1,2,1,quadratic,0.8201,0.6289,0.8626
0,0,1,2,1,unweighted,0.4527,0.8271,0.8943
1,0,1,2,1,linear,0.6924,0.8271,0.8943
2,0,1,2,1,quadratic,0.8002,0.8271,0.8943
0,3,1,2,1,unweighted,0.5662,0.7995,0.7592
1,3,1,2,1,linear,0.7542,0.7995,0.7592
2,3,1,2,1,quadratic,0.8442,0.7995,0.7592
0,0,1,2,1,unweighted,0.4653,0.8379,0.8554
1,0,1,2,1,linear,0.7098,0.8379,0.8554
2,0,1,2,1,quadratic,0.8218,0.8379,0.8554
0,3,1,2,1,unweighted,0.5874,0.6341,0.7756
1,3,1,2,1,linear,0.7839,0.6341,0.7756
2,3,1,2,1,quadratic,0.8723,0.6341,0.7756
0,0,1,2,1,unweighted,0.4038,0.919,0.74
1,0,1,2,1,linear,0.679,0.919,0.74
2,0,1,2,1,quadratic,0.8013,0.919,0.74
0,3,1,2,1,unweighted,0.5361,0.9072,0.8323
1,3,1,2,1,linear,0.7556,0.9072,0.8323
2,3,1,2,1,quadratic,0.8553,0.9072,0.8323
0,0,1,2,1,unweighted,0.4429,0.9582,0.8943
1,0,1,2,1,linear,0.6854,0.9582,0.8943
2,0,1,2,1,quadratic,0.792,0.9582,0.8943
0,3,1,2,1,unweighted,0.6113,0.8145,0.8994
1,3,1,2,1,linear,0.8057,0.8145,0.8994
2,3,1,2,1,quadratic,0.8887,0.8145,0.8994
0,0,1,2,1,unweighted,0.4575,0.919,0.8943
1,0,1,2,1,linear,0.6886,0.919,0.8943
2,0,1,2,1,quadratic,0.7924,0.919,0.8943
0,3,1,2,1,unweighted,0.5362,0.6722,0.6981
1,3,1,2,1,linear,0.7536,0.6722,0.6981
2,3,1,2,1,quadratic,0.8535,0.6722,0.6981
0,0,1,2,1,unweighted,0.4686,0.919,0.8323
1,0,1,2,1,linear,0.7065,0.919,0.8323
2,0,1,2,1,quadratic,0.8111,0.919,0.8323
0,3,1,2,1,unweighted,0.5664,0.8145,0.7534
1,3,1,2,1,linear,0.7657,0.8145,0.7534
2,3,1,2,1,quadratic,0.8588,0.8145,0.7534
0,0,2,2,1,unweighted,0.4378,0.9136,0.7831
1,0,2,2,1,linear,0.6943,0.9136,0.7831
2,0,2,2,1,quadratic,0.806,0.9136,0.7831
0,3,2,2,1,unweighted,0.5543,0.6341,0.5639
1,3,2,2,1,linear,0.7747,0.6341,0.5639
2,3,2,2,1,quadratic,0.8706,0.6341,0.5639
0,0,2,2,1,unweighted,0.4931,0.9582,0.8626
1,0,2,2,1,linear,0.736,0.9582,0.8626
2,0,2,2,1,quadratic,0.8451,0.9582,0.8626
0,3,2,2,1,unweighted,0.558,0.6341,0.7378
1,3,2,2,1,linear,0.779,0.6341,0.7378
2,3,2,2,1,quadratic,0.8707,0.6341,0.7378
0,0,2,2,1,unweighted,0.4349,0.8379,0.8239
1,0,2,2,1,linear,0.6538,0.8379,0.8239
2,0,2,2,1,quadratic,0.759,0.8379,0.8239
0,3,2,2,1,unweighted,0.5846,0.7386,0.8689
1,3,2,2,1,linear,0.7775,0.7386,0.8689
2,3,2,2,1,quadratic,0.8665,0.7386,0.8689
0,0,2,2,1,unweighted,0.3761,0.8745,0.8554
1,0,2,2,1,linear,0.6534,0.8745,0.8554
2,0,2,2,1,quadratic,0.7788,0.8745,0.8554
0,3,2,2,1,unweighted,0.5939,0.7386,0.7938
1,3,2,2,1,linear,0.7744,0.7386,0.7938
2,3,2,2,1,quadratic,0.8579,0.7386,0.7938
0,0,2,2,1,unweighted,0.4375,0.8821,0.8994
1,0,2,2,1,linear,0.7031,0.8821,0.8994
2,0,2,2,1,quadratic,0.8177,0.8821,0.8994
0,3,2,2,1,unweighted,0.5786,0.7386,0.8118
1,3,2,2,1,linear,0.782,0.7386,0.8118
2,3,2,2,1,quadratic,0.8692,0.7386,0.8118
0,0,2,2,1,unweighted,0.5388,0.8821,0.8994
1,0,2,2,1,linear,0.7438,0.8821,0.8994
2,0,2,2,1,quadratic,0.836,0.8821,0.8994
0,3,2,2,1,unweighted,0.5626,0.6722,0.7938
1,3,2,2,1,linear,0.7637,0.6722,0.7938
2,3,2,2,1,quadratic,0.8576,0.6722,0.7938
0,0,2,2,1,unweighted,0.482,0.919,0.8626
1,0,2,2,1,linear,0.7207,0.919,0.8626
2,0,2,2,1,quadratic,0.829,0.919,0.8626
0,3,2,2,1,unweighted,0.5762,0.599,0.8033
1,3,2,2,1,linear,0.7679,0.599,0.8033
2,3,2,2,1,quadratic,0.8587,0.599,0.8033
0,0,2,2,1,unweighted,0.5062,1.0,0.7938
1,0,2,2,1,linear,0.7356,1.0,0.7938
2,0,2,2,1,quadratic,0.8354,1.0,0.7938
0,3,2,2,1,unweighted,0.6179,0.8555,0.8239
1,3,2,2,1,linear,0.7894,0.8555,0.8239
2,3,2,2,1,quadratic,0.8645,0.8555,0.8239
0,0,2,2,1,unweighted,0.508,0.919,0.8554
1,0,2,2,1,linear,0.7316,0.919,0.8554
2,0,2,2,1,quadratic,0.831,0.919,0.8554
0,3,2,2,1,unweighted,0.5952,0.8658,0.8397
1,3,2,2,1,linear,0.8001,0.8658,0.8397
2,3,2,2,1,quadratic,0.8834,0.8658,0.8397
0,0,2,2,1,unweighted,0.4103,1.0,0.8626
1,0,2,2,1,linear,0.7,1.0,0.8626
2,0,2,2,1,quadratic,0.8276,1.0,0.8626
0,3,2,2,1,unweighted,0.5508,0.7386,0.8323
1,3,2,2,1,linear,0.7826,0.7386,0.8323
2,3,2,2,1,quadratic,0.8825,0.7386,0.8323
0,0,3,2,1,unweighted,0.4446,0.8379,0.8143
1,0,3,2,1,linear,0.6648,0.8379,0.8143
2,0,3,2,1,quadratic,0.7682,0.8379,0.8143
0,3,3,2,1,unweighted,0.5664,0.8555,0.8689
1,3,3,2,1,linear,0.7708,0.8555,0.8689
2,3,3,2,1,quadratic,0.8605,0.8555,0.8689
0,0,3,2,1,unweighted,0.3741,0.9582,0.8626
1,0,3,2,1,linear,0.6453,0.9582,0.8626
2,0,3,2,1,quadratic,0.767,0.9582,0.8626
0,3,3,2,1,unweighted,0.5728,0.425,0.8626
1,3,3,2,1,linear,0.7741,0.425,0.8626
2,3,3,2,1,quadratic,0.8658,0.425,0.8626
0,0,3,2,1,unweighted,0.3849,0.8745,0.8626
1,0,3,2,1,linear,0.68,0.8745,0.8626
2,0,3,2,1,quadratic,0.8066,0.8745,0.8626
0,3,3,2,1,unweighted,0.5496,0.7386,0.8239
1,3,3,2,1,linear,0.7578,0.7386,0.8239
2,3,3,2,1,quadratic,0.8515,0.7386,0.8239
0,0,3,2,1,unweighted,0.4469,0.8658,0.8943
1,0,3,2,1,linear,0.701,0.8658,0.8943
2,0,3,2,1,quadratic,0.814,0.8658,0.8943
