,test_id,kcid,lmc_prior_code,lengthscale_prior_code,time_to_converge,iterations_to_converge
0,0.0,0.0,2.0,1.0,62.341433,917.0
0,3.0,0.0,2.0,1.0,23.851846,795.0
0,0.0,0.0,2.0,1.0,88.352237,1228.0
0,3.0,0.0,2.0,1.0,19.281009,658.0
0,0.0,0.0,2.0,1.0,65.276406,917.0
0,3.0,0.0,2.0,1.0,20.852536,711.0
0,0.0,0.0,2.0,1.0,69.481652,987.0
0,3.0,0.0,2.0,1.0,5.747475,190.0
0,0.0,0.0,2.0,1.0,63.921817,917.0
0,3.0,0.0,2.0,1.0,19.160366,656.0
0,0.0,0.0,2.0,1.0,69.201263,987.0
0,3.0,0.0,2.0,1.0,20.254939,711.0
0,0.0,0.0,2.0,1.0,67.955729,987.0
0,3.0,0.0,2.0,1.0,6.41854,223.0
0,0.0,0.0,2.0,1.0,68.256178,984.0
0,3.0,0.0,2.0,1.0,26.148504,912.0
0,0.0,0.0,2.0,1.0,63.101675,917.0
0,3.0,0.0,2.0,1.0,22.923344,815.0
0,0.0,0.0,2.0,1.0,67.950978,987.0
0,3.0,0.0,2.0,1.0,24.071942,846.0
0,0.0,1.0,2.0,1.0,89.331064,1058.0
0,3.0,1.0,2.0,1.0,28.701914,917.0
0,0.0,1.0,2.0,1.0,82.448791,984.0
0,3.0,1.0,2.0,1.0,27.051474,861.0
0,0.0,1.0,2.0,1.0,81.394705,974.0
0,3.0,1.0,2.0,1.0,26.680375,846.0
0,0.0,1.0,2.0,1.0,87.07536,987.0
0,3.0,1.0,2.0,1.0,22.284189,673.0
0,0.0,1.0,2.0,1.0,86.909454,974.0
0,3.0,1.0,2.0,1.0,26.765272,782.0
0,0.0,1.0,2.0,1.0,74.805163,913.0
0,3.0,1.0,2.0,1.0,29.55664,845.0
0,0.0,1.0,2.0,1.0,174.288823,1164.0
0,3.0,1.0,2.0,1.0,30.868707,845.0
0,0.0,1.0,2.0,1.0,83.269822,1002.0
0,3.0,1.0,2.0,1.0,29.792405,917.0
0,0.0,1.0,2.0,1.0,81.051213,974.0
0,3.0,1.0,2.0,1.0,31.279296,964.0
0,0.0,1.0,2.0,1.0,81.033983,974.0
0,3.0,1.0,2.0,1.0,27.119539,846.0
0,0.0,2.0,2.0,1.0,96.518168,984.0
0,3.0,2.0,2.0,1.0,30.583041,846.0
0,0.0,2.0,2.0,1.0,101.792778,977.0
0,3.0,2.0,2.0,1.0,21.565525,606.0
0,0.0,2.0,2.0,1.0,95.13246,953.0
0,3.0,2.0,2.0,1.0,22.166785,607.0
0,0.0,2.0,2.0,1.0,98.811693,987.0
0,3.0,2.0,2.0,1.0,29.110154,815.0
0,0.0,2.0,2.0,1.0,97.421084,977.0
0,3.0,2.0,2.0,1.0,26.820732,707.0
0,0.0,2.0,2.0,1.0,95.349343,977.0
0,3.0,2.0,2.0,1.0,32.421563,917.0
0,0.0,2.0,2.0,1.0,99.324211,987.0
0,3.0,2.0,2.0,1.0,23.711702,673.0
0,0.0,2.0,2.0,1.0,92.645801,953.0
0,3.0,2.0,2.0,1.0,32.066789,917.0
0,0.0,2.0,2.0,1.0,96.813464,987.0
0,3.0,2.0,2.0,1.0,29.531831,835.0
0,0.0,2.0,2.0,1.0,94.481875,974.0
0,3.0,2.0,2.0,1.0,32.630838,846.0
0,0.0,3.0,2.0,1.0,75.738124,977.0
0,3.0,3.0,2.0,1.0,25.471476,846.0
0,0.0,3.0,2.0,1.0,75.33694,987.0
