,test_id,kcid,lmc_prior_code,lengthscale_prior_code,lengthscales
0,0,0,2,1,"[0.9224, 0.4052, 0.3596, 1.4481, 0.6685, 0.3227, 0.5202, 0.4287, 0.1622, 0.5242, 1.4908, 1.3278, 0.6817, 2.5354, 1.5125, 2.1309, 0.4591, 0.4814, 1.2725, 0.1695, 0.9868, 0.3403, 2.5594, 2.2967]"
0,3,0,2,1,"[0.6108, 3.5402, 0.6365, 0.2417, 0.4757, 0.3628, 0.836, 0.3926, 0.412, 1.4508, 1.3028, 0.2878, 0.5077, 0.3614, 0.4139, 0.5606, 0.8351, 0.9748, 1.1347, 2.1008, 0.4876, 0.2586, 0.5751, 1.2667]"
0,0,0,2,1,"[0.2545, 0.3344, 0.9564, 3.2376, 0.8054, 0.1974, 0.2878, 0.6722, 0.3934, 0.6589, 2.2781, 1.9118, 0.6071, 3.2183, 2.0234, 1.3099, 0.4773, 0.4898, 1.2929, 0.0963, 2.2097, 0.3377, 2.2671, 0.4261]"
0,3,0,2,1,"[0.2852, 2.2357, 0.3348, 0.4044, 0.476, 0.9115, 1.5383, 0.2128, 0.4811, 0.6515, 1.2385, 0.2389, 1.4482, 0.1744, 0.9153, 0.7288, 3.6679, 1.3648, 3.376, 2.8584, 1.2861, 0.2006, 0.6519, 0.9987]"
0,0,0,2,1,"[0.0915, 0.2999, 1.2949, 0.4998, 0.8064, 1.3725, 0.3851, 0.2178, 0.2304, 0.4079, 2.5866, 1.2929, 0.8385, 1.9282, 2.3578, 0.45, 0.3952, 0.5559, 0.4871, 0.3338, 3.4218, 0.3055, 3.4012, 0.126]"
0,3,0,2,1,"[0.485, 1.0669, 0.5366, 0.4788, 0.4555, 1.8665, 1.7669, 0.1686, 0.6427, 0.9227, 1.1031, 0.4522, 3.5584, 0.1427, 0.9442, 1.094, 2.5858, 1.3116, 2.5986, 2.1272, 1.0956, 0.2166, 0.9803, 0.8834]"
0,0,0,2,1,"[0.1559, 1.3402, 0.3828, 2.3208, 1.1859, 1.084, 0.413, 0.3532, 0.0607, 0.6434, 2.0668, 1.7937, 2.4859, 1.0991, 0.4347, 0.427, 0.2134, 1.1054, 0.4223, 1.1733, 1.7641, 0.8453, 1.6131, 0.3305]"
0,3,0,2,1,"[0.4812, 0.7295, 1.2035, 0.3536, 0.563, 1.649, 3.2855, 0.2239, 1.1958, 1.117, 1.2642, 0.8802, 2.1498, 0.2429, 1.0071, 0.7209, 1.6713, 1.1638, 1.2531, 1.0075, 1.9789, 0.3446, 0.6883, 0.9475]"
0,0,0,2,1,"[0.3021, 1.2226, 0.2103, 1.1279, 2.733, 0.8411, 1.8161, 0.2359, 0.0932, 2.6252, 1.314, 2.6843, 3.624, 2.19, 0.3451, 0.2699, 0.6103, 1.6295, 2.6346, 2.7, 2.4201, 1.9792, 0.5132, 0.4954]"
0,3,0,2,1,"[0.6331, 2.2548, 2.5874, 1.8155, 0.4441, 0.9911, 2.6596, 0.4489, 0.5291, 0.3483, 0.5413, 0.479, 2.8624, 0.1797, 0.6733, 1.2754, 1.1155, 1.7101, 0.9857, 0.1823, 0.9789, 0.2812, 0.6412, 1.7086]"
0,0,0,2,1,"[1.2929, 1.2929, 1.5699, 0.1847, 1.2929, 0.1533, 1.4609, 0.3595, 0.0714, 1.2989, 0.4021, 0.5091, 2.2593, 0.8982, 1.324, 0.6334, 0.3239, 0.4416, 2.3934, 2.0864, 1.2929, 2.234, 2.3785, 0.1564]"
0,3,0,2,1,"[0.3289, 1.3836, 0.8317, 0.7051, 0.4477, 0.9087, 2.4516, 0.17, 0.4917, 0.9958, 1.0392, 1.1183, 3.8039, 0.126, 0.7224, 1.6514, 0.6559, 1.0298, 0.5348, 0.5179, 0.5342, 0.3691, 0.592, 0.4852]"
0,0,0,2,1,"[0.5793, 2.3256, 2.0283, 0.3242, 2.7017, 0.233, 2.2573, 1.9639, 0.1058, 2.5744, 0.3333, 0.3829, 2.6518, 0.9382, 2.2999, 0.3853, 0.1805, 0.2629, 2.3554, 2.8351, 1.1911, 1.7419, 2.8027, 0.1548]"
0,3,0,2,1,"[0.7347, 1.0086, 1.0923, 1.5667, 0.8896, 0.9236, 1.6952, 0.1728, 0.4638, 1.161, 0.671, 0.6978, 5.5188, 0.5174, 1.2451, 2.6344, 0.4708, 0.5701, 1.196, 0.2893, 0.3385, 0.4389, 0.5823, 1.2798]"
