,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0,4025.660455987552,8.726626512375928,187.0535953685749,False,885,300,log,-86.04784,2058.44809,2060.62459,-3.60554,-3.75885
0,3,0,2,1,0,4643.220194688363,216.83690805064657,209.1016906737794,True,885,300,log,-35.53397,2345.9585,2343.53213,-4.74619,-5.99028
0,0,0,2,1,0,4021.2399438145003,8.902688864092154,187.54690380625408,False,885,300,log,-93.10384,2060.48166,2060.97052,-4.15285,-2.95554
0,3,0,2,1,0,4634.750498799895,235.73983048862692,212.2920533594816,True,885,300,log,-29.93375,2350.52351,2327.59453,-9.59475,-3.83903
0,0,0,2,1,0,4032.6981708695284,7.715636174898881,187.46749913191994,False,885,300,log,-88.24584,2062.96084,2064.5342,-3.51711,-3.03391
0,3,0,2,1,0,4574.07968810463,207.56094183385954,212.4167251143127,True,885,300,log,-35.45127,2311.68257,2309.51234,-6.9844,-4.67956
0,0,0,2,1,0,4030.8204906973406,8.762513271337959,187.12019311138835,False,885,300,log,-88.70485,2059.81304,2063.97197,-2.01921,-2.24046
0,3,0,2,1,0,4347.408514882007,84.06301444623779,198.07153574257094,True,885,300,log,-42.96275,2201.01083,2209.3668,-9.53449,-10.47188
0,0,0,2,1,0,4017.7387143608535,9.39749189181736,187.4278781535248,False,885,300,log,-93.48807,2058.37182,2059.7887,-3.80789,-3.12585
0,3,0,2,1,0,4577.901768439983,166.78068601633976,207.6448718913905,True,885,300,log,-35.85249,2312.6674,2319.04317,-7.1214,-10.83492
0,0,0,2,1,0,4022.1077043889873,8.278131864687499,186.9543625386652,False,885,300,log,-88.6486,2059.42639,2059.47106,-3.85928,-4.28188
0,3,0,2,1,0,4651.55249671767,189.33387996946186,214.82261040012423,True,885,300,log,-30.29721,2350.92552,2342.10688,-7.08364,-4.09905
0,0,0,2,1,0,4023.127131479786,11.132998918344711,187.0809679450707,False,885,300,log,-91.97025,2061.29899,2060.18093,-3.92936,-2.45317
0,3,0,2,1,0,4346.82390276216,147.13564851898042,200.1633948635399,True,885,300,log,-42.07179,2229.52342,2173.70407,-7.15637,-7.17543
0,0,0,2,1,0,4042.7048449735744,10.286520250174433,187.08381459976852,False,885,300,log,-83.05464,2065.68237,2065.73462,-1.96567,-3.69183
0,3,0,2,1,0,4632.847938376156,196.01080315965498,214.98764022899198,True,885,300,log,-28.79431,2333.05903,2341.03527,-6.41617,-6.03588
0,0,0,2,1,0,4033.4484930939802,12.263254158195158,187.41641789679443,False,885,300,log,-87.97795,2064.43882,2065.66229,-4.11322,-4.56145
0,3,0,2,1,0,4625.666097990597,247.77892596019652,213.73905189957873,True,885,300,log,-40.78545,2342.98529,2336.53196,-8.19083,-4.87489
0,0,0,2,1,0,4028.5775004815087,9.209600078794544,187.26844966322585,False,885,300,log,-91.43994,2064.77136,2064.31042,-4.67268,-4.39165
0,3,0,2,1,0,4601.59320462054,187.63617853736838,213.842159185683,True,885,300,log,-44.13248,2334.54862,2326.21112,-6.19772,-8.83634
0,0,1,2,1,0,4237.660526307782,33.15094599029827,191.99115455485097,True,885,300,log,-51.00319,2146.21882,2146.73068,-2.08946,-2.19633
0,3,1,2,1,0,4707.47195413115,305.78779497893254,212.8516459569916,True,885,300,log,-24.09116,2372.26982,2370.66602,-2.76861,-8.60411
0,0,1,2,1,0,4172.770963699075,25.227684709411015,192.36090460961688,True,885,300,log,-82.26535,2131.16291,2130.25675,-4.03556,-2.34779
0,3,1,2,1,0,4594.278759695316,293.02728009984594,213.15652162959128,True,885,300,log,-37.23073,2320.69676,2334.60562,-6.20126,-17.59164
0,0,1,2,1,0,4084.6650824735516,16.362447815948727,188.8404103901765,False,885,300,log,-82.96304,2087.49019,2085.49852,-3.2082,-2.15239
0,3,1,2,1,0,4713.638881256229,276.10992526569737,219.16369404542306,True,885,300,log,-32.64784,2383.90931,2378.7679,-6.06417,-10.32631
0,0,1,2,1,0,4081.346134308243,14.061908853506754,188.28929987613824,False,885,300,log,-74.86874,2081.38515,2079.95897,-2.20345,-2.9258
0,3,1,2,1,0,4583.442221749279,238.04494124758497,206.30583158310887,True,885,300,log,-30.59978,2314.59185,2313.123,-4.40442,-9.26842
0,0,1,2,1,0,4103.323432670912,15.231796923658706,188.6436488012289,False,885,300,log,-73.89031,2090.54462,2090.76736,-2.221,-1.87723
0,3,1,2,1,0,4620.066376859206,239.96849679080364,211.5603519002329,True,885,300,log,-35.25775,2339.67207,2329.56037,-7.13457,-6.77374
0,0,1,2,1,0,4097.910076624936,17.20330467683126,188.44644231493416,True,885,300,log,-75.05371,2088.76098,2089.59268,-3.32822,-2.06166
0,3,1,2,1,0,4595.339941915925,279.2961819759156,215.0892663937018,True,885,300,log,-33.29435,2323.36911,2317.61319,-8.52255,-3.82546
0,0,1,2,1,0,4128.2151395278615,16.423969097336975,188.91459068131755,False,885,300,log,-66.37959,2099.80761,2098.0188,-1.99612,-1.23556
0,3,1,2,1,0,4599.831364470972,215.0864494733137,211.475803339417,True,885,300,log,-31.775,2322.09426,2323.41996,-7.50566,-6.4022
0,0,1,2,1,0,4150.11328837865,20.45183786316964,190.50170818450414,False,885,300,log,-79.4003,2115.8474,2118.4456,-3.03763,-1.74178
0,3,1,2,1,0,4637.641479351825,247.94971957406105,211.62520786658624,True,885,300,log,-32.95808,2340.53241,2341.31528,-5.69658,-5.55155
0,0,1,2,1,0,4101.776113607395,19.662979463845538,187.7091574776188,True,885,300,log,-64.0913,2084.86401,2086.1115,-2.7346,-2.3735
0,3,1,2,1,0,4779.55453637923,324.395584624962,222.89644896303219,True,885,300,log,-24.39203,2420.74292,2397.59785,-4.59735,-9.79685
0,0,1,2,1,0,4158.391035010607,22.69114364596882,190.09728783560843,True,885,300,log,-58.71509,2110.32834,2112.20283,-2.97073,-2.4543
0,3,1,2,1,0,4685.027785073277,282.6118319910823,216.50935053770834,True,885,300,log,-25.26227,2357.3483,2364.23575,-4.11315,-7.18083
0,0,2,2,1,0,4208.950668373449,26.30664479737164,191.38591839376414,True,885,300,log,-55.83369,2132.95675,2135.38066,-2.24107,-1.31198
0,3,2,2,1,0,4693.496938611501,457.3060454155758,219.7144946568512,True,885,300,log,-24.42209,2367.6822,2370.01461,-7.67088,-12.1069
0,0,2,2,1,0,4201.083015534452,37.93753547435589,192.38167538085733,True,885,300,log,-66.71687,2133.70154,2137.14148,-2.14543,-0.89771
