,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,1,2573.2924714329783,8.453816883380568,153.08268680530472,True,590,300,log,477,2,0,111,-79.6893,1332.34047,1334.19359,-4.00941,-9.54288
0,3,0,2,1,1,-3162.4091402713575,5098.099159342228,1157.968686727178,True,590,300,log,330,44,23,193,-141.94917,-1403.50286,-1599.50442,-8.62489,-8.8278
0,0,0,2,1,1,2579.363391521315,9.034581920056553,153.32403521603658,True,590,300,log,482,3,0,105,-74.25079,1334.35774,1332.39062,-3.37886,-9.75532
0,3,0,2,1,1,-2453.0560555821867,4236.332872657345,1007.8067799998481,True,590,300,log,342,54,25,169,-139.36973,-1023.00116,-1233.77065,-43.36828,-13.54624
0,0,0,2,1,1,,,,True,590,300,log,464,7,0,119,-81.36181,1335.23171,1333.88667,,-11.66385
0,3,0,2,1,1,1290.2367799681401,1078.6629504873627,299.55979519934203,True,590,300,log,394,35,19,142,-98.09923,709.96061,728.41611,-34.38526,-15.65544
0,0,0,2,1,1,2552.960130816257,10.609916146579508,153.27515661898212,True,590,300,log,461,3,0,126,-90.47168,1328.57706,1330.52166,-4.12577,-11.54113
0,3,0,2,1,1,2515.6617114408036,157.1496950019291,174.3079353013118,True,590,300,log,505,20,8,57,-71.83063,1316.11517,1306.51921,-16.85363,-18.28841
0,0,0,2,1,1,2577.3880713809276,10.179488444954131,152.75112308712445,True,590,300,log,476,2,1,111,-74.20529,1330.56318,1334.35301,-3.8676,-9.45523
0,3,0,2,1,1,-422.0437334848534,2662.750392069896,632.5590969131798,True,590,300,log,413,26,21,130,-104.90344,-149.10364,-141.28254,-10.44986,-16.30425
0,0,0,2,1,1,2554.9314020621277,9.23085273810375,153.28306932592977,True,590,300,log,491,2,0,97,-90.51149,1332.2162,1329.86828,-4.54652,-12.09506
0,3,0,2,1,1,-1035.800193308988,3077.555369059249,943.8798512480234,True,590,300,log,400,38,25,127,-117.53349,-409.93233,-469.21047,-22.85193,-16.27198
0,0,0,2,1,1,2550.4857263740646,10.90031129980207,153.97900651588026,True,590,300,log,471,0,0,119,-100.78786,1334.08595,1330.24433,-3.84599,-9.21071
0,3,0,2,1,1,1974.7615602927142,601.2400242041374,245.16270698894743,True,590,300,log,440,41,19,90,-104.60344,1152.14235,957.07806,-18.66848,-11.18693
0,0,0,2,1,1,2532.762002274603,11.741792946635542,153.8508879018716,True,590,300,log,469,2,0,119,-103.51842,1324.85568,1325.71885,-1.66589,-12.62821
0,3,0,2,1,1,,,,True,590,300,log,356,41,23,170,-90.19533,-286.49972,-242.94855,,-10.93187
0,0,0,2,1,1,2496.9497527719604,18.298409226040803,152.90092059786178,True,590,300,log,482,3,0,105,-101.12379,1302.817,1309.7433,-3.23909,-11.24767
0,3,0,2,1,1,-22.7902542252873,2408.5381134356353,687.0798578157987,True,590,300,log,393,31,17,149,-99.3581,105.66875,12.14728,-22.10937,-19.13882
