,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0,4025.540183524929,8.846898974998567,187.05068448685046,True,885,300,log,706,0,0,179,-86.0617,2058.39251,2060.58741,-3.61277,-3.76527
0,3,0,2,1,0,,,,True,885,300,log,597,51,33,204,-35.73767,2316.83535,2314.56222,,-5.99763
0,0,0,2,1,0,,,,True,885,300,log,713,4,0,168,-93.12285,2060.43753,2060.92862,,-2.95957
0,3,0,2,1,0,4568.508177147713,301.98215214080847,209.81512642259761,True,885,300,log,616,54,35,180,-30.03642,2314.44483,2297.5785,-9.63044,-3.8483
0,0,0,2,1,0,4032.582824693817,7.830982350610611,187.4665084367524,True,885,300,log,688,9,0,188,-88.26517,2062.92317,2064.50619,-3.53144,-3.04993
0,3,0,2,1,0,,,,True,885,300,log,668,23,13,181,-35.50085,2279.65268,2284.70781,,-4.69283
0,0,0,2,1,0,4030.7018948751243,8.881109093553732,187.11786019310824,True,885,300,log,674,9,0,202,-88.72992,2059.75664,2063.94336,-2.02375,-2.24443
0,3,0,2,1,0,4340.568281854022,90.90324747422255,197.83709490558795,True,885,300,log,775,24,13,73,-43.05058,2195.98255,2207.66471,-9.54382,-10.48457
0,0,0,2,1,0,4017.595850348839,9.540355903832278,187.42385361505694,True,885,300,log,708,3,0,174,-93.49707,2058.30159,2059.74072,-3.81958,-3.12981
0,3,0,2,1,0,4521.645689590518,223.0367648658048,205.62362419192948,True,885,300,log,707,30,22,126,-35.90568,2285.03271,2290.48765,-7.12588,-10.84311
0,0,0,2,1,0,4021.991740254845,8.39409599882947,186.95332104386813,True,885,300,log,735,3,0,147,-88.67958,2059.39589,2059.43372,-3.86727,-4.29102
0,3,0,2,1,0,4607.805012574099,233.08136411303258,213.29428081659373,True,885,300,log,684,60,26,115,-30.39074,2333.06323,2316.33584,-7.09627,-4.10705
0,0,0,2,1,0,4022.9780819324296,11.282048465701337,187.07665580208382,True,885,300,log,695,3,0,187,-91.9889,2061.24972,2060.10828,-3.9348,-2.45622
0,3,0,2,1,0,4335.1985891718705,158.7609621092697,198.34385951840883,True,885,300,log,697,59,14,115,-42.21645,2221.4411,2170.36542,-7.18532,-7.20616
0,0,0,2,1,0,,,,True,885,300,log,695,4,0,186,-83.08068,2065.63527,2065.69181,-1.96905,
0,3,0,2,1,0,,,,True,885,300,log,624,46,23,192,-28.82928,2308.36193,2316.33615,,-6.06693
0,0,0,2,1,0,4033.268391118095,12.443356134080204,187.41211636536812,True,885,300,log,712,1,0,172,-88.0031,2064.36387,2065.60107,-4.12414,-4.56931
0,3,0,2,1,0,,,,True,885,300,log,656,39,14,176,-40.81822,2315.34746,2300.44954,,-4.89942
0,0,0,2,1,0,,,,True,885,300,log,709,1,0,175,-91.4572,2064.72692,2064.25969,-4.68116,
0,3,0,2,1,0,4544.860021299244,244.3693618586649,211.89846070354463,True,885,300,log,680,42,16,147,-44.22425,2307.85234,2296.28873,-6.20326,-8.85354
0,0,1,2,1,0,4237.021762355191,33.78970994289011,191.97755684856722,True,885,300,log,668,29,5,183,-51.17762,2145.99663,2146.49792,-2.09367,-2.20149
0,3,1,2,1,0,4623.555107448758,389.7046416613248,210.02666393339015,True,885,300,log,472,110,83,220,-24.97008,2329.97876,2329.99079,-2.78044,-8.66392
0,0,1,2,1,0,4169.88025487259,28.118393535895848,192.2167283241459,True,885,300,log,700,12,2,171,-82.28034,2129.82768,2128.73035,-4.04469,-2.35273
0,3,1,2,1,0,4512.3855891595185,374.92045063564274,210.8375928776906,True,885,300,log,629,69,40,147,-37.37576,2277.75576,2295.85269,-6.21727,-17.62983
0,0,1,2,1,0,4084.4313580032845,16.596172286216188,188.8354607289159,True,885,300,log,672,27,4,182,-82.99118,2087.40735,2085.40787,-3.22263,-2.17006
0,3,1,2,1,0,4629.418905131726,360.32990139019967,216.6250876615277,True,885,300,log,560,74,39,212,-32.79443,2341.15528,2337.55193,-6.09817,-10.3957
0,0,1,2,1,0,4081.132860074681,14.275183087069308,188.28561354219642,True,885,300,log,687,14,5,179,-74.9201,2081.32205,2079.87353,-2.21025,-2.93236
0,3,1,2,1,0,4519.163696203935,302.32346679292914,204.02112546814317,True,885,300,log,559,131,68,127,-30.98268,2284.8623,2279.06898,-4.47931,-9.3056
0,0,1,2,1,0,4103.103271948645,15.451957645926086,188.6387945489115,True,885,300,log,680,30,7,168,-73.9236,2090.46739,2090.6804,-2.24056,-1.88036
0,3,1,2,1,0,4569.911484332049,290.12338931795966,210.25134641721894,True,885,300,log,634,66,34,151,-35.54479,2316.25688,2303.21477,-7.22509,-6.79029
0,0,1,2,1,0,,,,True,885,300,log,708,23,4,150,-75.09701,2088.67612,2089.50616,,-2.06614
0,3,1,2,1,0,,,,True,885,300,log,609,65,35,176,-33.38888,2280.4894,2276.71583,-8.63844,
0,0,1,2,1,0,4127.988137883442,16.65097074175719,188.9097796386243,True,885,300,log,676,20,2,187,-66.43165,2099.7291,2097.93061,-2.00391,-1.236
0,3,1,2,1,0,4539.011699864061,275.90611408022596,209.41911057209893,True,885,300,log,641,47,30,167,-31.82992,2288.1231,2296.66614,-7.51052,-6.4371
0,0,1,2,1,0,,,,True,885,300,log,700,4,0,181,-79.42349,2115.68023,2118.31297,,-1.74426
0,3,1,2,1,0,4572.298247053438,313.2929518724477,209.5309269316574,True,885,300,log,578,68,48,191,-33.05086,2304.89504,2311.72218,-5.7077,-5.56041
0,0,1,2,1,0,4101.527388807283,19.91170426395638,187.7023594914633,True,885,300,log,724,9,2,150,-64.12237,2084.7465,2086.02976,-2.74982,-2.37669
0,3,1,2,1,0,4703.296949906213,400.6531710979798,220.44471001438785,True,885,300,log,518,68,58,241,-24.45472,2385.81026,2356.49852,-4.62315,-9.93396
0,0,1,2,1,0,4157.940810472721,23.141368183854865,190.08323079448508,True,885,300,log,713,28,0,144,-58.77289,2110.17795,2111.98767,-2.99281,-2.45912
0,3,1,2,1,0,4616.802560412125,350.83705665223533,214.46751195506945,True,885,300,log,572,80,46,187,-25.37968,2324.12101,2329.40763,-4.13022,-7.21617
0,0,2,2,1,0,4208.110447335056,27.14686583576531,191.34959820461438,True,885,300,log,658,45,14,168,-55.89746,2132.67047,2134.87651,-2.24722,-1.29186
0,3,2,2,1,0,4611.613840780159,539.1891432469165,216.216545536723,True,885,300,log,445,148,85,207,-25.43145,2321.75405,2335.48459,-7.80202,-12.39132
0,0,2,2,1,0,,,,True,885,300,log,658,39,1,187,-66.76953,2131.19428,2135.51787,,-0.8972
0,3,2,2,1,0,4546.106604312694,505.85345707585657,212.52416962412036,True,885,300,log,458,137,99,191,-26.24695,2310.07024,2280.61819,-7.60738,-10.72749
0,0,2,2,1,0,4164.070980277854,25.847340218173485,190.5771458224174,True,885,300,log,720,17,1,147,-65.50518,2118.03414,2116.85565,-3.6359,-1.67773
0,3,2,2,1,0,,,,True,885,300,log,473,120,79,213,-27.9793,2307.63184,2330.50365,-6.64353,
0,0,2,2,1,0,4163.272511973393,23.546625427070467,190.21249116309582,True,885,300,log,679,20,4,182,-59.67139,2112.78278,2114.7218,-2.65453,-1.90615
0,3,2,2,1,0,4657.51187659805,424.12424583966094,219.17740853950664,True,885,300,log,502,95,61,227,-30.76675,2349.71748,2350.76118,-4.63313,-7.56691
0,0,2,2,1,0,,,,True,885,300,log,686,13,0,186,-65.97379,2108.77707,2109.35702,-4.00324,
0,3,2,2,1,0,4609.584345325861,346.579578406986,207.79917954278025,True,885,300,log,558,85,56,186,-31.10626,2329.18546,2324.58552,-7.08463,-5.99575
0,0,2,2,1,0,4162.323569107801,30.21941504066308,191.67149240481746,True,885,300,log,719,13,6,147,-72.40825,2121.37096,2119.30731,-3.13395,-2.8125
0,3,2,2,1,0,4630.8979069100915,440.54440774711384,217.17407932562722,True,885,300,log,464,122,74,225,-31.60074,2337.13503,2337.70541,-6.30092,-6.04088
0,0,2,2,1,0,,,,True,885,300,log,729,20,2,134,-68.34779,2103.12931,2104.10661,-3.05437,
0,3,2,2,1,0,,,,True,885,300,log,553,116,47,169,-22.96386,2311.55561,2329.2631,,-7.11555
0,0,2,2,1,0,4157.07516252329,21.221328151468697,189.99628801282987,True,885,300,log,679,20,4,182,-64.06594,2112.79911,2112.29521,-2.17372,-1.7795
0,3,2,2,1,0,4585.73256987033,427.1107852602563,214.80524990861963,True,885,300,log,536,90,51,208,-23.48078,2317.68801,2304.72084,-4.35808,-8.83742
0,0,2,2,1,0,4194.9418934530295,49.07533035249253,192.21466587517455,True,885,300,log,679,11,6,189,-65.40254,2130.5235,2133.43299,-2.52397,-1.08809
0,3,2,2,1,0,4646.830961414469,400.5640166897965,215.81703900350078,True,885,300,log,555,94,62,174,-30.22779,2347.29886,2341.0314,-4.66118,-6.61033
0,0,2,2,1,0,,,,True,885,300,log,675,25,4,181,-67.63578,2095.78472,2096.11302,-2.6025,
0,3,2,2,1,0,,,,True,885,300,log,511,122,63,189,-29.10854,2334.80723,2324.87009,-6.92569,
0,0,3,2,1,0,4164.816558771439,27.35217464980451,190.619024408014,True,885,300,log,669,29,5,182,-68.47461,2119.04902,2118.91475,-2.73734,-1.93526
0,3,3,2,1,0,,,,True,885,300,log,530,83,62,210,-36.22309,2327.65162,2337.99041,,-5.06644
0,0,3,2,1,0,4127.0754709998255,22.071411990249544,190.38025921642762,True,885,300,log,682,18,1,184,-82.93085,2108.52948,2107.93304,-4.57975,-1.87645
0,3,3,2,1,0,4569.323134469362,358.2968777770084,211.28043849583656,True,885,300,log,578,74,45,188,-30.38391,2302.21787,2310.75817,-4.16806,-9.10094
0,0,3,2,1,0,4110.659700374261,19.577596709857062,189.24004932637445,True,885,300,log,700,18,6,161,-68.93981,2094.35427,2094.07937,-3.41324,-5.42088
0,3,3,2,1,0,,,,True,885,300,log,587,100,66,132,-23.36021,2301.08805,2297.78669,,-10.34869
0,0,3,2,1,0,,,,True,885,300,log,727,13,1,144,-77.41744,2079.97373,2080.45787,-4.84228,
0,3,3,2,1,0,,,,True,885,300,log,590,61,57,177,-36.47989,2285.42411,2290.54251,-9.82559,
0,0,3,2,1,0,,,,True,885,300,log,721,4,0,160,-78.8038,2102.21951,2098.46248,,-2.54617
0,3,3,2,1,0,4569.641271525602,280.44839706192124,211.23457633189832,True,885,300,log,610,75,45,155,-26.54358,2303.89521,2309.84273,-9.6687,-7.8844
0,0,3,2,1,0,4054.6513419065295,15.548953798157527,187.86763129091457,True,885,300,log,677,26,12,170,-82.02568,2072.29683,2072.89035,-4.69652,-3.81364
0,3,3,2,1,0,4587.849404377926,365.0663446464441,210.22800572518034,True,885,300,log,539,70,51,225,-37.57103,2319.28413,2317.6036,-6.56593,-4.90137
0,0,3,2,1,0,,,,True,885,300,log,734,5,0,146,-89.22007,2100.02822,2096.53391,,-3.79621
0,3,3,2,1,0,4561.576215869114,333.0147121661994,205.79136402083577,True,885,300,log,556,82,48,199,-29.80971,2295.8792,2308.2547,-6.60459,-6.14338
0,0,3,2,1,0,,,,True,885,300,log,730,8,2,145,-91.2705,2107.62581,2107.69243,,
0,3,3,2,1,0,4682.7712493613635,384.34616072636163,219.25581399916996,True,885,300,log,563,94,49,179,-31.16254,2356.39027,2376.67486,-6.96181,-12.16953
0,0,3,2,1,0,4142.004905227265,30.75576692768027,188.60997364635398,True,885,300,log,653,31,9,192,-51.84901,2098.21998,2100.08283,-1.72647,-2.72242
0,3,3,2,1,0,4556.761918831853,287.9762405635611,205.61120756306232,True,885,300,log,620,67,29,169,-34.91072,2309.0659,2298.7507,-6.5593,-9.58467
0,0,3,2,1,0,4196.315696723432,31.03465052402862,190.98205107014095,True,885,300,log,707,21,6,151,-54.5707,2131.10963,2126.23679,-3.70388,-2.75614
0,3,3,2,1,0,4555.37373780715,263.4676875205814,212.21814939473222,True,885,300,log,623,62,32,168,-36.17363,2303.9853,2301.63632,-6.55347,-7.52079
