,test_id,kcid,lmc_prior_code,lengthscale_prior_code,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,1,2573.38429441383,8.361993902528804,153.08384960737857,False,590,300,log,-79.67478,1332.3744,1334.22142,-4.00453,-9.53222
0,3,0,2,1,1,-44336.50982991985,46272.19984899072,15262.052138796056,True,590,300,log,-142.47891,-20645.61705,-23531.13999,-8.45299,-8.8209
0,0,0,2,1,1,2579.461296814635,8.936676626736496,153.32658434030907,True,590,300,log,-74.23886,1334.40039,1332.42381,-3.37307,-9.75097
0,3,0,2,1,1,-31397.123117588086,33180.39993466325,14330.122062386274,True,590,300,log,-138.9623,-14260.54021,-16940.03436,-44.13037,-13.45588
0,0,0,2,1,1,2572.980188231194,8.74939245489166,153.51036211772882,True,590,300,log,-81.34395,1335.2578,1333.91139,-3.20082,-11.64423
0,3,0,2,1,1,86.43155436790212,2282.4681760876,736.0467093818555,True,590,300,log,-98.03809,90.21132,144.27781,-34.40946,-15.61002
0,0,0,2,1,1,2553.1315950474955,10.438451915341231,153.27537417718167,True,590,300,log,-90.43884,1328.63722,1330.5491,-4.10102,-11.51487
0,3,0,2,1,1,2485.748011922744,187.06339451998912,183.06948955128874,True,590,300,log,-71.77291,1303.39408,1289.20409,-16.82237,-18.25488
0,0,0,2,1,1,2577.5001219347414,10.067437891140752,152.7539699476833,False,590,300,log,-74.1985,1330.60782,1334.39915,-3.8623,-9.44605
0,3,0,2,1,1,-10738.003811591574,12978.710470176617,4672.450372240046,True,590,300,log,-104.92374,-5410.47771,-5195.86273,-10.44963,-16.29
0,0,0,2,1,1,2555.0656929854445,9.096561814787261,153.28246668594866,True,590,300,log,-90.47861,1332.24449,1329.90068,-4.53313,-12.06773
0,3,0,2,1,1,-22676.40493237114,24718.160108121403,14003.925151116815,True,590,300,log,-117.47759,-10365.57444,-12154.10989,-22.96803,-16.27499
0,0,0,2,1,1,2550.6435924230173,10.742445250849297,153.98099710743546,True,590,300,log,-100.76547,1334.12639,1330.30432,-3.84197,-9.17967
0,3,0,2,1,1,1177.9018805446108,1398.0997039522404,574.6507099427099,True,590,300,log,-104.31083,989.12445,322.85849,-18.64622,-11.12402
0,0,0,2,1,1,2532.8920232329865,11.611771988252,153.8531998931642,True,590,300,log,-103.49032,1324.91124,1325.75529,-1.66186,-12.62232
0,3,0,2,1,1,-14085.709044282019,16084.113408559346,7173.727514107986,True,590,300,log,-90.24916,-7193.13318,-6732.08702,-59.61572,-10.62395
0,0,0,2,1,1,2497.1832768440163,18.064885153985102,152.90364956757685,True,590,300,log,-101.10173,1303.01143,1309.73927,-3.23511,-11.23059
0,3,0,2,1,1,-18527.324268444074,20913.07212765442,12580.87126101587,True,590,300,log,-99.40205,-8063.79664,-10322.8988,-22.06699,-19.15979
0,0,0,2,1,1,2547.6628626865804,10.439502730685977,152.49948689862546,True,590,300,log,-86.23003,1323.60369,1323.45785,-2.47765,-10.69099
0,3,0,2,1,1,-99332.74500783763,101246.99533316732,65281.64448121132,True,590,300,log,-122.02471,-45169.67372,-54007.7067,-12.55638,-20.7835
0,0,1,2,1,1,-9367.95730615132,10706.211375305706,5412.881883065961,True,590,300,log,-164.79788,-4285.59794,-4890.32967,-13.27896,-13.95285
0,3,1,2,1,1,-27139.083043517196,29462.241417576162,7660.270170942647,True,590,300,log,-215.63363,-12868.50171,-14003.30604,-35.53761,-16.10405
0,0,1,2,1,1,-5617262.897021188,5600599.440959824,3818665.671757484,True,590,300,log,-86.11553,-3613905.76768,-2003250.27785,-8.73094,-12.00501
0,3,1,2,1,1,-56478.02315616259,58530.24945979328,37181.03019737428,True,590,300,log,-130.01611,-27530.50534,-28789.76263,-5.48961,-22.24946
0,0,1,2,1,1,2496.4843030607653,28.59446147941749,152.68557065385525,True,590,300,log,-85.08807,1304.18946,1295.46834,-2.98086,-15.10457
0,3,1,2,1,1,-1957212.152516142,1957644.9312954263,1335382.2426644806,True,590,300,log,-111.0142,-1001554.74323,-955487.53343,-39.26746,-19.5942
0,0,1,2,1,1,2432.369938165182,53.861092579888506,154.8280490275204,True,590,300,log,-94.2029,1273.74197,1271.21049,-5.15982,-13.2198
0,3,1,2,1,1,-11278.115856283832,13511.03550988072,3636.620608559392,True,590,300,log,-180.91091,-4934.94837,-6087.68139,-54.92547,-19.64971
0,0,1,2,1,1,2419.087772345043,36.392732281548206,153.85705322221037,True,590,300,log,-109.88654,1280.32843,1279.80033,-18.26884,-12.88561
0,3,1,2,1,1,-17254.40486466603,19558.22048661886,8286.464585342432,True,590,300,log,-104.17432,-8288.05236,-8830.50178,-13.76803,-17.90838
0,0,1,2,1,1,2383.572107971203,47.916083491118926,152.82159328400815,True,590,300,log,-102.70611,1257.11635,1256.51657,-12.34278,-15.01192
0,3,1,2,1,1,-21711.945937365213,23645.39885436617,6160.545972902218,True,590,300,log,-110.69438,-10333.03408,-11210.61391,-37.49743,-20.10614
0,0,1,2,1,1,2372.7304296088323,47.28254925918958,154.35111680472787,True,590,300,log,-115.44705,1251.57149,1260.47213,-7.19677,-16.66937
0,3,1,2,1,1,-3799.99785781913,6149.723301747913,2006.5562914037373,True,590,300,log,-104.35681,-1682.49661,-1990.34462,-7.23277,-15.56704
0,0,1,2,1,1,1397.090825427813,821.797454573807,501.34754570418147,True,590,300,log,-110.72561,678.37705,843.47304,-5.29649,-8.73717
0,3,1,2,1,1,-10297.726279317834,12660.233866066636,3325.778346781427,True,590,300,log,-115.31904,-5346.34038,-4810.82992,-15.49851,-9.73843
0,0,1,2,1,1,2434.5823464815244,34.19273212910956,154.22690443678815,True,590,300,log,-126.57526,1286.14822,1299.29307,-8.63059,-15.65309
0,3,1,2,1,1,-1495757.9603969385,1495171.9700162013,1011135.9593376463,True,590,300,log,-145.34209,-825840.52593,-669687.33686,-54.55387,-30.20164
0,0,1,2,1,1,-102996.97055903309,102616.21099924465,78814.53500107795,True,590,300,log,-129.82644,-73015.39207,-29817.9901,-14.29027,-19.47168
0,3,1,2,1,1,-92937.84103049786,94591.68528705908,61218.584862656004,True,590,300,log,-124.69851,-39905.13584,-52874.63655,-17.94174,-15.42839
0,0,2,2,1,1,-93271.77574757069,92946.07398140934,62359.642338232414,True,590,300,log,-127.19931,-40015.54487,-53097.62759,-6.926,-24.47797
0,3,2,2,1,1,-90646.76098109476,92167.70255333869,32872.40695578018,True,590,300,log,-235.07089,-46399.59309,-43935.25718,-38.08369,-38.75613
0,0,2,2,1,1,-11754278.099316718,11730198.151828961,7794930.044461898,True,590,300,log,-113.13836,-5525996.61613,-6228150.08466,-5.03114,-13.22902
0,3,2,2,1,1,-33432.613564731604,35309.52659893076,9516.405574292017,True,590,300,log,-205.65516,-17355.47929,-15778.41899,-45.2688,-47.79131
0,0,2,2,1,1,-11927.549262624552,13544.397541620987,8825.084654461763,True,590,300,log,-124.72389,-6003.02169,-5772.9301,-11.00506,-15.86852
0,3,2,2,1,1,-14215.36677295975,16510.655378136435,5878.886369815302,True,590,300,log,-131.13532,-7621.29245,-6417.9001,-28.60685,-16.43206
0,0,2,2,1,1,-1170.9484034549828,3121.125864933885,2031.0691262240955,True,590,300,log,-140.70636,-610.66953,-385.79883,-23.40336,-10.37033
0,3,2,2,1,1,-3704258.2728798706,3702887.7011259003,2597202.4062993173,True,590,300,log,-127.19526,-1988062.83204,-1716012.22581,-39.47084,-16.54893
0,0,2,2,1,1,-2761.8206030268075,4663.2524197930015,3219.3369007849187,True,590,300,log,-120.10204,-711.39699,-1914.89497,-5.02788,-10.39873
0,3,2,2,1,1,-15261.072860048027,17610.498061014332,5041.934501959238,True,590,300,log,-119.40255,-7920.46285,-7170.28467,-31.37179,-19.551
0,0,2,2,1,1,-2220331.3736943486,2205945.1830010596,1497028.662423831,True,590,300,log,-92.65315,-1179879.07271,-1040344.08479,-7.8881,-7.67495
0,3,2,2,1,1,-275028.18889631296,275959.5795918698,171261.07305023915,True,590,300,log,-151.17466,-134843.43458,-139964.01918,-43.6042,-25.95628
0,0,2,2,1,1,1458.9535245429147,751.9096467352513,485.679367487878,True,590,300,log,-111.3412,793.7432,793.29813,-5.6308,-11.1158
0,3,2,2,1,1,-102609.95741148433,103347.51132576437,42986.620605574986,True,590,300,log,-141.62417,-48145.13683,-54240.04816,-61.70147,-21.44679
0,0,2,2,1,1,1745.7744163723407,425.2178130607875,280.724298046933,True,590,300,log,-111.47224,973.0972,906.16121,-3.22434,-18.78741
0,3,2,2,1,1,-246970.14048764922,248462.93669333085,161715.881184847,True,590,300,log,-157.93003,-120737.9362,-126042.98755,-20.30575,-10.98097
0,0,2,2,1,1,-26689852.3680464,26655539.10582883,18979311.087830916,True,590,300,log,-102.70522,-9679207.48356,-17010523.04443,-7.50168,-11.63315
0,3,2,2,1,1,-63591.274011634116,65120.171401736145,29513.839570645017,True,590,300,log,-108.06999,-28074.91844,-35372.28315,-12.95121,-23.05122
0,0,2,2,1,1,2349.8723776064267,62.37031874245672,154.7131060018931,True,590,300,log,-124.90827,1239.92162,1245.1642,-1.55844,-8.74674
0,3,2,2,1,1,-53318.79947815446,55140.31136605879,22862.20294805743,True,590,300,log,-168.03495,-24635.21297,-28475.43935,-23.91511,-16.1971
0,0,3,2,1,1,381.41147080535706,1611.7838889331344,844.0050535926727,True,590,300,log,-120.76859,211.90672,320.828,-15.42803,-15.12662
0,3,3,2,1,1,-200312.64337114594,202128.64826036314,123497.61008206561,True,590,300,log,-126.34429,-96198.01869,-103968.12694,-8.37507,-11.77839
0,0,3,2,1,1,2207.2357499871196,118.6836630536097,161.29263196576142,True,590,300,log,-112.10041,1181.27972,1157.79928,-5.01044,-14.7324
0,3,3,2,1,1,-19703.12626232476,21914.379803632546,8772.190407969692,True,590,300,log,-101.76822,-10211.62513,-9332.15523,-41.56447,-16.0132
0,0,3,2,1,1,2345.8363929181533,63.98946180658969,155.0834633236393,True,590,300,log,-103.15107,1225.05462,1253.69921,-14.54407,-15.2223
