,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,weight,y0,y3,y4
0,0,0,2,1,0.1,unweighted,0.3458,0.8809,0.8477
1,0,0,2,1,0.1,linear,0.6741,0.8809,0.8477
2,0,0,2,1,0.1,quadratic,0.8184,0.8809,0.8477
0,0,0,2,1,0.3,unweighted,0.4288,0.9166,0.9342
1,0,0,2,1,0.3,linear,0.7096,0.9166,0.9342
2,0,0,2,1,0.3,quadratic,0.8346,0.9166,0.9342
0,1,0,0,1,0.1,unweighted,0.3815,0.8164,0.8262
1,1,0,0,1,0.1,linear,0.6741,0.8164,0.8262
2,1,0,0,1,0.1,quadratic,0.8073,0.8164,0.8262
0,1,0,0,1,0.3,unweighted,0.432,0.9379,0.8967
1,1,0,0,1,0.3,linear,0.7089,0.9379,0.8967
2,1,0,0,1,0.3,quadratic,0.8332,0.9379,0.8967
0,2,0,0,1,0.1,unweighted,0.4142,0.7377,0.8207
1,2,0,0,1,0.1,linear,0.7071,0.7377,0.8207
2,2,0,0,1,0.1,quadratic,0.8343,0.7377,0.8207
0,2,0,0,1,0.3,unweighted,0.4345,0.6101,0.9329
1,2,0,0,1,0.3,linear,0.7061,0.6101,0.9329
2,2,0,0,1,0.3,quadratic,0.8286,0.6101,0.9329
0,3,0,0,1,0.1,unweighted,0.6261,0.7351,0.8055
1,3,0,0,1,0.1,linear,0.786,0.7351,0.8055
2,3,0,0,1,0.1,quadratic,0.8605,0.7351,0.8055
0,3,0,0,1,0.3,unweighted,0.6919,0.8731,0.8568
1,3,0,0,1,0.3,linear,0.8349,0.8731,0.8568
2,3,0,0,1,0.3,quadratic,0.8979,0.8731,0.8568
0,0,0,2,1,0.1,unweighted,0.3046,0.8082,0.7583
1,0,0,2,1,0.1,linear,0.6327,0.8082,0.7583
2,0,0,2,1,0.1,quadratic,0.783,0.8082,0.7583
0,0,0,2,1,0.3,unweighted,0.4069,0.9325,0.9272
1,0,0,2,1,0.3,linear,0.6839,0.9325,0.9272
2,0,0,2,1,0.3,quadratic,0.8112,0.9325,0.9272
0,1,0,0,1,0.1,unweighted,0.2743,0.8088,0.7649
1,1,0,0,1,0.1,linear,0.6191,0.8088,0.7649
2,1,0,0,1,0.1,quadratic,0.7748,0.8088,0.7649
0,1,0,0,1,0.3,unweighted,0.4249,0.8876,0.9405
1,1,0,0,1,0.3,linear,0.7106,0.8876,0.9405
2,1,0,0,1,0.3,quadratic,0.8365,0.8876,0.9405
0,2,0,0,1,0.1,unweighted,0.411,0.7764,0.8192
1,2,0,0,1,0.1,linear,0.7074,0.7764,0.8192
2,2,0,0,1,0.1,quadratic,0.8368,0.7764,0.8192
0,2,0,0,1,0.3,unweighted,0.4359,0.6698,0.9132
1,2,0,0,1,0.3,linear,0.7107,0.6698,0.9132
2,2,0,0,1,0.3,quadratic,0.8335,0.6698,0.9132
0,3,0,0,1,0.1,unweighted,0.5215,0.8755,0.8161
1,3,0,0,1,0.1,linear,0.7323,0.8755,0.8161
2,3,0,0,1,0.1,quadratic,0.829,0.8755,0.8161
0,3,0,0,1,0.3,unweighted,0.6387,0.8439,0.9272
1,3,0,0,1,0.3,linear,0.799,0.8439,0.9272
2,3,0,0,1,0.3,quadratic,0.8706,0.8439,0.9272
0,0,0,2,1,0.1,unweighted,0.304,0.7804,0.8116
1,0,0,2,1,0.1,linear,0.6418,0.7804,0.8116
2,0,0,2,1,0.1,quadratic,0.7944,0.7804,0.8116
0,0,0,2,1,0.3,unweighted,0.3996,0.9213,0.9186
1,0,0,2,1,0.3,linear,0.6939,0.9213,0.9186
2,0,0,2,1,0.3,quadratic,0.8266,0.9213,0.9186
0,1,0,0,1,0.1,unweighted,0.2711,0.8589,0.8071
1,1,0,0,1,0.1,linear,0.6112,0.8589,0.8071
2,1,0,0,1,0.1,quadratic,0.7685,0.8589,0.8071
0,1,0,0,1,0.3,unweighted,0.402,0.9379,0.921
1,1,0,0,1,0.3,linear,0.6933,0.9379,0.921
2,1,0,0,1,0.3,quadratic,0.8236,0.9379,0.921
0,2,0,0,1,0.1,unweighted,0.4112,0.7629,0.8086
1,2,0,0,1,0.1,linear,0.7064,0.7629,0.8086
2,2,0,0,1,0.1,quadratic,0.8347,0.7629,0.8086
0,2,0,0,1,0.3,unweighted,0.4159,0.8554,0.9194
1,2,0,0,1,0.3,linear,0.7021,0.8554,0.9194
2,2,0,0,1,0.3,quadratic,0.8287,0.8554,0.9194
0,3,0,0,1,0.1,unweighted,0.4379,0.6188,0.7859
1,3,0,0,1,0.1,linear,0.681,0.6188,0.7859
2,3,0,0,1,0.1,quadratic,0.795,0.6188,0.7859
0,3,0,0,1,0.3,unweighted,0.6682,0.8607,0.8593
1,3,0,0,1,0.3,linear,0.8078,0.8607,0.8593
2,3,0,0,1,0.3,quadratic,0.8713,0.8607,0.8593
0,0,0,2,1,0.1,unweighted,0.3695,0.8835,0.8132
1,0,0,2,1,0.1,linear,0.6745,0.8835,0.8132
2,0,0,2,1,0.1,quadratic,0.8131,0.8835,0.8132
0,0,0,2,1,0.3,unweighted,0.4392,0.9433,0.9348
1,0,0,2,1,0.3,linear,0.7119,0.9433,0.9348
2,0,0,2,1,0.3,quadratic,0.834,0.9433,0.9348
0,1,0,0,1,0.1,unweighted,0.3749,0.7838,0.8147
1,1,0,0,1,0.1,linear,0.6846,0.7838,0.8147
2,1,0,0,1,0.1,quadratic,0.8225,0.7838,0.8147
0,1,0,0,1,0.3,unweighted,0.4513,0.8383,0.921
1,1,0,0,1,0.3,linear,0.7261,0.8383,0.921
2,1,0,0,1,0.3,quadratic,0.8468,0.8383,0.921
0,2,0,0,1,0.1,unweighted,0.3953,0.8593,0.8131
1,2,0,0,1,0.1,linear,0.6939,0.8593,0.8131
2,2,0,0,1,0.1,quadratic,0.8244,0.8593,0.8131
0,2,0,0,1,0.3,unweighted,0.4223,0.8493,0.9258
1,2,0,0,1,0.3,linear,0.7015,0.8493,0.9258
2,2,0,0,1,0.3,quadratic,0.8267,0.8493,0.9258
0,3,0,0,1,0.1,unweighted,0.5029,0.7242,0.6391
1,3,0,0,1,0.1,linear,0.7182,0.7242,0.6391
2,3,0,0,1,0.1,quadratic,0.818,0.7242,0.6391
0,3,0,0,1,0.3,unweighted,0.683,0.8476,0.8947
1,3,0,0,1,0.3,linear,0.8278,0.8476,0.8947
2,3,0,0,1,0.3,quadratic,0.8916,0.8476,0.8947
