,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,lengthscales
0,0,0,2,1,0.1,"[1.2929, 0.991, 2.3787, 0.2637, 0.511, 0.3527, 1.261, 0.8579, 1.2789, 0.2176, 1.2929, 0.3578, 1.2929, 0.261, 0.4578, 0.1545, 1.3666, 2.4912, 0.3884, 1.2575, 2.7644, 0.7453, 0.2932, 2.2353]"
0,0,0,2,1,0.3,"[1.6019, 1.3285, 2.1387, 0.3446, 0.5931, 0.4226, 2.0532, 0.9111, 0.2985, 0.2011, 0.7432, 0.6564, 0.6791, 0.6677, 0.5106, 0.3712, 0.441, 2.1502, 0.2305, 2.8524, 1.429, 0.747, 0.3478, 2.1435]"
0,1,0,0,1,0.1,"[1.1168, 2.7621, 2.911, 0.8835, 0.7515, 0.7847, 2.2048, 2.1759, 0.8042, 0.1205, 2.1756, 0.2977, 1.7689, 0.2767, 1.2929, 0.2552, 0.8294, 1.4307, 0.3485, 3.3118, 2.5179, 0.2324, 0.1519, 3.0834]"
0,1,0,0,1,0.3,"[0.3413, 2.4149, 1.7607, 0.9786, 0.6752, 1.0969, 2.4653, 0.5641, 1.0766, 0.1528, 2.4148, 0.2951, 2.6287, 0.0959, 0.921, 0.333, 0.5296, 1.5991, 0.4823, 2.6593, 1.6734, 0.1908, 0.3506, 1.3164]"
0,2,0,0,1,0.1,"[1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.0624, 0.7681, 1.2277, 1.4163, 0.6677, 1.272, 1.2282, 0.7583, 1.1132, 1.0356, 1.3811, 0.6704, 1.4893, 1.2893, 0.9312, 0.1969, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 1.6632, 1.4243, 1.7914, 1.2593, 1.8383, 0.8225, 1.0496, 1.5886, 1.3225, 1.5391, 1.2989, 0.9547, 0.5171, 1.6533, 1.4805, 1.6056, 0.5316, 0.6297, 1.4477, 1.6643, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319, 0.376, 0.8264, 0.338, 0.8319]"
0,2,0,0,1,0.3,"[1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.4732, 0.5823, 1.4902, 1.4585, 0.5695, 0.7728, 0.7853, 0.3581, 1.4637, 0.827, 1.6365, 0.981, 1.1071, 1.3499, 0.6984, 0.2368, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 1.365, 1.6872, 1.5555, 1.1229, 1.8271, 1.8348, 0.4806, 1.8558, 1.6409, 2.1788, 1.6652, 1.0659, 0.7233, 1.6175, 1.7696, 1.4464, 0.6812, 1.8351, 0.4766, 1.7375, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167, 0.3034, 0.8042, 0.4072, 0.4167]"
0,3,0,0,1,0.1,"[0.7016, 1.3252, 0.7862, 0.2039, 0.6252, 0.3829, 0.3105, 0.8653, 2.4548, 1.1644, 1.3638, 2.723, 0.4789, 0.3518, 0.4885, 0.4587, 0.8454, 0.9036, 0.6311, 0.2817, 1.3366, 1.3917, 2.2042, 1.4004]"
0,3,0,0,1,0.3,"[0.63, 1.1773, 2.2659, 0.2476, 0.8074, 0.4232, 0.3547, 0.7823, 2.7231, 0.8517, 0.9501, 1.4952, 0.6321, 0.3121, 0.5739, 0.7977, 0.5258, 0.4944, 0.5498, 0.3229, 0.9955, 0.9972, 2.8234, 0.7723]"
0,0,0,2,1,0.1,"[0.1689, 0.7051, 2.105, 0.3365, 0.7467, 1.3622, 1.2929, 0.1579, 1.2929, 0.5404, 0.3508, 0.0609, 1.2929, 0.051, 2.1657, 0.7277, 0.2595, 1.2929, 1.3635, 1.3092, 3.1579, 0.1617, 1.3031, 0.1522]"
0,0,0,2,1,0.3,"[0.3106, 0.7125, 3.0265, 0.8205, 0.7504, 0.9846, 0.5796, 0.08, 1.3387, 0.3662, 0.9324, 0.1989, 2.554, 0.2864, 2.8772, 0.3842, 0.5484, 0.278, 2.1891, 1.119, 1.7407, 0.377, 0.3494, 0.2333]"
