,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0.1,1,,,,True,4420,300,log,3834,23,4,559,-697.00282,9928.96144,10011.90726,-69.8098,
0,0,0,2,1,0.3,1,15401.185890595887,28.441658775856922,368.48541940084823,True,3430,300,log,2775,2,0,653,-401.16224,7934.67653,7935.99885,-35.69758,-32.62967
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3636,34,5,745,-849.17599,9768.98816,9771.7234,-116.64459,
0,1,0,0,1,0.3,1,,,,True,3430,300,log,2723,2,0,705,-420.66982,7922.44245,7927.70579,-42.59942,
0,2,0,0,1,0.1,1,19056.34807366581,219.16990129942496,415.8607222088933,True,4420,300,log,4038,264,48,70,-735.45812,10013.67419,10043.17484,-164.61801,-100.42483
0,2,0,0,1,0.3,1,,,,True,3430,300,log,3035,99,3,293,-416.26213,7921.4235,7910.08884,,
0,3,0,0,1,0.1,1,,,,True,4420,300,log,2593,330,216,1281,-696.26173,-405635.19657,-495230.28034,,-167.47963
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2299,231,128,772,-325.80037,-70110.87532,-84462.40889,,
0,0,0,2,1,0.1,1,16968.69085419603,701.6614091049814,402.1630227095438,True,4420,300,log,3583,136,84,617,-926.83953,9271.2909,8979.87235,-93.53538,-262.09748
0,0,0,2,1,0.3,1,,,,True,3430,300,log,2669,5,0,756,-423.71094,7923.26048,7924.82637,,-39.55069
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3276,225,85,834,-1183.9424,8434.17865,8455.00874,,-188.87917
0,1,0,0,1,0.3,1,,,,True,3430,300,log,2830,2,0,598,-456.90261,7907.19093,7908.88791,,-32.31847
0,2,0,0,1,0.1,1,19102.24094344778,206.47238981805276,416.5432518440937,True,4420,300,log,3763,371,228,58,-736.77133,10064.50501,10021.62925,-148.45246,-98.66952
0,2,0,0,1,0.3,1,15158.853517458982,67.70990418290603,370.3510152485459,True,3430,300,log,3186,28,1,215,-420.4405,7930.94141,7908.4912,-212.6118,-47.52678
0,3,0,0,1,0.1,1,,,,True,4420,300,log,2287,216,158,1759,-702.61206,-470474.77575,-335179.29291,,-123.72955
0,3,0,0,1,0.3,1,-90863.32790279864,107347.09934920518,68807.32607983175,True,3430,300,log,2368,174,113,775,-373.50421,-51459.20235,-38913.96873,-79.78294,-36.86969
0,0,0,2,1,0.1,1,,,,True,4420,300,log,3648,64,14,694,-754.90829,9698.24141,9773.49872,,
0,0,0,2,1,0.3,1,15366.987528640442,27.9809546834731,369.05020183260234,True,3430,300,log,2856,2,0,572,-422.36497,7936.89624,7932.46003,-43.2757,-36.72807
0,1,0,0,1,0.1,1,,,,True,4420,300,log,3575,105,19,721,-1151.53251,9500.46551,9567.97362,-93.47556,
0,1,0,0,1,0.3,1,15368.814782999381,37.465416236653255,368.4115444398258,True,3430,300,log,2825,1,0,604,-415.56482,7925.93808,7928.6542,-35.72527,-34.48741
0,2,0,0,1,0.1,1,19101.606977593663,202.69023101995117,414.6677216293465,True,4420,300,log,3842,363,155,60,-723.26119,9999.72365,10074.93662,-146.60005,-103.19205
0,2,0,0,1,0.3,1,,,,True,3430,300,log,3177,21,0,232,-419.73348,7933.29729,7912.04425,-69.78487,
0,3,0,0,1,0.1,1,,,,True,4420,300,log,2093,291,194,1842,-1165.655,-1308992.98229,-1589487.24299,,
0,3,0,0,1,0.3,1,,,,True,3430,300,log,2489,147,104,690,-321.48445,-2562.47983,-1176.00086,,
