,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_loo,p_loo,se,warning,n_data_points,n_samples,scale,k_count_good,k_count_ok,k_count_bad,k_count_verybad,elpd_loo_y0,elpd_loo_y1,elpd_loo_y2,elpd_loo_y3,elpd_loo_y4
0,0,0,2,1,0.1,0,2167.7481153384088,7.3124939872586765,138.7441378067475,True,485,300,log,420,3,0,62,-54.80588,1115.74992,1117.04971,-8.04876,-2.19687
0,0,0,2,1,0.3,0,6535.88215513388,10.269586207153225,239.02118353321274,True,1475,300,log,1189,3,0,283,-174.36505,3364.42845,3367.54201,-13.14558,-8.57767
0,1,0,0,1,0.1,0,2194.32584098314,8.799667638727442,138.98314995915115,True,485,300,log,400,1,0,84,-45.30452,1120.91269,1123.75097,-4.51066,-0.52264
0,1,0,0,1,0.3,0,,,,True,1475,300,log,1155,2,0,318,-162.81939,3370.09902,3373.46267,,-6.53488
0,2,0,0,1,0.1,0,2134.185802606009,15.959320070106514,137.8217670239925,True,485,300,log,444,27,7,7,-51.31317,1103.19492,1105.00964,-20.24122,-2.46436
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1304,42,5,124,-179.3452,3354.31146,3342.45327,,-10.97132
0,3,0,0,1,0.1,0,2518.5732224297462,168.24856926878783,157.3531154464922,True,485,300,log,352,32,16,85,-20.87171,1278.82638,1265.97487,-3.8657,-1.49061
0,3,0,0,1,0.3,0,7327.017737059682,403.22210680700664,263.48690629963477,True,1475,300,log,1102,75,53,245,-85.21604,3720.92876,3718.9167,-16.35094,-11.26074
0,0,0,2,1,0.1,0,2222.960601463408,9.869421806827631,140.53793101673415,True,485,300,log,413,8,2,62,-42.33262,1135.29848,1137.42083,-6.68856,-0.73753
0,0,0,2,1,0.3,0,6550.043565371395,11.239185543548956,239.01189286259543,True,1475,300,log,1131,4,0,340,-172.79988,3369.86914,3370.63204,-11.22602,-6.43171
0,1,0,0,1,0.1,0,2252.3669210234184,12.412164352190302,140.8898338023267,True,485,300,log,384,6,2,93,-28.60009,1142.26425,1143.83271,-3.59299,-1.53695
0,1,0,0,1,0.3,0,,,,True,1475,300,log,1209,1,0,265,-159.74796,3370.77427,3372.4842,,-7.34685
0,2,0,0,1,0.1,0,2140.633965469546,15.088333936119398,137.67013807638259,True,485,300,log,429,30,21,5,-51.36666,1106.29596,1104.03377,-15.71444,-2.61467
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1372,8,0,95,-178.04377,3351.21161,3342.57934,,
0,3,0,0,1,0.1,0,2487.4455746088797,212.91777260783692,156.4885094142093,True,485,300,log,318,24,19,124,-25.42233,1255.49278,1262.40132,-3.23843,-1.78777
0,3,0,0,1,0.3,0,7354.560751253789,322.34946780570226,264.4182409049685,True,1475,300,log,1148,62,31,234,-89.09266,3748.64687,3730.73779,-21.06614,-14.6651
0,0,0,2,1,0.1,0,2191.63326342133,7.808460368244141,139.89881109173558,True,485,300,log,403,3,0,79,-55.18619,1126.8077,1128.11796,-6.90911,-1.19709
0,0,0,2,1,0.3,0,,,,True,1475,300,log,1219,3,0,253,-182.02632,3366.07441,3366.41414,-13.37005,
0,1,0,0,1,0.1,0,,,,True,485,300,log,400,3,0,82,-31.46244,1127.035,1129.49952,,
0,1,0,0,1,0.3,0,6528.669614117689,13.67498129870819,238.9241348054224,True,1475,300,log,1203,0,0,272,-176.46623,3362.17174,3365.3062,-14.23897,-8.10312
0,2,0,0,1,0.1,0,2117.548369783396,17.318268297980467,136.1181546457871,True,485,300,log,429,37,13,6,-50.80556,1088.04461,1100.869,-18.15299,-2.40669
0,2,0,0,1,0.3,0,6482.887927656917,17.571702945369907,238.25994877980477,True,1475,300,log,1371,9,0,95,-178.39349,3357.94568,3345.14424,-29.70031,-12.10819
0,3,0,0,1,0.1,0,2569.4909467390053,185.25787351479494,160.88584050677267,True,485,300,log,303,27,26,129,-17.80188,1297.52398,1294.84843,-3.19821,-1.88137
0,3,0,0,1,0.3,0,,,,True,1475,300,log,1144,59,42,230,-95.96733,3730.02916,3728.08937,,-11.73333
0,0,0,2,1,0.1,0,2173.147303997033,6.335495024318789,138.8920394530959,True,485,300,log,411,1,0,73,-49.92054,1115.69963,1118.47438,-9.1333,-1.97287
0,0,0,2,1,0.3,0,,,,True,1475,300,log,1206,1,0,268,-174.7556,3362.91495,3368.30391,-14.43776,
0,1,0,0,1,0.1,0,2191.546390149685,9.706558431375015,138.77722604057485,True,485,300,log,411,0,0,74,-43.75834,1120.53704,1121.50007,-5.85643,-0.87595
0,1,0,0,1,0.3,0,6427.501339592357,18.681746859278064,237.2991871579839,True,1475,300,log,1357,1,0,117,-185.67762,3336.5378,3320.22268,-28.50129,-15.08023
0,2,0,0,1,0.1,0,2142.862356758423,15.125879992130194,137.47435655352666,True,485,300,log,424,45,11,5,-51.91489,1105.19806,1104.31352,-12.37459,-2.35976
0,2,0,0,1,0.3,0,,,,True,1475,300,log,1369,12,0,94,-177.28212,3341.44101,3343.93494,,-11.23776
0,3,0,0,1,0.1,0,2536.4866079838116,210.4819102858405,156.26022284003952,True,485,300,log,295,37,22,131,-12.05952,1267.64887,1286.92008,-4.81452,-1.20829
0,3,0,0,1,0.3,0,7355.352316396255,285.88983004211696,262.24654830535536,True,1475,300,log,1108,40,35,292,-74.54789,3723.76336,3733.87306,-18.96239,-8.77383
0,0,0,2,1,0.1,0,2169.096180787503,6.3901720893400125,138.76091307587015,True,485,300,log,417,0,0,68,-52.42531,1114.48202,1115.38578,-7.38635,-0.95996
0,0,0,2,1,0.3,0,6544.06629991727,9.045792717238328,239.21280376272824,True,1475,300,log,1160,1,0,314,-173.74217,3369.23197,3369.84611,-15.04245,-6.22715
0,1,0,0,1,0.1,0,2204.8258744559757,10.236490868103829,139.1826417406601,True,485,300,log,406,6,0,73,-40.96136,1124.83622,1126.38382,-4.79795,-0.63486
0,1,0,0,1,0.3,0,,,,True,1475,300,log,1155,0,0,320,-169.82248,3367.38585,3366.71465,,-8.04842
