,test_id,kcid,lmc_prior_code,lengthscale_prior_code,subset,test_data,elpd_waic,p_waic,se,warning,n_data_points,n_samples,scale,elpd_waic_y0,elpd_waic_y1,elpd_waic_y2,elpd_waic_y3,elpd_waic_y4
0,0,0,2,1,0.1,1,19072.204079107018,129.63146237463812,413.4102342961674,True,4420,300,log,-696.88223,9929.68906,10012.66871,-69.74155,-103.5299
0,0,0,2,1,0.3,1,15401.5564520608,28.07109731094279,368.4899673401461,False,3430,300,log,-401.1254,7934.83105,7936.13583,-35.68261,-32.60242
0,1,0,0,1,0.1,1,18442.24878742481,246.99838754361642,411.36649139425566,True,4420,300,log,-848.86412,9769.39088,9772.01039,-116.50449,-133.78387
0,1,0,0,1,0.3,1,15344.249819339086,42.57835270338537,368.92228751115164,True,3430,300,log,-420.55043,7922.63366,7927.85659,-42.57182,-43.11817
0,2,0,0,1,0.1,1,19059.0169567263,216.50101823893283,415.87505437696103,True,4420,300,log,-734.94225,10014.49209,10043.89512,-164.16563,-100.26237
0,2,0,0,1,0.3,1,15224.758167940745,81.21063936408171,368.9211991099415,True,3430,300,log,-416.11247,7921.60191,7910.3216,-146.46293,-44.58994
0,3,0,0,1,0.1,1,-418885882.3667683,418873354.4983882,247494835.32716808,True,4420,300,log,-694.38793,-136916591.58707,-281968226.09576,-203.10823,-167.18778
0,3,0,0,1,0.3,1,-276532482.0818879,276544873.8489529,196523774.5993312,True,3430,300,log,-325.38772,-153950651.92878,-122581361.60107,-73.42859,-69.73573
0,0,0,2,1,0.1,1,16945.46044156407,724.8918217369378,402.7143515008262,True,4420,300,log,-926.43084,9264.70175,8966.34669,-93.47879,-265.67836
0,0,0,2,1,0.3,1,15342.75064097083,33.672980368060365,368.6452415293777,True,3430,300,log,-423.64337,7923.38835,7924.96073,-42.46856,-39.48651
0,1,0,0,1,0.1,1,15220.506109259068,1368.6350329798556,417.37643298396506,True,4420,300,log,-1183.22369,8359.26747,8401.09986,-167.75206,-188.88547
0,1,0,0,1,0.3,1,15282.396408124856,47.118350018094496,368.45241498057453,True,3430,300,log,-456.79839,7907.37955,7909.08807,-44.97625,-32.29656
