,test_id,kcid,lmc_prior_code,lengthscale_prior_code,weight,y0,y3,y4
0,0,0,2,1,unweighted,0.5046,0.9331,0.9146
1,0,0,2,1,linear,0.7543,0.9331,0.9146
2,0,0,2,1,quadratic,0.8635,0.9331,0.9146
0,3,0,0,1,unweighted,0.7175,0.9253,0.9565
1,3,0,0,1,linear,0.8456,0.9253,0.9565
2,3,0,0,1,quadratic,0.9025,0.9253,0.9565
0,0,0,2,1,unweighted,0.4589,0.9474,0.8975
1,0,0,2,1,linear,0.7287,0.9474,0.8975
2,0,0,2,1,quadratic,0.8481,0.9474,0.8975
0,3,0,0,1,unweighted,0.7288,0.8697,0.9217
1,3,0,0,1,linear,0.8592,0.8697,0.9217
2,3,0,0,1,quadratic,0.9178,0.8697,0.9217
0,0,0,2,1,unweighted,0.4491,0.9408,0.957
1,0,0,2,1,linear,0.7193,0.9408,0.957
2,0,0,2,1,quadratic,0.8409,0.9408,0.957
0,3,0,0,1,unweighted,0.692,0.9182,0.8424
1,3,0,0,1,linear,0.8357,0.9182,0.8424
2,3,0,0,1,quadratic,0.8999,0.9182,0.8424
0,0,0,2,1,unweighted,0.5023,0.9324,0.957
1,0,0,2,1,linear,0.7498,0.9324,0.957
2,0,0,2,1,quadratic,0.8595,0.9324,0.957
0,3,0,0,1,unweighted,0.6997,0.9166,0.879
1,3,0,0,1,linear,0.8467,0.9166,0.879
2,3,0,0,1,quadratic,0.9092,0.9166,0.879
0,0,0,2,1,unweighted,0.4696,0.9552,0.9227
1,0,0,2,1,linear,0.7322,0.9552,0.9227
2,0,0,2,1,quadratic,0.8474,0.9552,0.9227
0,3,0,0,1,unweighted,0.7403,0.878,0.957
1,3,0,0,1,linear,0.8444,0.878,0.957
2,3,0,0,1,quadratic,0.8921,0.878,0.957
0,0,0,2,1,unweighted,0.4789,0.9324,0.9488
1,0,0,2,1,linear,0.7427,0.9324,0.9488
2,0,0,2,1,quadratic,0.8576,0.9324,0.9488
0,3,0,0,1,unweighted,0.6974,0.885,0.9565
1,3,0,0,1,linear,0.8373,0.885,0.9565
2,3,0,0,1,quadratic,0.8995,0.885,0.9565
0,0,0,2,1,unweighted,0.4704,0.9552,0.9399
1,0,0,2,1,linear,0.7358,0.9552,0.9399
2,0,0,2,1,quadratic,0.8518,0.9552,0.9399
0,3,0,0,1,unweighted,0.7242,0.8954,0.9197
1,3,0,0,1,linear,0.8522,0.8954,0.9197
2,3,0,0,1,quadratic,0.9068,0.8954,0.9197
0,0,0,2,1,unweighted,0.4701,0.9331,0.9481
1,0,0,2,1,linear,0.7331,0.9331,0.9481
2,0,0,2,1,quadratic,0.8482,0.9331,0.9481
0,3,0,0,1,unweighted,0.7377,0.9621,0.8869
1,3,0,0,1,linear,0.8539,0.9621,0.8869
2,3,0,0,1,quadratic,0.9055,0.9621,0.8869
0,0,0,2,1,unweighted,0.49,0.9331,0.9383
1,0,0,2,1,linear,0.747,0.9331,0.9383
2,0,0,2,1,quadratic,0.8603,0.9331,0.9383
0,3,0,0,1,unweighted,0.686,0.9004,0.8758
1,3,0,0,1,linear,0.8184,0.9004,0.8758
2,3,0,0,1,quadratic,0.8789,0.9004,0.8758
0,0,0,2,1,unweighted,0.4857,0.9552,0.9475
1,0,0,2,1,linear,0.7487,0.9552,0.9475
2,0,0,2,1,quadratic,0.863,0.9552,0.9475
0,3,0,0,1,unweighted,0.6867,0.9777,0.9031
1,3,0,0,1,linear,0.8311,0.9777,0.9031
2,3,0,0,1,quadratic,0.8947,0.9777,0.9031
